Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability,DayFrameAlt
0,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555041600,0.0,0,0.001482337713242,3
4,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555056000,0.0,0,0.0014823973178860002,3
8,2,1,0,0,0,1,0,0,1,12,19,26,0,7,24,1555070400,0.102,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555084800,0.0,0,0.001482576131821,1
16,4,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555099200,0.0,0,0.0014829039573670002,2
20,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555113600,0.0,0,0.0014824271202089998,3
23,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555124400,0.0,0,0.0014823675155639998,3
0,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555041600,0.0,0,0.001482307910919,3
4,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555056000,0.0,0,0.001482307910919,3
8,2,1,0,0,0,1,0,0,1,13,20,26,0,7,23,1555070400,0.106,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555084800,0.0,0,0.0014824271202089998,1
16,4,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555099200,0.0,0,0.0014825165271760002,2
20,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555113600,0.0,0,0.001482337713242,3
23,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555124400,0.0,0,0.001482337713242,3
0,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555056000,0.0,0,0.001482248306274,3
8,2,1,0,0,0,1,0,0,1,14,21,26,0,7,20,1555070400,0.11,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555084800,0.0,0,0.001482307910919,1
16,4,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555099200,0.0,0,0.001482337713242,2
20,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555113600,0.0,0,0.001482248306274,3
23,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555124400,0.0,0,0.001482248306274,3
0,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555056000,0.0,0,0.001482248306274,3
8,2,1,0,0,0,1,0,0,1,15,22,26,0,7,15,1555070400,0.11199999999999999,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555084800,0.0,0,0.001482248306274,1
16,4,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555099200,0.0,0,0.001482248306274,2
20,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555113600,0.0,0,0.001482307910919,3
23,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555124400,0.0,0,0.001482248306274,3
0,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555056000,0.0,0,0.001482248306274,3
8,2,1,0,0,0,1,0,0,1,16,23,26,0,7,21,1555070400,0.114,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555084800,0.0,0,0.001482307910919,1
16,4,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555099200,0.0,0,0.001482307910919,2
20,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555113600,0.0,0,0.001482248306274,3
23,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555124400,0.0,0,0.001482248306274,3
0,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555041600,0.0,0,0.0014821887016300001,3
4,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555056000,0.0,0,0.0014821887016300001,3
8,2,1,0,0,0,1,0,0,1,17,24,26,0,7,12,1555070400,0.11599999999999999,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555084800,0.0,0,0.001482248306274,1
16,4,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555099200,0.0,0,0.001482248306274,2
20,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555113600,0.0,0,0.001482248306274,3
23,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555124400,0.0,0,0.001482248306274,3
0,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555041600,0.0,0,0.0014821887016300001,3
4,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555056000,0.0,0,0.0014821887016300001,3
8,2,1,0,0,0,1,0,0,1,18,25,26,0,7,7,1555070400,0.11800000000000001,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555084800,0.0,0,0.0014821887016300001,1
16,4,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555099200,0.0,0,0.0014821887016300001,2
20,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555113600,0.0,0,0.0014821887016300001,3
23,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555124400,0.0,0,0.0014821887016300001,3
0,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555041600,0.0,0,0.001484900712967,3
4,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555056000,0.0,0,0.001491099596024,3
8,2,1,0,0,0,1,0,0,1,20,8,25,0,0,8,1555070400,0.062,1,0.999976873397827,1
12,3,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555084800,0.0,0,0.0015361011028289999,1
16,4,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555099200,0.0,0,0.0016045570373539998,2
20,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555113600,0.0,0,0.001493602991104,3
23,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555124400,0.0,0,0.001490354537964,3
0,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555041600,0.0,0,0.0014824271202089998,3
4,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555056000,0.0,0,0.0014826953411099999,3
8,2,1,0,0,0,1,0,0,1,21,9,25,0,7,11,1555070400,0.066,1,0.999976933002472,1
12,3,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555084800,0.0,0,0.001483559608459,1
16,4,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555099200,0.0,0,0.0014845430850979997,2
20,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555113600,0.0,0,0.0014826655387879999,3
23,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555124400,0.0,0,0.001482576131821,3
0,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555041600,0.0,0,0.001482307910919,3
4,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555056000,0.0,0,0.0014826059341429998,3
8,2,1,0,0,0,1,0,0,1,22,10,25,0,0,1,1555070400,0.069,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555084800,0.0,0,0.0014851093292240001,1
16,4,1,0,0,0,0,1,0,0,22,10,25,0,0,1,1555099200,0.0,0,0.0014828443527220001,2
20,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555113600,0.0,0,0.001482725143433,3
23,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555124400,0.0,0,0.0014826357364649998,3
0,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555041600,0.0,0,0.0014822781085970002,3
4,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555056000,0.0,0,0.001482337713242,3
8,2,1,0,0,0,1,0,0,1,23,11,25,1,0,1,1555070400,0.073,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555084800,0.0,0,0.001483261585236,1
16,4,1,0,0,0,0,1,0,0,23,11,25,1,0,1,1555099200,0.0,0,0.001482933759689,2
20,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555113600,0.0,0,0.001483529806137,3
23,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555124400,0.0,0,0.001484215259552,3
0,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555056000,0.0,0,0.001482337713242,3
8,2,1,0,0,0,1,0,0,1,24,12,25,1,0,1,1555070400,0.076,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555084800,0.0,0,0.0014827847480770003,1
16,4,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555099200,0.0,0,0.0014840960502620001,2
20,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555113600,0.0,0,0.0014829635620120002,3
23,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555124400,0.0,0,0.0014833509922029997,3
0,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555041600,0.0,0,0.0014822781085970002,3
4,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555056000,0.0,0,0.0014824569225310002,3
8,2,1,0,0,0,1,0,0,1,25,13,25,0,2,1,1555070400,0.079,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555084800,0.0,0,0.0014831721782679998,1
16,4,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555099200,0.0,0,0.001484483480454,2
20,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555113600,0.0,0,0.0014824569225310002,3
23,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555124400,0.0,0,0.0014822781085970002,3
0,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555056000,0.0,0,0.0014821887016300001,3
8,2,1,0,0,0,1,0,0,1,26,14,25,1,5,1,1555070400,0.083,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555084800,0.0,0,0.001482248306274,1
16,4,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555099200,0.0,0,0.001482337713242,2
20,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555113600,0.0,0,0.0014822781085970002,3
23,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555124400,0.0,0,0.001482337713242,3
0,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555041600,0.0,0,0.001482307910919,3
4,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555056000,0.0,0,0.001482546329498,3
8,2,1,0,0,0,1,0,0,1,27,15,25,0,4,9,1555070400,0.087,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555084800,0.0,0,0.0014834105968479997,1
16,4,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555099200,0.0,0,0.001484870910645,2
20,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555113600,0.0,0,0.001482576131821,3
23,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555124400,0.0,0,0.0014824867248539998,3
0,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555041600,0.0,0,0.0014822781085970002,3
4,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555056000,0.0,0,0.001482337713242,3
8,2,1,0,0,0,1,0,0,1,28,16,25,0,5,10,1555070400,0.09,1,0.999977052211762,1
12,3,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555084800,0.0,0,0.0014826655387879999,1
16,4,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555099200,0.0,0,0.0014831125736239998,2
20,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555113600,0.0,0,0.0014824569225310002,3
23,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555124400,0.0,0,0.001482337713242,3
0,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555041600,0.0,0,0.001482248306274,3
4,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555056000,0.0,0,0.001482307910919,3
8,2,1,0,0,0,1,0,0,1,29,17,25,0,0,1,1555070400,0.094,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555084800,0.0,0,0.0014823973178860002,1
16,4,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555099200,0.0,0,0.001482576131821,2
20,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555113600,0.0,0,0.001482248306274,3
23,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555124400,0.0,0,0.001482248306274,3
0,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555041600,0.0,0,0.001482337713242,3
4,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555056000,0.0,0,0.0014825165271760002,3
8,2,1,0,0,0,1,0,0,1,30,18,25,0,0,9,1555070400,0.098,1,0.999976992607117,1
12,3,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555084800,0.0,0,0.0014844536781309999,1
16,4,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555099200,0.0,0,0.0014885365962979998,2
20,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555113600,0.0,0,0.0014828443527220001,3
23,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555124400,0.0,0,0.0014827549457550003,3
0,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555041600,0.0,0,0.001482307910919,3
