Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
6/1/2019 11:51:47 PM,6/2/2019 12:06:41 AM,500 Market St,CHATTANOOGA,35050955,85309590,ACC2-MVC No Injuries
6/1/2019 11:10:55 PM,6/1/2019 11:16:01 PM,3900 PEACH ST,CHATTANOOGA,35073824,85208266,ACC1-MVC Injuries
6/1/2019 11:10:54 PM,6/1/2019 11:14:21 PM,3900 PEACH ST,CHATTANOOGA,35073824,85208266,ACC1-MVC Injuries
6/1/2019 11:00:20 PM,6/2/2019 3:10:02 AM,3900 PEACH ST,CHATTANOOGA,35073824,85208266,ACC2-MVC No Injuries
6/1/2019 10:41:02 PM,6/1/2019 10:53:38 PM,6212 - 6299 Lee Hwy,CHATTANOOGA,35030467,85185515,ACC1-MVC Injuries
6/1/2019 10:41:02 PM,6/1/2019 11:11:02 PM,6212 - 6299 Lee Hwy,CHATTANOOGA,35030467,85185515,ACC1-MVC Injuries
6/1/2019 10:40:33 PM,6/1/2019 10:41:30 PM,6242 Lee Hwy,CHATTANOOGA,35030586,85183018,ACC2-MVC No Injuries
6/1/2019 10:40:28 PM,6/1/2019 11:58:06 PM,6200 LEE HWY,CHATTANOOGA,35029063,85186686,ACC1-MVC Injuries
6/1/2019 10:28:31 PM,6/1/2019 11:04:06 PM,400 INTERSTATE 75 NB,CHATTANOOGA,35024320,85174239,ACC2-MVC No Injuries
6/1/2019 10:28:19 PM,6/1/2019 10:32:43 PM,7200 Shallowford Rd,CHATTANOOGA,35041560,85154814,ACC2-MVC No Injuries
6/1/2019 10:25:50 PM,6/1/2019 10:57:18 PM,5991 Hickory Valley Rd,CHATTANOOGA,35082715,85158003,ACC1-MVC Injuries
6/1/2019 10:25:50 PM,6/1/2019 11:44:03 PM,5991 Hickory Valley Rd,CHATTANOOGA,35082715,85158003,ACC1-MVC Injuries
6/1/2019 10:25:25 PM,6/1/2019 11:30:05 PM,5991 Hickory Valley Rd,CHATTANOOGA,35082715,85158003,ACC1-MVC Injuries
6/1/2019 10:21:18 PM,6/1/2019 10:28:49 PM,4000-8599 Hickory Valley Rd,CHATTANOOGA,35096184,85159906,ACC3-MVC Unknown Injuries
6/1/2019 10:20:41 PM,6/1/2019 10:23:42 PM,5991 Hickory Valley Rd,CHATTANOOGA,35082715,85158003,ACC3-MVC Unknown Injuries
6/1/2019 10:06:19 PM,6/1/2019 11:21:31 PM,7200 SHALLOWFORD RD,CHATTANOOGA,35041560,85154814,ACC2-MVC No Injuries
6/1/2019 9:49:16 PM,6/1/2019 9:50:14 PM,4711 Tarpon Trl,CHATTANOOGA,35090568,85196124,ACC3-MVC Unknown Injuries
6/1/2019 9:45:11 PM,6/1/2019 11:00:38 PM,3906 Peach St,CHATTANOOGA,35074633,85208218,ACC2-MVC No Injuries
6/1/2019 9:23:57 PM,6/2/2019 12:25:38 AM,100 HIGHWAY 153 SB,CHATTANOOGA,35034506,85183441,ACCDEL-MVC Delayed
6/1/2019 7:08:48 PM,6/1/2019 7:56:29 PM,100 HIGHWAY 153 SB,CHATTANOOGA,35034506,85183441,ACCDEL-MVC Delayed
6/1/2019 5:54:45 PM,6/1/2019 5:55:13 PM,3600-3698 4th Ave,CHATTANOOGA,35000788,85288668,ACC2-MVC No Injuries
6/1/2019 5:53:17 PM,6/1/2019 6:06:20 PM,3700-3799 4th Ave,CHATTANOOGA,35000609,85288798,ACC1-MVC Injuries
