,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,CM
0,71.20773691090581,0.20680620496379293,70.84027339038539,0.20584918727152424,0.7767726989706609,"[[10372  6499]
 [ 3655 14296]]"
1,71.82803828986738,0.19164507674901127,71.63574751593819,0.19052654956834664,0.783250209101779,"[[11891  4980]
 [ 4897 13054]]"
2,72.30679991303927,0.1894241044802939,72.00907472287635,0.18863315089368385,0.7867071033842379,"[[11739  5132]
 [ 4615 13336]]"
3,72.3388005364625,0.18854367527524105,72.0521509390615,0.18798404254651696,0.7876169623839944,"[[11826  5045]
 [ 4687 13264]]"
4,72.47910615090636,0.1882068910560657,72.17276434437998,0.18749448600408924,0.7880672675025248,"[[11332  5539]
 [ 4151 13800]]"
5,72.57141230204684,0.18774888226110645,72.14117511917753,0.18712055384147366,0.7888060243924113,"[[11054  5817]
 [ 3884 14067]]"
6,72.2760326585685,0.1872669527150288,71.89994830854056,0.18680201156418144,0.7896639981966598,"[[10450  6421]
 [ 3364 14587]]"
7,72.71541080074785,0.18664494032217988,72.5231175693527,0.18627891578632366,0.7913945684919103,"[[11614  5257]
 [ 4311 13640]]"
8,72.9541768325785,0.1857975432578084,72.60639825397736,0.18540389005050056,0.7933622237692006,"[[11361  5510]
 [ 4029 13922]]"
9,72.88648554727737,0.18511215687331029,72.62075699270576,0.18504636877073904,0.7940845617113884,"[[12119  4752]
 [ 4782 13169]]"
10,73.01202297080115,0.18485426735811467,72.71839641605882,0.18459878938517385,0.7946177804520788,"[[11906  4965]
 [ 4535 13416]]"
11,73.16340490051614,0.18428787465858146,72.65521796565389,0.18416784988885665,0.7957652378871414,"[[11019  5852]
 [ 3670 14281]]"
12,73.37017189581806,0.18335116464045875,73.0601343977945,0.1832616736992453,0.7982186067466418,"[[11951  4920]
 [ 4461 13490]]"
13,73.22617388201782,0.18267439465547394,72.89644477629085,0.18292606451574286,0.7998308549560529,"[[12505  4366]
 [ 5072 12879]]"
14,73.43294019185645,0.18201371913123526,73.19510654184134,0.1824511890965599,0.8006468923409451,"[[12274  4597]
 [ 4737 13214]]"
15,73.52524754285115,0.1818222741320928,73.04290391132044,0.18159670701820727,0.8006635457271127,"[[11169  5702]
 [ 3685 14266]]"
16,73.04648388676408,0.18160184823382167,72.67244845212797,0.18198571703396468,0.8009947594053914,"[[12788  4083]
 [ 5433 12518]]"
17,73.78493668297969,0.1810312047743554,73.32433519039687,0.18112585194216016,0.8032147530239764,"[[11770  5101]
 [ 4188 13763]]"
18,73.84278182029678,0.18052795762766305,73.29848946068577,0.1804278453853357,0.8032700029068058,"[[11673  5198]
 [ 4100 13851]]"
19,73.92524135557169,0.18017625839025786,73.43346160473264,0.18045001357909066,0.8046060330705971,"[[11962  4909]
 [ 4342 13609]]"
20,73.84155107956502,0.17991874346433673,73.34443742461663,0.17974792269091527,0.8050017057709977,"[[11396  5475]
 [ 3807 14144]]"
21,73.84893567932916,0.17947710163902889,73.33582218137957,0.17963634627837233,0.805750517099445,"[[11193  5678]
 [ 3607 14344]]"
22,73.96093402087459,0.17922738099337793,73.44207684796967,0.1791593228003528,0.8068953709467226,"[[11511  5360]
 [ 3888 14063]]"
23,74.03231770714602,0.17927727362873214,73.53397277583137,0.17940356454724998,0.8075957822881676,"[[11951  4920]
 [ 4296 13655]]"
24,74.0717020879559,0.17885497751664595,73.5425880190684,0.17859465008501302,0.8088023314251946,"[[11976  4895]
 [ 4318 13633]]"
25,73.92278049120124,0.1783917916131832,73.45643558669806,0.17833761334148376,0.8089207112951641,"[[11202  5669]
 [ 3574 14377]]"
26,74.29693009615356,0.17763593831600996,73.8297627936362,0.1775679080979374,0.8115696398101562,"[[12335  4536]
 [ 4577 13374]]"
27,74.24770050921151,0.17713423395137998,73.69191890184365,0.17730314323332955,0.8114306343078491,"[[11517  5354]
 [ 3807 14144]]"
28,74.41138919650635,0.1769299194701666,73.86709551433002,0.1768240679608201,0.8122308272843888,"[[12287  4584]
 [ 4516 13435]]"
29,74.43477500314116,0.1765307121961343,73.91304347826086,0.17656870175748896,0.8131513532344803,"[[12359  4512]
 [ 4572 13379]]"
30,74.48523517390079,0.17610197197514732,73.85273677560164,0.17614886020750267,0.8140106131483573,"[[12385  4486]
 [ 4619 13332]]"
31,74.6415407302186,0.17552843677479799,74.07673309976452,0.1755873502507143,0.8151299974022566,"[[11929  4942]
 [ 4085 13866]]"
32,74.65015570392119,0.17515383345575725,73.99345241513984,0.1753753962849487,0.8155865167911881,"[[12245  4626]
 [ 4430 13521]]"
33,74.68215544293241,0.17514618706013296,73.95037619895469,0.1751863493972163,0.8157785400579447,"[[12368  4503]
 [ 4568 13383]]"
34,74.55538858732203,0.17495603692325787,73.93888920797197,0.1756044874094702,0.8155748675106489,"[[11449  5422]
 [ 3653 14298]]"
35,74.5849266009522,0.1745243121076292,73.93027396473494,0.17505496820299066,0.8171738715975421,"[[12764  4107]
 [ 4971 12980]]"
36,74.9098454688454,0.17405004956625758,74.19160300959163,0.17439505883295842,0.8180882856376908,"[[12199  4672]
 [ 4315 13636]]"
37,74.83107698386114,0.1738176136206289,74.23180747803112,0.17404513500405436,0.8181541380828251,"[[11752  5119]
 [ 3854 14097]]"
38,74.90861431158318,0.17357082820014896,74.17437252311754,0.17398055626170966,0.8185489242095795,"[[11667  5204]
 [ 3789 14162]]"
39,75.02307409417149,0.17335442110654325,74.3150881626558,0.1736776983709095,0.8192488320036088,"[[12185  4686]
 [ 4258 13693]]"
