Accident,Latitude,Longitude,Date,Time,Route,Log_Mile,Terrain,Land_Use,Access_Control,Illumination,Operation,School_Zone,Speed_Limit
1,35.045946,-85.301604,2017-11-27,15:28:35,3305001001,0.251,,,,,,,
1,35.054485,-85.306741,2017-11-27,15:32:21,3305395001,2.594,,,,,,,
1,35.017621,-85.322257,2017-11-27,15:32:52,330A835001,0.068,2.0,2.0,0.0,1.0,2.0,,-10.0
1,35.036406,-85.139365,2017-11-27,15:34:50,3301122001,1.032,,,,,,,
1,35.047438,-85.238317,2017-11-27,15:38:12,3303556001,2.354,,,,,,,
1,35.01569,-85.322885,2017-11-27,15:52:14,33SR002001,6.067,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.054972,-85.127658,2017-11-27,16:08:18,3304989001,0.753,,,,,,,
1,35.00792,-85.265357,2017-11-27,16:11:00,3304148001,2.329,,,,,,,
1,35.046753,-85.286955,2017-11-27,16:13:44,3303552001,1.365,,,,,,,
1,35.034528,-85.158706,2017-11-27,16:16:11,3304986001,1.464,,,,,,,
1,35.057348,-85.316129,2017-11-27,16:36:39,33SR029001,0.196,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.264996,-85.213672,2017-11-27,16:40:55,330D733001,0.001,2.0,7.0,0.0,-10.0,2.0,,-10.0
1,35.264996,-85.213672,2017-11-27,16:46:11,330D733001,0.001,2.0,7.0,0.0,-10.0,2.0,,-10.0
1,35.12299,-85.124042,2017-11-27,17:03:19,33SR058001,10.212,2.0,4.0,0.0,0.0,2.0,,45.0
1,35.081783,-85.26321,2017-11-27,17:10:54,3305395001,6.326,,,,,,,
1,35.087611,-85.214113,2017-11-27,17:49:03,33SR153001,5.272,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.085686,-85.066688,2017-11-27,18:01:51,33SR002001,20.634,2.0,2.0,0.0,1.0,2.0,,45.0
1,35.071531,-85.156379,2017-11-27,18:07:24,33SR317001,3.28,2.0,4.0,0.0,1.0,2.0,,50.0
1,35.034528,-85.158706,2017-11-27,18:23:49,3304986001,1.464,,,,,,,
1,35.119695,-85.291474,2017-11-27,18:24:57,330C656001,0.052,2.0,7.0,0.0,-10.0,2.0,,-10.0
1,35.022082,-85.198323,2017-11-27,18:45:02,33SR002001,15.828,2.0,2.0,0.0,1.0,2.0,,40.0
