,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
4781,4188,33I0024002,-85.297411,35.02156,96,2/25/19,17:00,17,55.35,55.97,35.01,25.97,0.32,2,0,10.0,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,0.32617462,8.996,0.0
1700,956,33SR002001,-85.14994200000001,35.052240000000005,27,2/25/19,3:00,3,40.05,55.2,35.33,25.6,0.56,2,0,10.0,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,13,1,14,12,15,,0.014554373,19.276,0.0
3224,5062,33I0124001,-85.314203,35.044153,32,2/25/19,20:00,20,47.04,55.86,34.99,27.53,0.46,2,0,10.0,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,5,6,2,1,11,24,15,,0.30878627,1.197,0.0
3286,492,33I0075001,-85.200274,35.008246,171,2/25/19,2:00,2,41.24,55.35,35.36,26.42,0.55,2,0,10.0,0.12,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.030966574,2.029,0.0
2945,3842,3304134001,-85.20734,35.147481,32,2/25/19,15:00,15,54.57,55.4,34.0,23.74,0.3,2,0,10.0,0.16,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,18,4,16,20,15,,0.08392887,1.307,0.0
2374,2216,33SR008001,-85.33131800000001,35.094367999999996,114,2/25/19,9:00,9,36.79,55.6,34.81,19.7,0.5,2,0,10.0,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.23345558,13.147,0.0
1194,2886,33SR002001,-85.211097,35.013904,29,2/25/19,11:00,11,42.2,55.45,34.77,21.38,0.43,2,0,10.0,0.12,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.24498415,14.907,0.0
4305,4635,33SR002001,-85.328307,35.013733,27,2/25/19,18:00,18,52.35,55.87,34.95,26.92,0.37,2,0,10.0,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,3,0,0,2,3,3,21,1,16,24,15,,0.09244856,5.742999999999999,0.0
2576,803,33I0024002,-85.39315,35.008289000000005,50,2/25/19,3:00,3,39.66,56.0,34.73,25.43,0.56,2,0,10.0,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.08670614,2.0069999999999997,0.0
1954,5322,3305770001,-85.231362,35.007176,31,2/25/19,21:00,21,45.33,55.6,34.94,27.24,0.49,2,0,10.0,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,1,2,3,18,4,16,36,15,,0.15086432,0.7509999999999999,0.0
