Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
4430,33I0075001,-85.184679,35.01246,102,2/25/19,18:00,18,51.98,55.05,34.78,30.94,0.44,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,8,8,2,1,11,48,18,,,2.974
467,33I0124001,-85.318867,35.035208,27,2/25/19,1:00,1,44.05,55.5,36.17,20.84,0.39,2,0,2.01,0.2,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,5,2,2,6,8,2,1,11,36,15,,,0.445
4843,3304987001,-85.155546,35.030221,29,2/25/19,19:00,19,48.29,54.92,34.65,31.17,0.51,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,,1.127
924,33I0024002,-85.399125,34.994874,29,2/25/19,3:00,3,39.48,55.11,35.62,22.2,0.5,2,0,1.74,0.2,rain,0.0003,0.0019,1551128400,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,0,2,2,4,4,2,1,11,24,15,,,0.996
3858,330D198001,-85.200011,35.054571,30,2/25/19,15:00,15,54,55.08,34.38,27.11,0.35,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,28,15,,,0.301
2866,3304986001,-85.159779,35.035252,32,2/25/19,11:00,11,42.72,54.96,34.62,22.6,0.44,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,,1.482
3415,33I0024002,-85.259012,35.019636,26,2/25/19,13:00,13,48.56,54.47,34.51,24.44,0.38,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,,11.532
5572,3304995001,-85.186686,35.029063,30,2/25/19,22:00,22,44.33,54.84,34.43,30.08,0.57,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,28,15,,,0.699
3760,33I0024002,-85.399306,34.9933,45,2/25/19,15:00,15,54.27,55.03,35.39,26.84,0.34,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,,0.896
2068,330D462001,-85.21983,35.089088,40,2/25/19,8:00,8,36.56,55.05,36.06,18.92,0.48,2,0,3.77,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,24,15,,,0.008
5798,330E643001,-85.184651,35.030289,32,2/25/19,23:00,23,43.85,54.77,34.43,27.33,0.52,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,26,15,,,0.037
5413,33I0024002,-85.297411,35.02156,96,2/25/19,22:00,22,44.94,55.38,34.5,30.16,0.56,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,,8.996
5422,33I0075001,-85.200822,35.007894,71,2/25/19,22:00,22,44.54,55.04,34.69,30.28,0.57,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,1.991
4177,330C353001,-85.206483,35.006562,113,2/25/19,17:00,17,54.72,55.1,34.69,29.46,0.38,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,48,15,,,0.568
2479,33I0024002,-85.380506,35.021426,79,2/25/19,10:00,10,39.91,55.06,34.83,18.43,0.42,2,0,8.56,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,6,2,1,11,24,15,,,3.177
3843,33I0124001,-85.314339,35.049113,32,2/25/19,15:00,15,54.46,55.27,36.05,26.76,0.34,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,4,6,2,1,11,24,15,,,1.543
35,33I0024002,-85.221655,35.004334,70,2/25/19,0:00,0,53.79,60.81,45.88,49.99,0.87,2,0,6.41,0.35,rain,0.0134,0.134,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,2,2,6,6,2,1,11,36,18,,,13.951
3812,3303611001,-85.244059,35.01068,35,2/25/19,15:00,15,53.73,54.96,34.63,27.01,0.35,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,24,15,,,0.996
2136,3304986001,-85.156744,35.037712,31,2/25/19,8:00,8,36.39,54.94,35.95,20.7,0.53,2,0,3.4,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,17,12,15,,,1.863
1790,330A271001,-85.308341,35.065196,47,2/25/19,7:00,7,35.79,55.21,35.79,19.07,0.5,2,0,3.67,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,18,15,,,0.225
2260,3303587001,-85.26244,35.115281,57,2/25/19,9:00,9,38.33,55.16,35.82,17.69,0.43,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,,1.627
