Accident,Latitude,Longitude,Date,Time,Route,Log_Mile,Terrain,Land_Use,Access_Control,Illumination,Operation,School_Zone,Speed_Limit
1,35.044601,-85.155492,2017-06-17,10:41:18,330E636001,0.102,2.0,2.0,0.0,-10.0,2.0,,-10.0
1,34.990179,-85.20629,2017-06-17,11:09:03,330B824001,0.112,,,,,,,
1,35.030545,-85.189874,2017-06-17,11:22:52,330B598001,0.118,2.0,2.0,0.0,1.0,2.0,,-10.0
1,34.995411,-85.233981,2017-06-17,11:34:24,33SR008001,2.757,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.017208,-85.293226,2017-06-17,11:36:45,33SR027001,5.609,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.045094,-85.16131,2017-06-17,11:39:28,33SR002001,18.47,2.0,2.0,0.0,1.0,2.0,,40.0
1,34.999574,-85.210019,2017-06-17,11:46:15,33I0075001,1.074,1.0,2.0,2.0,1.0,2.0,,55.0
1,35.045754,-85.309399,2017-06-17,12:02:12,33SR008001,8.968,2.0,2.0,0.0,1.0,2.0,,30.0
1,35.375209,-85.112201,2017-06-17,12:13:55,33SR029001,26.495,2.0,0.0,0.0,0.0,2.0,,45.0
1,35.040261,-85.225947,2017-06-17,12:27:14,3303613001,2.412,,,,,,,
1,35.040261,-85.225947,2017-06-17,12:54:23,3303613001,2.412,,,,,,,
1,35.053255,-85.311339,2017-06-17,13:23:44,330A347001,0.091,2.0,2.0,0.0,1.0,1.0,,-10.0
1,35.030081,-85.153146,2017-06-17,13:33:51,3305787001,0.129,,,,,,,
1,35.030138,-85.289196,2017-06-17,14:04:30,330A495001,0.761,2.0,4.0,0.0,-10.0,2.0,,30.0
1,34.994049,-85.29163,2017-06-17,14:11:44,330A943001,1.475,,,,,,,
1,34.990623,-85.192528,2017-06-17,14:44:19,330B828001,0.148,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.024501,-85.155628,2017-06-17,14:55:54,3304988001,2.853,,,,,,,
1,35.018895,-85.186165,2017-06-17,14:56:14,33SR320001,1.213,2.0,7.0,0.0,1.0,2.0,,40.0
1,35.019636,-85.259012,2017-06-17,15:29:31,33I0024002,11.532,2.0,0.0,2.0,1.0,2.0,,55.0
1,35.01568,-85.277396,2017-06-17,15:40:55,33I0024002,10.253,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.016831,-85.281292,2017-06-17,15:41:34,33I0024002,10.02,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.103939,-85.065164,2017-06-17,15:58:04,3302207001,1.542,,,,,,,
1,35.103939,-85.065164,2017-06-17,16:06:13,3302207001,1.542,,,,,,,
1,35.114607,-85.261004,2017-06-17,16:24:47,3303587001,1.716,,,,,,,
1,35.004771,-85.21891,2017-06-17,16:38:00,3303609001,1.138,,,,,,,
1,35.084872,-85.196929,2017-06-17,17:21:33,33SR058001,5.147,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.0685,-85.289413,2017-06-17,17:24:12,3303589001,0.904,,,,,,,
1,34.996081,-85.206737,2017-06-17,18:38:37,33I0075001,0.771,1.0,2.0,2.0,1.0,2.0,,55.0
1,35.018106,-85.204179,2017-06-17,20:16:31,33SR002001,15.395,2.0,2.0,0.0,1.0,2.0,,40.0
1,34.991095,-85.204718,2017-06-17,22:01:01,33I0075001,0.413,1.0,2.0,2.0,1.0,2.0,,55.0
1,35.094371,-85.20139,2017-06-17,22:05:54,330D415001,0.46,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.062087,-85.086659,2017-06-17,22:44:20,330E204001,0.36,,,,,,,
1,35.09208,-85.285706,2017-06-17,23:19:01,330A141001,0.12,2.0,7.0,0.0,-10.0,2.0,,25.0
1,35.04156,-85.154814,2017-06-17,23:28:12,330F894001,0.09,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.051645,-85.301137,2017-06-17,23:44:34,3303549001,0.321,,,,,,,
1,35.049741,-85.306413,2017-06-17,23:59:57,330A341001,0.04,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.084843,-85.193451,2017-06-18,00:03:29,33SR058001,5.335,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.003411,-85.212036,2017-06-18,03:32:25,33I0075001,1.32,1.0,0.0,2.0,1.0,2.0,,55.0
1,35.004877,-85.211081,2017-06-18,03:43:39,33I0024002,14.563,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.01644,-85.280517,2017-06-18,03:44:20,33I0024002,10.07,2.0,2.0,2.0,1.0,2.0,,55.0
