Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
5719,33I0075001,-85.112125,35.073843,45,2/25/19,23:00,23,42.12,54.01,34.45,26.07,0.53,2,0,10,0.08,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,,8.945
4865,3301122001,-85.154861,35.042127,28,2/25/19,19:00,19,47.79,54.95,34.51,27.27,0.45,2,0,10,0.08,rain,0.0002,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,0.067
29,33I0024002,-85.380506,35.021426,79,2/25/19,0:00,0,55.25,61.58,42.36,51.47,0.87,2,0,3.2,0.35,rain,0.0148,0.1572,1550995200,clear-night,rain,Clear,Light Rain,0,0,1,0,0,0,2,0,2,2,4,6,2,1,11,24,15,,,3.177
1983,33I0024002,-85.297411,35.02156,96,2/25/19,8:00,8,34.83,55.58,34.26,19.77,0.54,2,0,10,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,,8.996
3568,33SR317001,-85.209734,35.081593,35,2/25/19,14:00,14,51.47,54.89,34.14,21.75,0.31,2,0,10,0.09,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,13,1,14,24,15,,,0.001
4442,33I0075001,-85.200822,35.007894,71,2/25/19,18:00,18,51.61,55.11,34.36,26.78,0.38,2,0,10,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,1.991
440,33I0075001,-85.201076,35.007825,29,2/25/19,1:00,1,40.68,55.11,34.37,27.6,0.59,2,0,10,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,1.976
4590,33SR008001,-85.318282,35.083649,31,2/25/19,18:00,18,51.86,55.53,34.02,26.35,0.37,2,0,10,0.1,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,22,15,,,11.995
2802,330C656001,-85.291474,35.119695,41,2/25/19,11:00,11,42.16,55.24,33.95,17.37,0.36,2,0,10,0.1,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,,,0.052
602,33I0124001,-85.314195,35.04437,39,2/25/19,2:00,2,39.74,55.55,34.24,26.54,0.59,2,0,10,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,5,6,2,1,11,24,15,,,1.212
