BLM,ELM,ID_NUMBER,ROW ,No. Lns.,Spd_Limit,Terrain,Land_Use,Illum,Operation,AccCtrl,Sch Spd Limit,Truck Spd Limit
0,0.085,330B510001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.061,330B565001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.078,330B624001,48,1,-10,2,7,-10,2,0,-10,-10
0,0.17,330B685001,28,1,-10,2,0,1,2,0,-10,-10
0,0.105,330B696001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.12,330B779001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.042,330B811001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.051,330B883001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.146,330B890001,32,1,-10,2,7,1,2,0,-10,-10
0,0.065,330B897001,32,1,-10,2,7,1,2,0,-10,-10
0,0.13,330B951001,36,1,-10,2,7,1,2,0,-10,-10
0,0.087,330B965001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.099,330C006001,32,1,-10,2,7,1,2,0,-10,-10
0,0.102,330C018001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.225,330C021001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.142,330C022001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.161,330C023001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.294,330C024001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.173,330C025001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.165,330C026001,32,1,-10,2,7,1,2,0,-10,-10
0,0.134,330C029001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.065,330C033001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.111,330C034001,28,1,-10,3,0,-10,2,0,-10,-10
0,0.122,330C036001,28,1,-10,3,0,-10,2,0,-10,-10
0,0.086,330C036002,28,1,-10,3,0,-10,2,0,-10,-10
0,0.21,330C040001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.114,330C048001,30,1,-10,2,0,-10,2,0,-10,-10
0,0.134,330C050001,32,1,-10,2,7,1,2,0,-10,-10
0,0.138,330C054001,28,1,-10,2,7,-10,1,0,-10,-10
0,0.075,330C056001,32,1,-10,2,7,1,2,0,-10,-10
0,0.124,330C057001,36,1,-10,2,7,1,2,0,-10,-10
0,0.101,330C086001,28,1,10,2,7,-10,2,0,-10,-10
0,0.152,330C093001,28,1,-10,2,7,1,2,0,-10,-10
0,0.135,330C096001,36,1,-10,3,0,-10,2,0,-10,-10
0,0.057,330C116001,40,1,-10,2,7,-10,2,0,-10,-10
0,0.15,330C136001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.058,330C146001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.28,330C184001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.288,330C188001,36,1,-10,2,0,-10,2,0,-10,-10
0,1.81,330C192001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.082,330C231001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.08,330C232001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.24,330C233001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.224,330C236001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.077,330C237001,40,1,-10,2,7,-10,2,0,-10,-10
0,0.147,330C249001,28,1,-10,3,0,-10,2,0,-10,-10
0,0.091,330C276001,28,1,-10,2,7,1,2,0,-10,-10
0,0.043,330C295001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.085,330C307001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.048,330C362001,32,1,-10,2,0,-10,2,0,-10,-10
0,0.146,330C364001,28,1,-10,2,7,1,2,0,-10,-10
0,0.081,330C369001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.057,330C371001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.155,330C381001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.07,330C384001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.151,330C421001,52,1,-10,2,0,-10,2,0,-10,-10
0,0.093,330C427001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.286,330C437001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.375,330C440001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.086,330C459001,20,1,-10,2,7,-10,2,0,-10,-10
0,0.422,330C513001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.117,330C519001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.224,330C522001,40,1,-10,2,7,-10,2,0,-10,-10
0,0.07,330C532001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.079,330C533001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.338,330C543001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.116,330C544001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.081,330C545001,28,1,-10,3,0,-10,2,0,-10,-10
0,0.236,330C547001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.141,330C549001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.383,330C550001,32,1,25,2,7,-10,2,0,-10,-10
0,0.15,330C556001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.368,330C566001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.31,330C576001,32,1,25,3,0,-10,2,0,-10,-10
0,0.077,330C600001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.073,330C612001,32,1,-10,2,7,1,2,0,-10,-10
0,0.068,330C618001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.112,330C622001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.089,330C658001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.05,330C661001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.091,330C681001,62,1,-10,2,0,-10,2,0,-10,-10
0,0.13,330C685001,72,1,-10,2,7,-10,2,0,-10,-10
0,0.066,330C687001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.095,330C713001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.039,330C714001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.229,330C721001,32,1,25,2,7,-10,2,0,-10,-10
0,0.112,330C724001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.072,330C734001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.09,330C763001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.097,330C771001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.078,330C774001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.286,330C847001,34,1,25,2,7,1,2,0,-10,-10
0,0.07,330C886001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.068,330C894001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.138,330C937001,28,1,-10,2,7,1,2,0,-10,-10
0,0.096,330C947001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.109,330C955001,36,1,-10,2,7,1,2,0,-10,-10
0,0.538,330C985001,34,1,30,2,7,-10,2,0,-10,-10
0,0.322,330D021001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.158,330D035001,32,1,25,2,7,-10,2,0,-10,-10
0,0.113,330D054001,30,1,-10,2,7,-10,2,0,-10,-10
0,0.154,330D069001,32,1,20,2,7,-10,2,0,-10,-10
0,0.279,330D070001,40,1,-10,2,7,-10,2,0,-10,-10
0,0.124,330D073001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.173,330D077001,28,1,15,2,7,-10,2,0,-10,-10
0,0.144,330D079001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.144,330D119001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.141,330D355001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.168,330D399001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.186,330D408001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.099,330D423001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.157,330D447001,32,1,-10,2,7,1,2,0,-10,-10
0,0.099,330D467001,36,1,-10,2,7,-10,2,0,-10,-10
0,0.099,330D469001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.1,330D476001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.081,330D477001,32,1,-10,2,7,1,2,0,-10,-10
0,0.079,330D478001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.109,330D480001,28,1,-10,2,7,1,2,0,-10,-10
0,0.071,330D501001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.136,330D506001,36,1,20,2,7,-10,2,0,-10,-10
0,0.18,330D507001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.119,330D521001,34,1,-10,2,7,-10,2,0,-10,-10
