Accident,Latitude,Longitude,Date,Time,Route,Log_Mile,Terrain,Land_Use,Access_Control,Illumination,Operation,School_Zone,Speed_Limit
1,35.010063,-85.207747,2017-05-09,13:25:17,330C357001,0.001,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.172853,-85.206923,2017-05-09,13:52:41,3304126001,3.347,,,,,,,
1,35.015214,-85.163699,2017-05-09,13:59:17,33SR320001,2.607,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.059729,-85.27452,2017-05-09,14:18:01,330A400001,0.344,2.0,5.0,0.0,1.0,2.0,,30.0
1,35.266706,-85.17177,2017-05-09,14:21:25,330D573001,0.244,2.0,7.0,0.0,-10.0,2.0,,15.0
1,35.010117,-85.220935,2017-05-09,14:25:13,33SR002001,14.267,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.020944,-85.366068,2017-05-09,14:29:36,3303622001,0.041,,,,,,,
1,35.02834,-85.314378,2017-05-09,15:02:02,330A643001,0.776,2.0,4.0,0.0,1.0,1.0,,25.0
1,35.016831,-85.281292,2017-05-09,15:06:58,33I0024002,10.02,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.158639,-85.285131,2017-05-09,15:11:24,33SR029001,7.872,2.0,0.0,2.0,0.0,2.0,,65.0
1,35.158887,-85.285041,2017-05-09,15:16:43,33SR029001,7.89,2.0,0.0,2.0,0.0,2.0,,65.0
1,35.264298,-85.174817,2017-05-09,15:29:00,330D572001,0.025,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.049668,-85.309567,2017-05-09,15:31:16,3303550001,0.537,,,,,,,
1,35.000317,-85.329291,2017-05-09,15:53:45,330A731001,0.14,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.050422,-85.294787,2017-05-09,16:06:20,3303552001,0.847,,,,,,,
1,35.028893,-85.177195,2017-05-09,16:09:53,33SR153001,0.563,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.16037,-85.210559,2017-05-09,16:39:14,330C946001,0.117,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.053263,-85.260921,2017-05-09,16:39:27,33SR017001,4.833,2.0,2.0,0.0,1.0,2.0,,35.0
1,34.995937,-85.234637,2017-05-09,16:44:34,3303610001,0.819,,,,,,,
1,35.205593,-85.165909,2017-05-09,16:51:22,3304427001,0.978,,,,,,,
1,35.035524,-85.161923,2017-05-09,16:59:17,3304986001,1.444,,,,,,,
1,35.123345,-85.316771,2017-05-09,17:01:16,3303594001,1.182,,,,,,,
1,35.083861,-85.063324,2017-05-09,17:02:53,3304976001,1.694,,,,,,,
1,35.015322,-85.182455,2017-05-09,17:07:26,330B010001,0.443,2.0,7.0,0.0,1.0,2.0,,-10.0
1,35.050694,-85.189421,2017-05-09,17:13:20,33SR153001,2.284,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.042596,-85.186349,2017-05-09,17:13:34,33SR153001,1.7,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.080045,-85.132664,2017-05-09,17:28:55,3305747001,1.222,,,,,,,
1,35.010482,-85.214253,2017-05-09,17:38:00,330C359001,0.071,1.0,2.0,0.0,1.0,2.0,,15.0
1,34.996805,-85.283088,2017-05-09,17:43:21,3303557001,0.711,,,,,,,
1,35.039725,-85.18526,2017-05-09,17:53:13,33SR153001,1.494,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.074977,-85.198053,2017-05-09,18:08:50,33SR317001,0.863,2.0,2.0,0.0,1.0,2.0,,45.0
1,35.082562,-85.206217,2017-05-09,18:10:15,33SR058001,4.589,2.0,2.0,0.0,0.0,2.0,,40.0
1,35.017395,-85.279174,2017-05-09,18:19:39,33SR002001,9.763,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.066572,-85.310533,2017-05-09,19:05:38,330A309001,0.188,2.0,7.0,0.0,1.0,2.0,,-10.0
1,35.035536,-85.153126,2017-05-09,19:17:35,3304987001,1.519,,,,,,,
1,35.006205,-85.231908,2017-05-09,19:31:52,3303578001,0.787,,,,,,,
1,35.004569,-85.227451,2017-05-09,19:54:46,3303610001,1.557,,,,,,,
1,35.006717,-85.286845,2017-05-09,20:06:34,330A958001,0.543,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.006717,-85.286845,2017-05-09,20:20:03,330A958001,0.543,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.130206,-85.005521,2017-05-09,21:45:44,06I0075001,1.181,,,,,,,
1,35.025818,-85.302211,2017-05-09,22:07:49,33SR002001,8.322,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.025818,-85.302211,2017-05-09,22:49:31,33SR002001,8.322,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.114607,-85.261004,2017-05-09,22:54:48,3303587001,1.716,,,,,,,
1,35.080773,-85.243602,2017-05-09,23:17:35,330B495001,0.004,2.0,7.0,0.0,1.0,2.0,,-10.0
1,34.993709,-85.206471,2017-05-10,03:48:14,33I0075001,0.62,1.0,2.0,2.0,1.0,2.0,,55.0
1,35.091264,-85.186031,2017-05-10,04:34:09,33SR058001,5.931,2.0,2.0,0.0,1.0,2.0,,45.0
1,35.064771,-85.318583,2017-05-10,06:48:42,330A015001,0.046,2.0,0.0,0.0,1.0,2.0,,-10.0
1,35.056969,-85.316172,2017-05-10,06:48:58,33SR029001,0.171,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.089793,-85.312554,2017-05-10,06:52:13,3301406001,0.496,,,,,,,
1,35.033431,-85.239936,2017-05-10,07:45:49,330B164001,0.181,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.016396,-85.168561,2017-05-10,07:51:42,330E400001,0.088,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.008246,-85.200274,2017-05-10,07:51:51,33I0075001,2.029,2.0,4.0,2.0,1.0,2.0,,55.0
1,35.09204,-85.184277,2017-05-10,07:56:50,33SR058001,6.032,2.0,2.0,0.0,1.0,2.0,,45.0
1,35.015145,-85.279881,2017-05-10,08:08:15,330B656001,0.435,2.0,7.0,0.0,1.0,2.0,,15.0
1,35.01572,-85.273583,2017-05-10,08:15:35,33SR002001,10.096,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.014874,-85.274068,2017-05-10,08:16:57,3303557001,2.078,,,,,,,
1,35.089088,-85.21983,2017-05-10,08:45:36,330D462001,0.008,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.015252,-85.253185,2017-05-10,08:48:10,33I0024002,11.983,2.0,0.0,2.0,1.0,2.0,,55.0
1,35.033431,-85.239936,2017-05-10,09:04:34,330B164001,0.181,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,34.996081,-85.206737,2017-05-10,09:07:39,33I0075001,0.771,1.0,2.0,2.0,1.0,2.0,,55.0
1,35.074581,-85.166853,2017-05-10,09:23:11,33SR317001,2.644,2.0,2.0,0.0,1.0,2.0,,45.0
1,35.170586,-85.279705,2017-05-10,09:24:49,33SR029001,8.758,2.0,0.0,2.0,0.0,2.0,,65.0
1,35.089391,-85.188033,2017-05-10,09:25:57,330D298001,0.161,2.0,7.0,0.0,1.0,2.0,,30.0
1,35.088442,-85.188435,2017-05-10,09:30:07,33SR058001,5.701,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.001294,-85.210866,2017-05-10,09:37:43,33I0075001,1.202,1.0,0.0,2.0,1.0,2.0,,55.0
1,35.015252,-85.253185,2017-05-10,09:37:57,33I0024002,11.983,2.0,0.0,2.0,1.0,2.0,,55.0
1,35.045622,-85.169722,2017-05-10,09:41:08,330E535001,0.12,2.0,7.0,0.0,1.0,2.0,,-10.0
1,35.019833,-85.336134,2017-05-10,10:36:19,33I0024002,6.066,2.0,0.0,2.0,0.0,2.0,,65.0
1,35.129576,-85.30743,2017-05-10,11:09:34,330D720001,0.12,2.0,7.0,0.0,1.0,2.0,,-10.0
1,35.040619,-85.168462,2017-05-10,11:27:23,33SR002001,17.94,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.034718,-85.149653,2017-05-10,12:18:21,330F888001,0.443,2.0,2.0,0.0,1.0,2.0,,-10.0
1,35.026669,-85.24507,2017-05-10,13:06:23,330B212001,0.001,2.0,7.0,0.0,-10.0,2.0,,-10.0
1,35.021856,-85.241575,2017-05-10,13:17:41,33SR002001,12.793,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.010063,-85.207747,2017-05-10,13:29:23,330C357001,0.001,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.034528,-85.158706,2017-05-10,13:59:48,3304986001,1.464,,,,,,,
1,35.030545,-85.189874,2017-05-10,14:10:35,330B598001,0.118,2.0,2.0,0.0,1.0,2.0,,-10.0
1,35.030545,-85.189874,2017-05-10,14:15:31,330B598001,0.118,2.0,2.0,0.0,1.0,2.0,,-10.0
1,34.990813,-85.289452,2017-05-10,14:18:42,330A903001,0.032,2.0,7.0,0.0,1.0,2.0,,30.0
1,34.999689,-85.256281,2017-05-10,15:06:45,33SR008001,4.081,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.081783,-85.26321,2017-05-10,15:10:50,3305395001,6.326,,,,,,,
1,35.021144,-85.223782,2017-05-10,15:15:34,3303578001,1.922,,,,,,,
1,35.020028,-85.293904,2017-05-10,15:52:55,33SR027001,5.413,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.022305,-85.298081,2017-05-10,15:53:13,33I0024002,8.932,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.02074,-85.29668,2017-05-10,15:53:19,33I0024002,9.065,2.0,2.0,2.0,1.0,2.0,,55.0
1,35.020028,-85.293904,2017-05-10,15:53:19,33SR027001,5.413,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.200613,-85.158821,2017-05-10,15:56:52,330D127001,0.002,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.354525,-85.122674,2017-05-10,15:57:11,33SR029001,24.942,2.0,0.0,0.0,0.0,2.0,,55.0
1,35.027231,-85.323459,2017-05-10,15:57:41,33I0024002,7.148,2.0,5.0,2.0,1.0,2.0,,55.0
1,35.200613,-85.158821,2017-05-10,15:57:50,330D127001,0.002,2.0,0.0,0.0,-10.0,2.0,,-10.0
1,35.40428,-85.10242,2017-05-10,15:58:08,33SR029001,28.584,2.0,0.0,0.0,0.0,2.0,,55.0
1,35.043809,-85.164172,2017-05-10,15:58:10,33SR002001,18.281,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.104708,-85.159727,2017-05-10,15:59:10,33SR058001,7.691,2.0,4.0,0.0,0.0,2.0,,50.0
1,35.017395,-85.279174,2017-05-10,16:18:49,33SR002001,9.763,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.017935,-85.279681,2017-05-10,16:19:10,3303573001,0.097,,,,,,,
1,35.083861,-85.063324,2017-05-10,16:25:00,3304976001,1.694,,,,,,,
1,35.073644,-85.19034,2017-05-10,16:30:52,33SR317001,1.308,2.0,2.0,0.0,1.0,2.0,,45.0
1,35.029717,-85.183654,2017-05-10,16:54:33,330E643001,0.127,2.0,2.0,0.0,-10.0,2.0,,-10.0
1,35.053471,-85.311819,2017-05-10,16:58:22,330A347001,0.117,2.0,2.0,0.0,1.0,1.0,,-10.0
1,35.031524,-85.314521,2017-05-10,17:03:49,33SR002001,7.272,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.071234,-85.15721,2017-05-10,17:07:52,33SR317001,3.241,2.0,4.0,0.0,1.0,2.0,,50.0
1,35.025041,-85.277153,2017-05-10,17:16:32,33SR008001,6.208,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.062455,-85.313612,2017-05-10,17:18:36,3303619001,0.213,,,,,,,
1,35.029063,-85.186686,2017-05-10,17:20:38,3304995001,0.699,,,,,,,
1,34.98971,-85.289841,2017-05-10,17:24:10,33SR027001,7.547,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.05095,-85.13302,2017-05-10,17:25:20,3303604001,3.161,,,,,,,
1,35.041926,-85.290932,2017-05-10,18:14:52,3305403001,1.653,,,,,,,
1,35.060656,-85.305108,2017-05-10,18:15:38,330A269001,0.076,2.0,7.0,0.0,0.0,2.0,,25.0
1,35.03759,-85.311257,2017-05-10,18:34:41,33SR017001,2.536,2.0,2.0,0.0,1.0,2.0,,35.0
1,35.013269,-85.211314,2017-05-10,18:50:58,33SR002001,14.867,2.0,2.0,0.0,1.0,2.0,,40.0
1,35.102581,-85.298294,2017-05-10,20:14:30,330C760001,0.146,2.0,7.0,0.0,1.0,2.0,,-10.0
1,35.081075,-85.204961,2017-05-10,21:16:49,33SR153001,4.582,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.071957,-85.197493,2017-05-10,21:16:55,33SR153001,3.816,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.090113,-85.218445,2017-05-10,21:16:59,3303598001,0.003,,,,,,,
1,35.081075,-85.204961,2017-05-10,21:17:42,33SR153001,4.582,2.0,4.0,2.0,0.0,2.0,,55.0
1,35.122746,-85.245481,2017-05-10,21:26:39,330C853001,0.156,2.0,7.0,0.0,1.0,2.0,,25.0
1,35.062428,-85.138196,2017-05-10,22:39:14,33SR317001,4.523,2.0,4.0,0.0,1.0,2.0,,45.0
