,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
2921,2170,3301122001,-85.154861,35.042127,28,2/25/19,8:00,8,34.99,54.94,34.52,20.43,0.55,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.17033565,0.067,0.0
5426,4615,330B707001,-85.25128199999999,35.015328000000004,28,2/25/19,18:00,18,51.38,54.88,34.49,26.58,0.38,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,16,15,,0.070428915,0.001,0.0
4903,4575,330B220001,-85.222513,35.010366,32,2/25/19,18:00,18,51.76,55.21,34.36,26.69,0.38,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,26,15,,0.2359145,0.102,0.0
473,4397,3305403001,-85.290524,35.041458,26,2/25/19,17:00,17,54.87,55.47,34.21,25.57,0.32,2,0,10.0,0.09,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,16,17,15,,0.14325926,1.618,0.0
3526,2662,3303578001,-85.219735,35.043284,27,2/25/19,10:00,10,38.97,55.27,34.2,17.95,0.42,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,16,42,15,,0.15494323,3.6689999999999996,0.0
1789,1270,33I0075001,-85.163861,35.035266,65,2/25/19,5:00,5,36.54,54.98,34.56,23.45,0.59,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.049940106,4.977,0.0
4092,4634,3301122001,-85.150941,35.040129,27,2/25/19,18:00,18,51.08,54.89,34.53,26.92,0.39,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.12478634,0.325,0.0
4950,922,330B936001,-85.245409,34.996398,30,2/25/19,3:00,3,39.11,55.08,34.48,26.41,0.6,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,24,15,,0.042111978,0.115,0.0
1669,539,330B598001,-85.189874,35.030545000000004,61,2/25/19,2:00,2,39.6,55.03,34.26,26.85,0.6,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,12,4,19,28,15,,0.013383136,0.11800000000000001,0.0
4049,2583,3304986001,-85.161923,35.035524,36,2/25/19,10:00,10,38.96,54.98,34.55,18.51,0.43,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,0.15376562,1.444,0.0
1537,5620,33I0024002,-85.259012,35.019636,26,2/25/19,22:00,22,43.67,54.63,34.52,26.58,0.51,2,0,10.0,0.08,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,0.04059456,11.532,0.0
3383,3209,33I0075001,-85.207205,35.005828,93,2/25/19,13:00,13,48.44,55.17,34.37,20.61,0.33,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,1,2,2,2,8,8,2,1,11,48,15,,0.22016421,1.5959999999999999,0.0
3726,856,33SR153001,-85.245876,35.137652,38,2/25/19,3:00,3,38.24,55.3,33.71,25.07,0.59,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.0513002,9.335,0.0
1870,3366,33SR002001,-85.365756,35.020313,31,2/25/19,13:00,13,49.12,55.8,33.7,19.94,0.31,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,24,15,,0.18177313,3.1910000000000003,0.0
5281,3525,3304987001,-85.157359,35.026889000000004,43,2/25/19,14:00,14,51.34,54.95,34.59,22.41,0.32,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.1958651,0.878,0.0
4519,3810,33SR008001,-85.206802,34.989515000000004,36,2/25/19,15:00,15,53.96,55.29,34.66,23.63,0.3,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,0.14220785,1.1420000000000001,0.0
2946,342,3303573001,-85.27968100000001,35.017934999999994,43,2/25/19,1:00,1,40.76,55.44,34.32,27.38,0.59,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,16,12,15,,0.025858283,0.09699999999999999,0.0
1187,4581,3304986001,-85.159779,35.035252,32,2/25/19,18:00,18,51.23,54.99,34.55,26.9,0.39,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,0.10047485,1.482,0.0
1489,3759,33I0075001,-85.112125,35.073843,45,2/25/19,15:00,15,52.93,54.01,34.46,24.18,0.32,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,0.019664586,8.945,0.0
658,5151,33I0024002,-85.36876600000001,35.026324,144,2/25/19,21:00,21,44.93,55.78,33.68,27.15,0.49,2,0,10.0,0.09,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.4270276,3.9589999999999996,0.0
