,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,CM
0,71.76280815,0.191262393,71.56395382,0.19024779,0.781385116,"[[11213  5658]
 [ 4244 13707]]"
1,71.72834618,0.19063776,71.57256907,0.189965694,0.78273634,"[[11937  4934]
 [ 4965 12986]]"
2,72.25510931,0.189513164,71.99471598,0.18885342,0.786119462,"[[11445  5426]
 [ 4326 13625]]"
3,72.25757028,0.188513706,71.98035725,0.188326995,0.786553162,"[[11653  5218]
 [ 4539 13412]]"
4,72.33633867,0.188154688,72.02630521,0.187524017,0.787646454,"[[10953  5918]
 [ 3823 14128]]"
5,72.40033745,0.187584792,72.1698926,0.18726245,0.78862111,"[[11639  5232]
 [ 4459 13492]]"
6,72.41633823,0.187027503,72.18137959,0.186846283,0.789697044,"[[11752  5119]
 [ 4568 13383]]"
7,72.42864587,0.186435734,71.93153753,0.186268866,0.79053195,"[[10479  6392]
 [ 3382 14569]]"
8,72.75356416,0.18575519,72.37665843,0.18559001,0.792142158,"[[11224  5647]
 [ 3972 13979]]"
9,72.74494829,0.185176526,72.14117512,0.18517687,0.792760381,"[[10758  6113]
 [ 3588 14363]]"
10,72.43849055,0.184683974,71.87410258,0.184707673,0.793052068,"[[10144  6727]
 [ 3067 14884]]"
11,72.92463912,0.184285975,72.65521797,0.184320914,0.794687242,"[[11437  5434]
 [ 4088 13863]]"
12,72.96525341,0.183927287,72.44845213,0.184022336,0.795289749,"[[10809  6062]
 [ 3532 14419]]"
13,73.12032833,0.183600597,72.75572914,0.183776506,0.796347576,"[[11118  5753]
 [ 3734 14217]]"
14,73.07479058,0.183226666,72.66096146,0.18331924,0.796473439,"[[11060  5811]
 [ 3709 14242]]"
15,73.14248275,0.18303646,72.61214175,0.183515144,0.796902164,"[[10864  6007]
 [ 3530 14421]]"
16,73.17817498,0.182801913,72.74998564,0.18286531,0.797623889,"[[11074  5797]
 [ 3692 14259]]"
17,73.33201868,0.182438929,72.88208604,0.182618145,0.798566147,"[[11442  5429]
 [ 4014 13937]]"
18,73.39232527,0.18201485,72.95387973,0.18229233,0.799081405,"[[11502  5369]
 [ 4049 13902]]"
19,73.42309472,0.181862778,73.00557119,0.182214154,0.799959411,"[[11778  5093]
 [ 4307 13644]]"
20,73.47724771,0.181566611,73.02280168,0.181788794,0.800618849,"[[11792  5079]
 [ 4315 13636]]"
21,73.53386148,0.181222079,73.12905634,0.181763699,0.80106941,"[[11428  5443]
 [ 3914 14037]]"
22,73.54863177,0.180988085,73.0601344,0.181172262,0.80202156,"[[11216  5655]
 [ 3726 14225]]"
23,73.54740072,0.18048665,73.10321061,0.180812951,0.803373184,"[[12179  4692]
 [ 4674 13277]]"
24,73.70001407,0.1800855,73.1807478,0.180401198,0.803835521,"[[11329  5542]
 [ 3797 14154]]"
25,73.84524322,0.179778222,73.29561771,0.180236312,0.804627042,"[[11929  4942]
 [ 4357 13594]]"
26,73.91539605,0.179460284,73.3731549,0.179692153,0.805716837,"[[11676  5195]
 [ 4077 13874]]"
27,73.71109097,0.179038934,73.24966975,0.1792633,0.806138957,"[[11033  5838]
 [ 3477 14474]]"
28,73.95478001,0.178678405,73.36453966,0.178999129,0.807105362,"[[12117  4754]
 [ 4521 13430]]"
29,74.03477978,0.178279117,73.52248578,0.178599528,0.808192808,"[[11563  5308]
 [ 3912 14039]]"
30,74.25754529,0.177608352,73.55120326,0.177915444,0.810038996,"[[12176  4695]
 [ 4515 13436]]"
31,74.18739288,0.177082342,73.57992074,0.177339831,0.810436978,"[[11443  5428]
 [ 3772 14179]]"
32,74.31169997,0.176672866,73.54833151,0.176954938,0.811315297,"[[12172  4699]
 [ 4512 13439]]"
33,74.53446611,0.176137323,73.76084085,0.176498143,0.813025892,"[[11893  4978]
 [ 4159 13792]]"
34,74.63415597,0.17537546,73.89294124,0.175703902,0.814815325,"[[11696  5175]
 [ 3916 14035]]"
35,74.80400062,0.174387619,74.05663087,0.174690887,0.81723121,"[[11590  5281]
 [ 3753 14198]]"
36,75.0021522,0.173540602,74.24329447,0.173785619,0.818797117,"[[11925  4946]
 [ 4023 13928]]"
37,75.0329205,0.17300764,74.25765321,0.173284929,0.819717395,"[[12282  4589]
 [ 4375 13576]]"
38,75.09445835,0.172683808,74.32657515,0.172748801,0.820327409,"[[12289  4582]
 [ 4358 13593]]"
39,75.21753296,0.172255611,74.43570157,0.172370711,0.821964793,"[[12002  4869]
 [ 4033 13918]]"
40,75.31845614,0.171525032,74.63959566,0.171539269,0.823559728,"[[12126  4745]
 [ 4086 13865]]"
41,75.43291604,0.170988731,74.64533915,0.170884635,0.824470338,"[[11817  5054]
 [ 3775 14176]]"
42,75.57445309,0.170293925,74.82913101,0.170364209,0.826200963,"[[11977  4894]
 [ 3871 14080]]"
43,75.54614501,0.169832593,74.88656596,0.169840575,0.826744376,"[[12323  4548]
 [ 4197 13754]]"
44,75.39968492,0.169512085,74.82051577,0.169457627,0.82746579,"[[12684  4187]
 [ 4581 13370]]"
45,75.73075869,0.169102628,75.03015335,0.169017338,0.828641849,"[[12260  4611]
 [ 4084 13867]]"
46,75.80829669,0.168761286,75.00430762,0.168677034,0.82912099,"[[12009  4862]
 [ 3842 14109]]"
