Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
4451,33I0024002,-85.310838,35.02908,67,2/25/19,18:00,18,52.4,55.96,35.03,26.9,0.37,2,,10,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,18,,,8.071
3774,33SR002001,-85.227894,35.012235,43,2/25/19,15:00,15,54.08,55.47,34.89,23.7,0.3,2,,10,0.12,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,30,15,,,13.843
4983,33I0024002,-85.254192,35.015818,46,2/25/19,20:00,20,46.46,55.2,35.12,27.53,0.47,2,,10,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,,11.914
1601,33SR320001,-85.154777,35.008124,36,2/25/19,6:00,6,36.48,55.26,35.51,23.53,0.59,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,,3.421
3041,33SR008001,-85.308526,35.062644,42,2/25/19,12:00,12,46.08,55.62,34.88,19.38,0.34,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,22,15,,,10.138
3120,33SR008001,-85.318282,35.083649,31,2/25/19,12:00,12,46.08,55.56,34.73,19.24,0.34,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,22,15,,,11.995
1223,33I0024002,-85.252069,35.014338,26,2/25/19,4:00,4,39.23,55.11,35.62,25.15,0.57,2,,10,0.12,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,,12.072
1993,3303580001,-85.162464,35.044885,71,2/25/19,8:00,8,35.48,55.32,35.38,21.76,0.57,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,1.779
2810,330F888001,-85.149653,35.034718,38,2/25/19,11:00,11,42,55.12,34.73,21.72,0.44,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,4,12,4,19,24,15,,,0.443
2766,3303556001,-85.222382,35.042901,48,2/25/19,11:00,11,42.28,55.53,34.71,21.14,0.43,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,16,24,15,,,3.323
1116,33SR008001,-85.309633,35.052314,35,2/25/19,4:00,4,39.27,55.66,35.26,24.67,0.55,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,23,15,,,9.415
688,3303580001,-85.157294,35.042997,28,2/25/19,2:00,2,41.08,55.24,35.39,26.27,0.55,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,2.095
1588,33SR002001,-85.183432,35.031699,38,2/25/19,6:00,6,36.14,55.06,35.23,23.21,0.59,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,5,13,1,14,24,15,,,16.897
1799,33I0075001,-85.112125,35.073843,45,2/25/19,7:00,7,35.31,54.27,35.31,22.47,0.59,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,,8.945
5878,33I0024002,-85.252069,35.014338,26,2/25/19,23:00,23,43.07,55.26,35.12,26.79,0.52,2,,10,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,,12.072
3003,33I0075001,-85.205913,34.993245,52,2/25/19,12:00,12,45.78,55.53,35.1,20.32,0.36,2,,10,0.12,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,,0.576
4312,3302205001,-85.070057,35.087633,34,2/25/19,17:00,17,53.19,54.26,33.69,26.99,0.36,2,,10,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,,6.149
1277,33I0075001,-85.136675,35.055684,58,2/25/19,5:00,5,37.67,55.01,35.31,24.16,0.58,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,15,,,7.063
3347,33I0124001,-85.314203,35.044153,32,2/25/19,13:00,13,49.15,55.69,34.99,20.65,0.32,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,5,6,2,1,11,24,15,,,1.197
84,33I0075001,-85.112125,35.073843,45,2/25/19,0:00,0,54.19,59.32,44.41,50.62,0.88,2,,7.3,0.35,rain,0.0125,0.1264,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,0,2,2,8,10,2,1,11,48,18,,,8.945
4321,3304459001,-85.312411,35.045297,33,2/25/19,17:00,17,55.12,55.84,35.01,25.91,0.32,2,,10,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,17,10,15,,,0.046
5021,33SR153001,-85.245876,35.137652,38,2/25/19,20:00,20,46.3,55.77,34.21,27.36,0.47,2,,10,0.16,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,9.335
3030,3304417001,-85.299374,35.02626,44,2/25/19,12:00,12,46.02,55.8,34.99,19.58,0.35,2,,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,18,4,16,34,18,,,0.095
5147,33I0075001,-85.200274,35.008246,171,2/25/19,21:00,21,45.1,55.48,34.74,27.24,0.49,2,,10,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,,2.029
4318,3303577001,-85.246419,35.023643,33,2/25/19,17:00,17,54.6,55.3,35.05,26.04,0.33,2,,10,0.14,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,18,4,16,10,15,,,1.62
