,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
2958,3305747001,-85.132664,35.080045,107,2/25/19,12:00,12,48.16,54.77,34.27,14.9,0.26,2,0,4.94,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,17,22,15,,,1.222
2476,33I0075001,-85.209894,34.998664,83,2/25/19,10:00,10,42.55,55.4,34.34,18.74,0.38,2,0,3.79,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,,1.014
3933,3303603001,-85.181912,35.016889,113,2/25/19,16:00,16,55.23,55.23,34.44,28.66,0.36,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15,,,0.002
2399,330A343001,-85.312571,35.046047,29,2/25/19,9:00,9,40.72,55.62,35.99,18.09,0.4,2,0,2.13,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,20,15,,,0.004
721,33SR320001,-85.149292,35.005439,26,2/25/19,2:00,2,40.74,55.2,34.56,24.86,0.53,2,0,3.32,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,,3.804
571,33SR002001,-85.066688,35.085686,46,2/25/19,2:00,2,39.95,54.4,34.35,24.57,0.54,2,0,5.94,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15,,,20.634
4351,33SR008001,-85.309399,35.045763,30,2/25/19,17:00,17,55.27,55.63,34.23,28.94,0.36,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,13,1,14,46,15,,,8.968
4090,3301122001,-85.154037,35.041836,32,2/25/19,16:00,16,55.16,55.16,34.34,28.69,0.36,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,0.118
535,33I0075001,-85.163861,35.035266,65,2/25/19,2:00,2,40.76,54.9,34.36,24.78,0.53,2,0,3.93,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,,4.977
2947,33I0024002,-85.28069,35.016491,136,2/25/19,12:00,12,48.91,55.61,33.97,13.74,0.24,2,0,2.86,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,,,10.06
