,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
506,104,3304987001,-85.158512,35.023735,42,2/25/19,0:00,0,54.05,60.53,42.77,50.37,0.87,2,0,7.13,0.35,rain,0.0123,0.1181,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.5408347,0.651,1
5653,19,33I0075001,-85.184238,35.012866,107,2/25/19,0:00,0,54.06,60.68,42.85,50.36,0.87,2,0,6.87,0.35,rain,0.0131,0.1283,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,2,2,8,8,2,1,11,48,18,,0.51817405,3.01,1
5617,200,33I0075001,-85.17253,35.027345,28,2/25/19,0:00,0,54.04,60.65,42.85,50.36,0.87,2,0,6.82,0.35,rain,0.013,0.1294,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,2,2,6,6,2,1,11,36,18,,0.5049673,4.247,1
4411,20,33I0075001,-85.184679,35.01246,102,2/25/19,0:00,0,54.05,60.69,42.86,50.36,0.87,2,0,6.87,0.35,rain,0.0131,0.1283,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,2,2,8,8,2,1,11,48,18,,0.51649565,2.974,1
5520,26,33I0075001,-85.209894,34.998664,83,2/25/19,0:00,0,53.78,60.76,42.95,50.01,0.87,2,0,6.7,0.35,rain,0.0136,0.1332,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.76417184,1.014,1
2333,61,33I0075001,-85.211604,35.001154,52,2/25/19,0:00,0,53.78,60.78,42.96,50.01,0.87,2,0,6.63,0.35,rain,0.0136,0.1334,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.6058719,1.206,1
2187,89,33I0075001,-85.206471,34.993709,45,2/25/19,0:00,0,53.95,60.9,43.08,50.01,0.86,2,0,6.8,0.35,rain,0.0135,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.6765866,0.62,1
5480,45,33I0075001,-85.163861,35.035266,65,2/25/19,0:00,0,54.04,60.56,42.76,50.37,0.87,2,0,6.85,0.35,rain,0.013,0.1297,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.78621596,4.977,1
2632,141,33I0075001,-85.21117,35.002679,34,2/25/19,0:00,0,53.78,60.77,42.95,50.01,0.87,2,0,6.61,0.35,rain,0.0136,0.1337,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.5991886,1.289,1
4557,242,33I0075001,-85.193721,35.010071,26,2/25/19,0:00,0,54.05,60.79,42.96,50.37,0.87,2,0,6.76,0.35,rain,0.0132,0.1303,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.521112,2.427,1
3579,52,33I0075001,-85.136675,35.055684,58,2/25/19,0:00,0,54.02,60.3,42.55,50.4,0.88,2,0,7.06,0.35,rain,0.0127,0.1295,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,15,,0.51415974,7.063,1
5132,241,33I0075001,-85.16582,35.033426,26,2/25/19,0:00,0,54.04,60.53,42.71,50.37,0.87,2,0,6.84,0.35,rain,0.013,0.1296,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.78743184,4.809,1
104,24,33I0075001,-85.207205,35.005828,93,2/25/19,0:00,0,53.78,60.75,42.94,50.02,0.87,2,0,6.61,0.35,rain,0.0136,0.1338,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,8,8,2,1,11,48,15,,0.5020426,1.596,1
