,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
5359,2686,33SR320001,-85.174648,35.017727,26,2/25/19,10:00,10,39.43,55,34.74,20.98,0.47,2,0,7.61,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,5,21,1,14,24,15,,0.6756734,1.928,1
3277,2351,33SR002001,-85.062889,35.084885,34,2/25/19,9:00,9,38.56,54.47,35.53,19.59,0.46,2,0,7.98,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,24,15,,0.7082251,20.855,1
3904,2286,33SR002001,-85.066688,35.085686,46,2/25/19,9:00,9,38.56,54.49,35.54,19.55,0.46,2,0,7.98,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15,,0.7370077,20.634,1
5223,2563,33SR153001,-85.214113,35.087611,38,2/25/19,10:00,10,39.06,54.93,34.31,19.2,0.44,2,0,7.43,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,0.72171175,5.272,1
4164,4275,33I0024002,-85.350032,35.028387,39,2/25/19,17:00,17,55.03,55.46,35.59,29.1,0.37,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5339318,5.06,1
4617,2325,3305747001,-85.142778,35.068587,38,2/25/19,9:00,9,38.5,54.84,36,19.88,0.47,2,0,7.51,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,1,2,2,18,4,17,24,18,,0.5393634,0.275,1
3671,2257,33I0075001,-85.136675,35.055684,58,2/25/19,9:00,9,38.45,54.74,35.96,20.09,0.47,2,0,6.83,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,15,,0.6342567,7.063,1
2911,2680,33I0024002,-85.259012,35.019636,26,2/25/19,10:00,10,39.09,54.47,34.51,20.2,0.46,2,0,7.8,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,0.55576825,11.532,1
1284,2267,330D228001,-85.197621,35.083886,52,2/25/19,9:00,9,38.52,54.81,35.92,18.77,0.44,2,0,6.75,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,26,15,,0.5797412,0.059,1
1263,226,33I0075001,-85.210479,35.004212,26,2/25/19,0:00,0,53.78,60.77,45.85,50.01,0.87,2,0,6.59,0.35,rain,0.0133,0.1339,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.5673989,1.391,1
5260,2500,3303578001,-85.220198,35.042164,61,2/25/19,10:00,10,39.25,55.19,34.38,20.09,0.46,2,0,7.7,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,16,42,15,,0.51423585,3.621,1
1079,2496,330B068001,-85.228277,35.012954,65,2/25/19,10:00,10,39.44,55.14,34.63,20.54,0.46,2,0,7.71,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,32,15,,0.56793624,0.001,1
2678,2578,3301122001,-85.149705,35.039818,36,2/25/19,10:00,10,39.25,54.84,34.59,20.83,0.47,2,0,7.54,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,0.6656606,0.397,1
2205,2281,33I0075001,-85.163223,35.035572,47,2/25/19,9:00,9,38.51,54.95,35.96,20.28,0.47,2,0,6.37,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.63541114,5.016,1
1956,2657,3304988001,-85.156695,35.027055,28,2/25/19,10:00,10,39.36,54.92,34.67,20.97,0.47,2,0,7.57,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15,,0.60020417,2.981,1
133,2527,3305403001,-85.290932,35.041926,47,2/25/19,10:00,10,39.16,55.27,34.33,19.42,0.45,2,0,7.69,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,18,4,16,17,15,,0.5998384,1.653,1
5802,2236,33SR002001,-85.134239,35.060689,76,2/25/19,9:00,9,38.43,54.66,35.97,20.02,0.47,2,0,6.91,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,0.62486607,20.339,1
2108,4520,33I0024002,-85.350032,35.028387,39,2/25/19,18:00,18,52.44,55.46,35.59,30.55,0.43,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5254432,5.06,1
5525,2549,33SR002001,-85.227894,35.012235,43,2/25/19,10:00,10,39.45,55.14,34.63,20.56,0.46,2,0,7.71,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,30,15,,0.7694771,13.843,1
188,2664,33SR320001,-85.153227,35.008538,27,2/25/19,10:00,10,39.52,54.99,34.78,21.29,0.48,2,0,7.59,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,0.60701054,3.383,1
3323,2242,3305788001,-85.138005,35.05514,69,2/25/19,9:00,9,38.46,54.76,35.96,20.09,0.47,2,0,6.81,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,18,4,17,18,15,,0.6348278,0.196,1
2446,2584,3303561001,-85.310664,35.052295,36,2/25/19,10:00,10,39.15,55.32,34.31,19.14,0.44,2,0,7.74,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,18,4,16,36,15,,0.67157817,0.454,1
2973,89,33I0075001,-85.206471,34.993709,45,2/25/19,0:00,0,53.95,60.9,46.11,50.01,0.86,2,0,6.8,0.35,rain,0.0132,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.6139381,0.62,1
879,4307,33SR153001,-85.221427,35.091719,34,2/25/19,17:00,17,54.41,55.08,34.34,29.14,0.38,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,,0.5021018,5.772,1
