,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC
0,71.38865712156996,0.20756047452874032,71.09011544425938,0.20671627869949669,0.7769588266052173
1,71.44527293559132,0.19265946955391816,71.16765263339269,0.19196262727916408,0.7784223351629362
2,71.54496352796787,0.19182194716738835,71.30262477743955,0.19102921107712129,0.7802666526919325
3,72.44218437057297,0.18940765868866746,72.1842513353627,0.18862933646266614,0.789031983453029
4,72.60833565064166,0.18733171909404134,72.27901901097006,0.18644217756434675,0.7899817019454243
5,72.07049563930764,0.18679624888625013,71.8568720923554,0.18637231608190108,0.7907502176620851
6,72.53449000570866,0.18648316559911607,72.43409338923671,0.18568650906673112,0.7918350123359708
7,72.78556342152875,0.1859897029417308,72.5489632990638,0.18529696879267307,0.7925917813645594
8,72.9467928685405,0.18530219959458727,72.6150134972144,0.1845965307418597,0.795385706770617
9,73.00833029642313,0.1843998131640672,72.58055252426627,0.18378262430437706,0.7964855286201641
10,73.0120225061474,0.18368830200476133,72.80167710068349,0.18308397575510046,0.7984295551413494
11,73.24955847177918,0.1830579275501824,72.85049681236,0.1824469054765472,0.7992956418374018
12,73.35909517333303,0.1825489593677434,73.02567342484636,0.18191788930846664,0.8004707448510684
13,73.43171001848056,0.18213000948698432,73.15777382114757,0.18154065730938448,0.8013987513694879
14,73.53632408663455,0.1816070662123107,73.25541324450059,0.18107068588433306,0.8029883531529982
15,73.5757076748041,0.18093982084164328,73.34156567687094,0.18037713192937413,0.8045491289106841
16,73.58186147316889,0.18029384835226825,73.27551547872034,0.17977928378795824,0.8053135980872939
17,73.72216782119929,0.17958531891048826,73.39325713629314,0.17905214028182295,0.8069193216429789
18,73.8304745467121,0.1792117483694151,73.39038538854747,0.1788361188356087,0.8072669179475034
19,74.01877968351305,0.1786910069261878,73.61438171271034,0.17837766543594746,0.8088852136788269
20,74.1024713195159,0.1780465153001561,73.71776463155477,0.1777601656521127,0.8100615697826195
21,74.19847013733177,0.17757021505681714,73.72063637930044,0.1773015568917058,0.8106401160455893
22,74.15908513942884,0.1773170526640862,73.69766239733501,0.17711462073104867,0.8110260678044061
23,74.24893057541037,0.17715215606370466,73.71776463155477,0.17688423946237078,0.8115722615586676
24,74.35969853370081,0.1765390381375446,73.83550628912757,0.17631749620199538,0.8133018577785898
25,74.4175437798088,0.17600462546237053,73.91591522600655,0.17576524862789716,0.8139000787122206
26,74.5036966065548,0.17574071841389793,73.9101717305152,0.17539854522661452,0.8144434212324271
27,74.40277469677406,0.17546816855299585,73.8699672620757,0.17528061955206234,0.8149487682109202
28,74.54061912047477,0.1750093603599322,73.78668657745105,0.17484600422855287,0.8156751295795074
29,74.62677185544909,0.17452664062769854,73.87858250531274,0.17430140699762858,0.8167487273400402
30,74.69323265031821,0.17409082920196675,74.027913388088,0.17395545230825754,0.8175881871091459
31,74.76953922799193,0.17381729845714114,74.05375911779909,0.17375341310386638,0.8182767345432844
32,74.76584776278472,0.17344096214678564,74.04514387456206,0.17345266324302774,0.8182794784639555
33,74.96892240685351,0.1730173048037121,74.1054505772213,0.1729519556319322,0.8196553037323552
34,74.9775371225537,0.172645595674368,74.22893573028546,0.17267335673173762,0.8201156335718938
35,74.95169118960993,0.17240254420396,74.28349893745333,0.17245680295913146,0.8205911259670551
36,75.11045850402672,0.17224370132625064,74.2748836942163,0.17231644229761975,0.8209129703614534
37,75.06738277450314,0.17200874029929372,74.22893573028546,0.1721987282431743,0.8209790011119021
38,75.18553418082675,0.1715935958439297,74.26052495548791,0.17183141861680512,0.8223304216658842
39,75.20522647231994,0.17119558284675804,74.3782666130607,0.17148610513703852,0.8225911089884266
40,75.28030319206003,0.1708927297864071,74.33519039687553,0.17125514565638153,0.8230239897154022
41,75.28522555814098,0.17061189833637433,74.3524208833496,0.17096738928347965,0.8234389722209599
42,75.35414648540785,0.17029249037306946,74.59364769398655,0.17060876610086967,0.8244239968165764
43,75.48460752621787,0.16989922606058422,74.68841536959394,0.17041308509702302,0.8255308022909367
44,75.64337479860016,0.16917267474127098,74.77456780196428,0.16958520124238416,0.8272825496442197
45,75.71352726855564,0.16861169761631126,74.81477227040378,0.1688777218144228,0.8282855269434337
46,75.66306697968855,0.16810838522212262,75.00143587387284,0.16837607073650598,0.8295721500253914
47,75.93998686756522,0.16746226612424936,75.14789500890242,0.16771797164575605,0.8312553703538245
48,75.81321817637443,0.16654132356909135,74.88082246855437,0.1668439136420247,0.832618095134543
49,76.17259815917923,0.1658033815213476,75.41496754925049,0.16595186332757308,0.8345672875569198
50,76.29567445101361,0.1653485026927241,75.46091551318132,0.1655926938744392,0.8352986843996628
51,76.30059785842073,0.1649726182135762,75.61598989144794,0.16522166015431758,0.8358978067657166
52,76.50121012891141,0.1643312199200699,75.80552524266268,0.1645194025830054,0.8378782686571145
53,76.50982599472866,0.1637083230628111,75.80552524266268,0.16393945358905515,0.8385367006538498
54,76.57259422239675,0.16344792633457195,75.75670553098615,0.16362531026471738,0.8388087433833581
55,76.61443916145139,0.1633064474038355,75.78829475618859,0.1634423199062822,0.8391591711102359
56,76.70428450566125,0.1630114484826186,75.8945494227787,0.163221856059249,0.8402236323743821
57,76.7756685089888,0.1627925370548474,75.91752340474413,0.16288044624935438,0.8406171819207617
58,76.6796705242339,0.16264211951374435,75.91752340474413,0.16258396781521792,0.8409097149026469
59,76.85074433661424,0.16219322590002766,76.07259778301074,0.16232782852822386,0.841752592190278
60,76.89135925920719,0.16171206838488994,76.05536729653667,0.16194599973704066,0.8426990252421583
