"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"95",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"97",0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,2,0,0,0,0
"98",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,0,1,0,0,0
"99",0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,2,3,0,1,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"102",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"104",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"105",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"106",0,0,3,0,0,0,0,2,3,2,1,0,3,0,2,3,2,1,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,1,1,0,0,0,3,3,3,1,1,5,0,1,0,0,0,0
"108",1,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0
"109",0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,1,0,0,1,0
"110",0,0,0,0,0,1,0,0,1,1,1,1,4,0,1,2,1,0,1,0,0,0,0,0
"111",0,1,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,1
"112",0,0,1,1,0,0,1,5,0,5,2,2,1,7,2,2,2,0,0,0,0,3,0,0
"115",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"125",1,3,1,1,0,0,1,0,0,1,4,0,1,2,0,1,2,0,1,2,1,1,1,0
"126",2,0,1,0,0,0,0,0,0,1,0,0,1,2,1,2,0,2,1,1,0,0,0,0
"127",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"129",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"131",1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
