"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"84",0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0
"86",0,0,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,3,0,0,1,0,0
"87",1,0,3,1,0,1,7,10,17,0,12,8,11,8,6,2,4,4,3,3,1,1,1,0
"88",0,0,1,0,0,0,3,3,4,0,2,2,3,1,2,1,1,1,0,0,0,0,0,0
"89",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"97",0,0,1,0,0,0,2,1,5,2,0,5,3,1,0,3,1,2,1,0,0,0,0,0
"98",0,0,0,0,0,0,0,4,1,2,0,2,0,0,2,3,11,0,2,0,1,0,0,1
"99",2,0,0,0,0,0,0,2,6,2,0,2,4,3,0,4,6,2,1,1,0,1,0,0
"100",4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,2,0,0,0,0,0,0
"101",0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,2,5,0,1,0,1,2,0,0
"102",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,0,1,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,0,0,1,1,0,0
"104",0,0,0,1,1,0,3,0,3,2,3,4,3,2,3,3,2,7,0,0,0,0,0,0
"105",0,0,2,2,0,0,2,0,1,2,0,0,1,4,5,3,5,5,2,0,0,0,1,2
"106",0,0,0,1,0,0,5,7,2,2,2,1,2,7,5,8,10,7,4,3,2,0,0,8
"107",0,0,0,0,0,0,0,9,3,2,2,0,2,2,1,4,0,6,6,3,3,0,0,1
"108",0,0,1,0,0,0,1,6,7,4,2,2,8,3,4,0,5,3,2,2,0,0,0,3
"109",0,0,0,0,0,0,0,1,11,1,0,1,0,3,4,4,2,4,1,2,1,0,0,0
"110",0,0,0,1,0,0,1,1,6,4,1,3,4,1,1,5,3,1,2,3,0,1,1,2
"111",0,0,0,0,0,0,3,0,3,0,0,1,2,1,1,1,2,1,2,2,0,0,0,0
"112",0,1,2,0,2,2,2,10,6,2,3,7,6,5,3,7,2,2,2,0,0,0,1,3
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"124",0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"125",0,0,0,0,0,0,2,3,10,6,6,9,5,8,12,12,17,14,7,5,1,1,0,0
"126",0,0,0,0,0,0,0,1,6,3,2,7,14,9,5,6,6,6,2,1,3,0,0,1
"127",0,0,0,0,0,0,1,1,2,1,0,2,5,0,7,5,0,3,0,3,1,0,0,0
"128",1,0,0,0,0,0,0,2,3,1,0,1,2,1,1,5,1,3,4,2,0,0,0,0
"129",0,0,0,0,0,0,3,1,2,1,1,1,0,1,1,1,0,4,3,0,0,0,0,0
"130",0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0
"131",0,0,0,0,0,0,1,0,1,1,0,3,4,1,3,4,3,4,0,1,0,0,2,0
"132",1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0
"133",0,0,0,0,0,0,0,1,6,0,1,0,1,0,2,2,2,4,0,0,0,2,0,0
"134",1,1,0,0,0,0,0,5,1,1,5,1,5,3,1,4,5,6,0,1,1,1,0,0
"135",0,0,0,0,0,0,1,2,1,0,3,1,5,1,5,4,3,5,0,0,1,0,0,0
