"","1","2","3","4"
"351",3,2,2,1
"352",8,6,8,13
"353",9,1,4,5
"355",2,2,1,3
"356",10,16,18,45
"357",7,1,1,6
"358",17,6,8,31
"359",11,3,5,18
"360",4,2,0,0
"361",11,4,6,3
"362",1,0,0,0
"363",0,0,0,2
"364",7,5,2,21
"365",5,0,0,1
"366",0,2,0,0
"367",11,18,7,20
"368",2,2,0,4
"369",5,5,5,8
"370",43,37,37,112
"371",78,17,85,172
"372",71,27,69,141
"373",0,6,0,4
"374",3,2,3,7
"375",0,0,2,0
"376",5,2,1,3
"377",3,0,2,2
"378",1,0,2,1
"379",0,0,1,1
"380",1,1,0,0
"384",5,2,1,2
"385",0,0,2,5
"386",1,4,0,1
"387",4,0,0,1
"389",13,8,9,22
"390",5,5,4,5
"391",14,8,12,17
"392",22,20,19,50
"393",3,3,0,4
"394",1,3,1,4
"395",5,7,7,16
"396",6,3,3,7
"397",12,10,8,25
"398",0,3,0,1
"400",0,1,0,0
"401",13,30,22,60
"402",5,4,8,5
"403",12,3,6,14
"404",11,10,10,23
"405",7,1,0,9
"406",9,3,1,4
"408",3,4,0,4
"409",0,1,0,1
"410",17,38,17,42
"411",27,28,26,60
"412",6,2,9,17
"413",6,5,4,16
"414",13,14,22,53
"415",38,11,33,55
"416",113,25,69,191
"417",78,11,84,142
"418",0,3,3,3
"419",1,6,2,11
"420",9,3,3,9
"421",5,6,1,1
"422",1,0,0,0
"423",2,0,2,4
"424",0,1,0,4
"425",1,6,1,3
"426",0,0,0,2
"427",2,1,0,3
"431",0,0,0,3
"432",2,0,0,1
"433",3,3,3,4
"434",1,2,3,0
"435",1,0,0,0
"436",1,1,1,5
"437",13,18,15,27
"438",0,1,0,2
"439",3,5,0,4
"440",4,8,5,12
"441",1,0,0,1
"442",3,3,2,4
"443",3,2,1,6
"445",0,0,0,2
"446",7,26,31,54
"447",0,4,2,2
"448",5,1,0,3
"449",4,6,2,8
"450",10,4,3,12
"451",1,1,0,1
"452",3,2,1,3
"453",2,0,2,0
"454",0,1,0,4
"455",9,23,21,28
"456",8,21,22,47
"457",8,11,14,21
"458",3,0,1,7
"459",13,13,5,35
"460",77,38,69,112
"461",76,29,42,103
"462",14,8,12,26
"463",6,2,2,9
"464",10,13,3,14
"465",1,0,0,0
"467",0,1,0,1
"468",2,3,0,3
"469",0,0,0,1
"470",1,1,0,2
"472",1,0,0,1
"478",1,2,0,5
"479",9,10,6,15
"480",0,0,0,1
"481",5,6,3,4
"482",2,5,5,11
"483",0,0,1,1
"484",3,4,2,3
"485",11,11,6,16
"486",3,3,2,6
"487",1,3,1,1
"488",2,2,4,8
"491",0,6,9,13
"492",0,1,0,1
"493",1,1,0,1
"494",9,4,5,4
"495",8,11,3,20
"496",7,4,1,2
"498",2,1,0,3
"499",5,4,4,11
"500",21,16,10,30
"502",1,0,2,0
"503",0,0,0,1
"504",4,3,2,9
"505",0,1,4,4
"506",25,8,20,49
"507",6,3,5,2
"508",3,0,0,1
"509",26,12,14,27
"510",6,2,4,12
"511",5,3,5,6
"512",6,8,4,14
"513",4,0,0,3
"514",1,1,0,2
"515",2,2,0,1
"517",3,0,1,5
"518",0,1,1,0
"523",2,4,0,8
"524",2,1,1,1
"525",12,1,2,2
"526",2,1,0,2
"527",8,7,7,18
"528",3,0,1,6
"529",6,4,0,8
"530",1,4,5,13
"531",3,6,0,11
"532",0,5,2,6
"533",6,4,8,6
"534",2,0,0,1
"536",1,9,8,15
"537",10,12,6,7
"539",0,0,0,3
"540",3,1,0,0
"541",3,5,5,11
"542",17,25,6,38
"543",11,9,4,25
"544",27,23,11,34
"545",31,22,10,53
"546",2,4,1,2
"547",3,4,1,2
"548",2,0,0,1
"549",3,2,0,10
"550",3,0,0,3
"551",5,1,0,4
"552",36,48,20,46
"553",10,16,6,14
"554",2,3,0,7
"555",11,6,7,24
"556",8,4,2,6
"557",0,0,0,3
"558",2,0,1,0
"559",0,2,1,1
"560",0,2,3,2
"562",1,1,0,0
"563",2,1,0,0
"567",1,4,0,1
"569",1,2,0,1
"570",2,0,1,3
"571",1,4,1,1
"572",4,0,0,4
"573",17,6,5,15
"574",2,9,1,5
"575",15,14,11,44
"576",2,1,2,1
"577",3,0,1,4
"578",3,0,7,5
"579",1,0,1,0
"580",0,0,1,1
"581",0,0,1,1
"582",3,10,9,11
"583",2,3,4,7
"584",13,6,11,24
"585",36,30,26,81
"586",9,15,7,36
"587",24,29,17,64
"588",46,32,18,66
"589",7,2,3,7
"590",8,4,1,8
"591",8,12,4,29
"592",18,13,13,24
"593",3,7,4,9
"594",3,4,5,9
"595",6,0,2,2
"596",19,12,5,12
"597",47,57,41,92
"598",31,18,13,34
"599",1,0,0,0
"600",0,2,0,0
"601",2,0,0,0
"602",9,1,0,5
"603",5,0,1,4
"604",1,0,0,0
"605",1,1,0,2
"607",1,0,0,2
"608",2,2,0,0
"609",2,0,0,1
"610",3,3,0,1
"611",0,0,3,7
"612",5,2,5,13
"613",2,5,5,7
"614",0,2,2,0
"615",3,2,2,5
"616",7,6,3,13
"617",13,25,20,62
"618",14,6,10,16
"619",5,5,8,13
"620",3,1,8,4
"621",31,24,32,102
"622",8,12,4,34
"623",0,1,1,2
"624",0,2,1,5
"625",11,23,11,42
"626",2,4,2,7
"628",0,0,0,1
"629",0,1,0,1
"630",3,3,4,3
"631",46,21,22,67
"632",3,3,6,9
"633",7,2,0,5
"634",0,0,3,6
"635",17,8,2,12
"636",10,33,9,33
"637",8,10,5,16
"638",13,13,4,10
"639",4,0,2,7
"640",10,19,8,17
"641",0,0,0,1
"642",3,1,0,2
"643",0,1,2,1
"644",0,0,1,1
"646",1,1,0,1
"647",1,1,0,0
"649",0,0,0,1
"650",0,4,0,0
"651",1,1,0,3
"652",2,2,3,7
"653",2,1,0,2
"655",0,2,0,2
"656",6,2,0,1
"657",1,0,0,0
"658",1,1,2,4
"659",8,1,0,1
"660",5,1,2,6
"661",1,5,6,15
"662",13,17,18,26
"663",3,0,1,0
"664",0,0,1,1
"665",14,28,15,54
"666",0,1,0,0
"669",0,0,0,2
"670",3,1,5,1
"671",18,7,9,31
"672",10,5,13,39
"673",0,1,0,3
"674",0,1,0,1
"675",1,2,3,2
"676",3,13,4,13
"678",1,2,0,5
"679",4,10,0,4
"680",7,3,5,3
"681",4,3,3,1
"682",1,0,0,0
"683",1,1,0,2
"684",0,0,0,2
"686",0,0,0,1
"687",0,3,0,5
"689",1,3,1,3
"690",5,0,1,4
"691",2,5,6,13
"693",1,2,0,0
"694",0,5,1,0
"695",2,2,0,5
"696",0,4,3,3
"697",2,0,0,0
"698",5,3,2,3
"699",7,0,1,5
"700",11,19,21,64
"701",12,7,6,35
"702",4,2,1,11
"703",6,5,2,17
"704",8,5,3,7
"705",3,1,1,7
"709",3,0,0,1
"710",13,14,12,24
"712",2,1,0,3
"716",21,34,10,37
"717",1,4,3,2
"718",3,6,3,5
"719",40,33,22,35
"720",21,7,10,18
"721",5,1,7,3
"722",2,2,1,3
"723",0,3,0,0
"724",3,3,6,8
"725",4,3,12,19
"726",0,0,0,1
"727",4,3,10,15
"729",1,0,0,2
"730",0,1,6,5
"731",1,2,0,4
"732",3,2,0,0
"733",0,1,0,1
"734",3,1,2,1
"735",32,35,29,84
"736",14,18,28,69
"737",0,1,2,2
"738",0,0,1,0
"739",1,2,0,1
"740",1,4,0,1
"744",0,1,0,0
"745",1,2,2,1
"746",3,7,5,13
"747",4,8,2,1
"750",2,6,6,3
"753",1,0,0,0
"754",11,7,4,8
"755",4,1,4,1
"756",2,0,6,1
"757",1,0,0,0
"758",5,0,0,0
"759",13,10,3,11
"760",11,9,7,32
"761",0,2,1,3
"762",1,1,0,0
"764",2,6,3,7
"765",10,9,2,8
"766",5,3,5,5
"767",14,5,30,59
"768",33,8,51,74
"769",2,2,6,9
"770",0,2,2,2
"772",4,1,0,1
"773",1,0,0,0
"774",1,0,0,3
"778",4,3,1,2
"779",24,17,10,24
"780",4,1,0,4
"783",1,1,2,1
"786",0,0,0,1
"787",1,0,0,0
"788",15,9,1,14
"789",7,2,2,4
"790",3,1,2,3
"791",2,0,0,0
"792",0,0,1,0
"793",2,0,5,3
"797",8,8,13,30
"798",28,16,18,51
"799",10,7,13,36
"800",2,3,1,3
"803",3,5,3,2
"804",0,6,1,2
"805",0,1,0,1
"808",1,1,0,5
"809",1,1,0,2
"810",5,6,4,10
"811",4,7,2,2
"812",2,0,4,2
"813",0,1,0,0
"819",1,0,0,0
"820",2,2,0,0
"821",40,50,28,71
"822",7,0,0,8
"823",0,0,0,2
"824",10,9,13,16
"828",7,8,2,26
"830",1,0,0,1
"831",0,7,4,8
"833",0,0,0,2
"837",2,0,0,2
"838",2,0,1,1
"840",6,2,2,11
"841",2,7,1,5
"847",0,0,0,1
"848",3,1,0,2
"849",18,19,3,12
"850",64,41,21,94
"851",93,38,86,199
"852",13,6,10,42
"856",3,0,1,6
"857",2,3,0,0
"859",0,1,0,0
"864",1,0,5,2
"866",0,2,0,1
"867",7,3,2,17
"868",0,0,1,0
"871",0,0,0,1
"872",0,0,0,2
"874",2,2,0,10
"875",3,1,0,0
"876",13,21,10,34
"877",10,6,10,25
"878",0,1,0,3
"882",1,2,1,2
"885",0,0,1,0
"886",1,2,1,0
"887",3,2,0,3
"889",2,1,0,0
"890",6,4,0,4
"891",7,3,1,10
"892",1,1,0,1
"893",0,0,1,0
"894",0,0,1,1
"896",3,0,0,2
"897",2,0,1,0
"899",3,1,1,4
"900",6,5,12,21
