GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
AQ-25,196,115,2,2,19,35.00857953,-85.15928996
AR-25,125,116,2,2,16,35.01282407,-85.15193821
AS-25,27,117,2,2,19,35.00857953,-85.14458647
AT-25,5,118,2,2,19,35.01282407,-85.13723472
AU-25,12,119,2,2,19,35.00857953,-85.12988298
AV-25,29,120,2,2,19,35.01282407,-85.12253123
I-24,2,121,2,2,19,35.0170686,-85.40924928
J-24,7,122,2,2,19,35.02131313,-85.40189753
K-24,2,123,2,2,19,35.0170686,-85.39454579
L-24,53,124,2,2,16,35.02131313,-85.38719404
M-24,360,125,4,2,16,35.0170686,-85.3798423
N-24,60,126,2,2,19,35.02131313,-85.37249055
O-24,87,127,2,2,16,35.0170686,-85.36513881
P-24,24,128,2,2,16,35.02131313,-85.35778706
Q-24,45,129,2,3,16,35.0170686,-85.35043532
R-24,94,130,2,3,16,35.02131313,-85.34308357
S-24,153,131,4,2,19,35.0170686,-85.33573183
T-24,31,132,5,2,11,35.02131313,-85.32838008
U-24,207,133,2,2,19,35.0170686,-85.32102834
V-24,36,134,2,2,19,35.02131313,-85.31367659
W-24,4,135,2,2,19,35.0170686,-85.30632485
X-24,535,136,2,2,19,35.02131313,-85.29897311
Y-24,467,137,2,2,14,35.0170686,-85.29162136
Z-24,256,138,2,2,19,35.02131313,-85.28426962
AA-24,882,139,2,2,19,35.0170686,-85.27691787
AB-24,399,140,2,2,19,35.02131313,-85.26956613
AC-24,206,141,2,2,19,35.0170686,-85.26221438
AD-24,91,142,2,2,19,35.02131313,-85.25486264
AE-24,99,143,2,2,19,35.0170686,-85.24751089
AF-24,259,144,2,2,19,35.02131313,-85.24015915
AG-24,90,145,2,2,19,35.0170686,-85.2328074
AH-24,66,146,2,2,19,35.02131313,-85.22545566
AI-24,15,147,2,2,19,35.0170686,-85.21810391
AJ-24,0,148,2,2,19,35.02131313,-85.21075217
AK-24,311,149,2,2,19,35.0170686,-85.20340042
AL-24,258,150,2,2,19,35.02131313,-85.19604868
AM-24,173,151,2,2,14,35.0170686,-85.18869693
AN-24,111,152,2,2,19,35.02131313,-85.18134519
AO-24,417,153,2,2,19,35.0170686,-85.17399344
AP-24,93,154,2,2,19,35.02131313,-85.1666417
AQ-24,254,155,2,2,19,35.0170686,-85.15928996
AR-24,18,156,2,2,19,35.02131313,-85.15193821
AS-24,14,157,2,2,19,35.0170686,-85.14458647
AT-24,49,158,2,2,16,35.02131313,-85.13723472
AU-24,55,159,2,2,19,35.0170686,-85.12988298
AV-24,29,160,2,2,19,35.02131313,-85.12253123
AW-24,12,161,2,2,16,35.0170686,-85.11517949
I-23,2,162,2,2,19,35.02555766,-85.40924928
J-23,3,163,2,2,19,35.02980219,-85.40189753
K-23,15,164,2,2,19,35.02555766,-85.39454579
L-23,1,165,2,3,9,35.02980219,-85.38719404
M-23,157,166,2,2,19,35.02555766,-85.3798423
N-23,33,167,2,2,19,35.02980219,-85.37249055
O-23,402,168,4,2,19,35.02555766,-85.36513881
P-23,156,169,6,2,11,35.02980219,-85.35778706
Q-23,79,170,4,2,11,35.02555766,-85.35043532
R-23,9,171,4,2,11,35.02980219,-85.34308357
S-23,29,172,2,2,18,35.02555766,-85.33573183
U-23,304,173,2,2,11,35.02555766,-85.32102834
V-23,679,174,2,2,19,35.02980219,-85.31367659
W-23,221,175,8,2,11,35.02555766,-85.30632485
X-23,159,176,2,2,19,35.02980219,-85.29897311
Y-23,90,177,2,2,19,35.02555766,-85.29162136
Z-23,175,178,2,2,19,35.02980219,-85.28426962
AA-23,215,179,2,2,19,35.02555766,-85.27691787
AB-23,203,180,2,2,19,35.02980219,-85.26956613
AC-23,34,181,2,2,19,35.02555766,-85.26221438
AD-23,170,182,2,2,19,35.02980219,-85.25486264
AE-23,485,183,2,2,19,35.02555766,-85.24751089
AF-23,69,184,2,2,19,35.02980219,-85.24015915
AG-23,40,185,2,2,19,35.02555766,-85.2328074
