Model,Date,TP,FN,TN,FP,Recall,Specificity,Precision,F1 Score
TS 5050 FS TB ,1/14/2020,49,49,3420,955,50,78.17,4.88,8.89
TS 5050 FS TB ,1/15/2020,34,52,2984,1403,39.53,68.02,2.37,4.46
TS 5050 FS TB ,1/16/2020,23,38,3143,1269,37.7,71.24,1.78,3.4
TS 5050 FS TB ,1/17/2020,46,36,2638,1753,56.1,60.08,2.56,4.89
TS 5050 FS TB ,1/18/2020,71,84,3199,1119,45.81,74.09,5.97,10.56
TS 5050 FS TB ,1/19/2020,35,27,2925,1486,56.45,66.31,2.3,4.42
TS 5050 FS TB ,1/20/2020,35,47,2851,1540,42.68,64.93,2.22,4.22
TS 5050 FS TB ,1/21/2020,44,47,3396,986,48.35,77.5,4.27,7.85
TS 5050 FS TB ,1/22/2020,23,52,3192,1206,30.67,72.58,1.87,3.53
TS 5050 FS TB ,1/23/2020,66,62,2950,1395,51.56,67.89,4.52,8.31
TS 5050 FS TB ,1/24/2020,33,80,3351,1009,29.2,76.86,3.17,5.71
TS 5050 FS TB ,1/25/2020,35,36,2490,1912,49.3,56.57,1.8,3.47
TS 5050 FS TB ,1/26/2020,17,39,3154,1263,30.36,71.41,1.33,2.54
TS 5050 FS TB ,1/27/2020,39,66,3215,1153,37.14,73.6,3.27,6.01
TS 5050 FS TB ,1/28/2020,45,23,3166,1239,66.18,71.87,3.5,6.66
TS 5050 FS TB ,1/29/2020,38,42,2768,1625,47.5,63.01,2.29,4.36
TS 5050 FS TB ,1/30/2020,30,22,2511,1910,57.69,56.8,1.55,3.01
TS 5050 FS TB ,1/31/2020,35,56,2710,1672,38.46,61.84,2.05,3.89
TS 5050 TA ,1/1/2020,8,57,3205,564,12.31,85.04,1.4,2.51
TS 5050 TA ,1/2/2020,33,60,3654,726,35.48,83.42,4.35,7.75
TS 5050 TA ,1/3/2020,56,86,3637,694,39.44,83.98,7.47,12.56
TS 5050 TA ,1/4/2020,13,45,3255,1160,22.41,73.73,1.11,2.11
TS 5050 TA ,1/5/2020,4,35,3974,460,10.26,89.63,0.86,1.59
TS 5050 TA ,1/6/2020,26,50,3859,538,34.21,87.76,4.61,8.13
TS 5050 TA ,1/7/2020,26,79,3688,680,24.76,84.43,3.68,6.41
TS 5050 TA ,1/8/2020,36,56,3730,651,39.13,85.14,5.24,9.24
TS 5050 TA ,1/9/2020,24,59,3737,653,28.92,85.13,3.55,6.32
TS 5050 TA ,1/10/2020,27,41,3459,946,39.71,78.52,2.77,5.19
TS 5050 TA ,1/11/2020,53,56,3541,823,48.62,81.14,6.05,10.76
TS 5050 TA ,1/12/2020,51,67,3709,646,43.22,85.17,7.32,12.52
TS 5050 TA ,1/13/2020,25,85,3675,688,22.73,84.23,3.51,6.08
TS 5050 TA ,1/14/2020,46,52,3329,1046,46.94,76.09,4.21,7.73
TS 5050 TA ,1/15/2020,27,59,3466,921,31.4,79.01,2.85,5.22
TS 5050 TA ,1/16/2020,14,47,3957,455,22.95,89.69,2.99,5.28
TS 5050 TA ,1/17/2020,25,57,3610,781,30.49,82.21,3.1,5.63
TS 5050 TA ,1/18/2020,59,96,3622,696,38.06,83.88,7.81,12.97
TS 5050 TA ,1/19/2020,25,37,3452,959,40.32,78.26,2.54,4.78
TS 5050 TA ,1/20/2020,11,71,3891,500,13.41,88.61,2.15,3.71
TS 5050 TA ,1/21/2020,29,62,3914,468,31.87,89.32,5.84,9.86
TS 5050 TA ,1/22/2020,26,49,3706,692,34.67,84.27,3.62,6.56
TS 5050 TA ,1/23/2020,62,66,3487,858,48.44,80.25,6.74,11.83
TS 5050 TA ,1/24/2020,24,89,3663,697,21.24,84.01,3.33,5.76
TS 5050 TA ,1/25/2020,22,49,3339,1063,30.99,75.85,2.03,3.81
TS 5050 TA ,1/26/2020,9,47,3655,762,16.07,82.75,1.17,2.18
TS 5050 TA ,1/27/2020,35,70,3506,862,33.33,80.27,3.9,6.99
TS 5050 TA ,1/28/2020,20,48,3958,447,29.41,89.85,4.28,7.48
TS 5050 TA ,1/29/2020,31,49,3605,788,38.75,82.06,3.79,6.9
TS 5050 TA ,1/30/2020,24,28,3628,793,46.15,82.06,2.94,5.52
TS 5050 TA ,1/31/2020,17,74,3435,947,18.68,78.39,1.76,3.22
TS 5050 TB ,1/1/2020,18,47,2710,1059,27.69,71.9,1.67,3.15
TS 5050 TB ,1/2/2020,55,38,3050,1330,59.14,69.63,3.97,7.44
TS 5050 TB ,1/3/2020,90,52,2933,1398,63.38,67.72,6.05,11.04
TS 5050 TB ,1/4/2020,31,27,2939,1476,53.45,66.57,2.06,3.96
TS 5050 TB ,1/5/2020,10,29,3147,1287,25.64,70.97,0.77,1.5
TS 5050 TB ,1/6/2020,34,42,3604,793,44.74,81.96,4.11,7.53
TS 5050 TB ,1/7/2020,33,72,3495,873,31.43,80.01,3.64,6.53
TS 5050 TB ,1/8/2020,40,52,3301,1080,43.48,75.35,3.57,6.6
TS 5050 TB ,1/9/2020,37,46,3216,1174,44.58,73.26,3.06,5.72
TS 5050 TB ,1/10/2020,26,42,3020,1385,38.24,68.56,1.84,3.52
TS 5050 TB ,1/11/2020,65,44,3205,1159,59.63,73.44,5.31,9.75
TS 5050 TB ,1/12/2020,63,55,3365,990,53.39,77.27,5.98,10.76
TS 5050 TB ,1/13/2020,39,71,3316,1047,35.45,76,3.59,6.52
TS 5050 TB ,1/14/2020,59,39,2890,1485,60.2,66.06,3.82,7.19
TS 5050 TB ,1/15/2020,31,55,3103,1284,36.05,70.73,2.36,4.43
TS 5050 TB ,1/16/2020,18,43,3426,986,29.51,77.65,1.79,3.38
TS 5050 TB ,1/17/2020,41,41,2863,1528,50,65.2,2.61,4.97
TS 5050 TB ,1/18/2020,80,75,3014,1304,51.61,69.8,5.78,10.4
TS 5050 TB ,1/19/2020,35,27,2710,1701,56.45,61.44,2.02,3.89
TS 5050 TB ,1/20/2020,36,46,3016,1375,43.9,68.69,2.55,4.82
TS 5050 TB ,1/21/2020,53,38,3381,1001,58.24,77.16,5.03,9.26
TS 5050 TB ,1/22/2020,26,49,3183,1215,34.67,72.37,2.1,3.95
TS 5050 TB ,1/23/2020,82,46,2722,1623,64.06,62.65,4.81,8.95
TS 5050 TB ,1/24/2020,41,72,3149,1211,36.28,72.22,3.27,6.01
TS 5050 TB ,1/25/2020,32,39,2983,1419,45.07,67.76,2.21,4.2
TS 5050 TB ,1/26/2020,17,39,3103,1314,30.36,70.25,1.28,2.45
TS 5050 TB ,1/27/2020,43,62,3172,1196,40.95,72.62,3.47,6.4
TS 5050 TB ,1/28/2020,41,27,3149,1256,60.29,71.49,3.16,6.01
TS 5050 TB ,1/29/2020,39,41,2879,1514,48.75,65.54,2.51,4.78
TS 5050 TB ,1/30/2020,33,19,2811,1610,63.46,63.58,2.01,3.89
TS 5050 TB ,1/31/2020,33,58,2749,1633,36.26,62.73,1.98,3.76
