Model,Date,TP,FN,TN,FP,Recall,Specificity
TS 5050 TA ,1/4/2020,13,45,3255,1160,22.41,73.73
TS 5050 TA ,1/5/2020,4,35,3974,460,10.26,89.63
TS 5050 TA ,1/6/2020,26,50,3859,538,34.21,87.76
TS 5050 TA ,1/7/2020,26,79,3688,680,24.76,84.43
TS 5050 TB ,1/1/2020,18,47,2710,1059,27.69,71.9
TS 5050 TB ,1/2/2020,55,38,3050,1330,59.14,69.63
TS 5050 TB ,1/3/2020,90,52,2933,1398,63.38,67.72
TS 5050 TB ,1/4/2020,31,27,2939,1476,53.45,66.57
TS 5050 TB ,1/5/2020,10,29,3147,1287,25.64,70.97
TS 5050 TB ,1/6/2020,34,42,3604,793,44.74,81.96
TS 5050 TB ,1/7/2020,33,72,3495,873,31.43,80.01
