,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[-0.14883028 -0.25348705 -0.26797333 -0.5236532  -0.5776289   0.39368784
  0.01360008  0.08543601 -0.51417255 -0.12236017  0.176501   -0.09561407
  0.07239813  0.22543092  0.57713556  0.46150237 -0.1916386   0.23547336]","[-0.42243007 -0.38200247 -0.26585272 -0.44193408 -0.557942    0.6832319
 -0.7114726   0.4683035  -0.51777977  0.36032614 -0.3156607  -0.26084405
  0.24878193  0.6614459   0.65318984  0.29918933  0.7016731   0.6525269 ]","[-0.26474497 -0.06035639 -0.5643369  -0.25860208 -0.5971391   0.18921366
 -0.63346726  0.26735848  0.08940157  0.36750624 -0.4890008  -0.14374225
  0.48795196  0.6686535   0.03447128  0.30579835  0.07565051  0.49942365]","[-0.6125483  -0.22117788 -0.47036436 -0.23372103 -0.39745766  0.2762455
 -0.26461715  0.2007306  -0.17571245  0.5382253  -0.5064755  -0.3660218
  0.17230338  0.32914305  0.3746819   0.21980141  0.2730715   0.395096  ]","[ 0.02970772 -0.33017424 -0.36641094  0.0837163  -0.3014787   0.63107926
  0.0401317   0.50069475 -0.61978596  0.35635325 -0.1397231  -0.23202519
  0.09326065  0.5564793  -0.00450794  0.2614223  -0.06824255  0.21040803]","[ 0.6529184  -0.30587912  0.06945894  0.0072104   0.14638323  0.00978468
 -0.26914254  0.08953214  0.57799894 -0.65944964  0.6037823   0.52646166
 -0.630142   -0.08217961 -0.5388172  -0.47247094 -0.6087982  -0.23826271]","[ 0.0268145  -0.13769269 -0.42264804 -0.3737631  -0.27519223  0.19295293
 -0.5980036  -0.06568014 -0.31297374  0.08757222  0.12478536 -0.31660888
 -0.00931561  0.05214646  0.16656965  0.36407593  0.17611651  0.12140292]","[ 0.507409   -0.198438    0.32771838  0.02996391  0.04514445 -0.578112
  0.22433801 -0.06375527  0.3665445  -0.27013767  0.60370255  0.527772
 -0.02396831  0.00903379 -0.5102123  -0.0458522  -0.05730008 -0.37789533]","[-0.41276035 -0.36413085 -0.4455122  -0.31315827 -0.3613282  -0.08317073
 -0.00105552 -0.04275033 -0.17926644  0.6017878  -0.29680154 -0.3310424
  0.48670012  0.01212586  0.16858445  0.39995492  0.51748425 -0.07624914]","[-0.02371983 -0.14886513  0.5428208   0.00450395  0.6502674  -0.35802525
 -0.16272552  0.05769277  0.43084154 -0.13355997  0.17007424  0.13061878
 -0.5747885  -0.11928187 -0.03156191 -0.4048458  -0.06399642 -0.35160986]","[ 0.43943894 -0.21599038  0.45119134 -0.09495821  0.22220108  0.04060039
  0.26435977 -0.21325473  0.24841695 -0.5791871   0.03934737  0.5649528
  0.13336991 -0.6663982  -0.29494375 -0.1301382  -0.44087392 -0.44736257]","[-0.30672687 -0.6176807   0.18821084 -0.11782502 -0.5155946   0.52266985
 -0.5559751   0.6092255  -0.01886611  0.22557445 -0.54668844 -0.01467666
 -0.01141585  0.25841388  0.5034618   0.43949547  0.18776786 -0.16605727]","[-0.5465961  -0.7690017  -0.67528003  0.06763773 -0.04344898  0.0649194
  0.01352388  0.708401    0.00598209 -0.08889471 -0.2949746  -0.5944436
  0.7241086   0.6189087   0.39202017  0.7068305   0.54325926  0.62300617]","[-0.26017413 -0.12021553 -0.41118482 -0.2661439  -0.05321335  0.06140266
 -0.09989588  0.07171275 -0.5015157  -0.01996553 -0.68992764 -0.26223755
  0.24814051  0.34638992  0.16444393  0.6195892   0.7110591   0.64924353]","[ 0.11247192 -0.11586487 -0.03933924 -0.38989183  0.26059288  0.20377828
 -0.12738848 -0.28341907 -0.29409602  0.27829096  0.17172249  0.5101748
 -0.33351114 -0.21139708 -0.06370932 -0.07925788 -0.02450665 -0.3679282 ]","[ 0.16823983  0.23914002  0.08784603 -0.22048025  0.74222887 -0.524078
  0.11187395 -0.05535763  0.61625403 -0.35607064  0.42211232  0.5496195
 -0.47253352 -0.21939905 -0.7058662  -0.5411566  -0.10455936 -0.56348807]","[ 0.5470753   0.13356566  0.20150153 -0.2981928   0.6211017  -0.60396457
  0.20834722 -0.698702    0.5176485  -0.39294687  0.32094574  0.0016775
 -0.13829508 -0.23954634 -0.449306   -0.65986603 -0.38977748 -0.22546533]","[-6.16469830e-02 -7.30622783e-02  7.55959330e-03 -5.57932593e-02
 -3.50111008e-01  6.07670903e-01 -3.35616083e-03  6.01615965e-01
 -4.71413642e-01  5.74037671e-01 -1.10365674e-01 -5.28789937e-01
  5.48771679e-01 -1.51691493e-05  3.07686478e-01  2.32258700e-02
  1.27515510e-01 -6.33988306e-02]","[ 0.201831    0.25026205  0.43202224 -0.56604695  0.36906126 -0.39629978
 -0.23114327 -0.22869886  0.607      -0.53164124  0.23554851  0.31669298
  0.00483127 -0.36418265  0.02659142 -0.57335234 -0.4454953  -0.55703723]","[ 0.31288153 -0.05441436  0.5372346  -0.35496148  0.00855144 -0.22185956
 -0.07100499  0.07089473  0.2090581  -0.21490106 -0.05407833 -0.1737246
 -0.02360046 -0.17579953 -0.03950319 -0.11816348 -0.16554718  0.06301085]"
1,0.022310581,-0.21867427,0.11813004,-0.197741,0.04761816,-0.008174196,-0.14986609,0.019646563,-0.0046264613,-0.0071881567,-0.0026532095,0.076347195,0.008548679,-0.0774941,0.03308146,-0.029552449,-0.03165895,-0.021484233,,
