OBJECTID,ORIG_FID,X,Y,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
126,25,-85.20113636,34.99,34.9932,-85.19715909,34.9884,-85.203125
127,25,-85.20113636,34.9964,,,34.998,-85.203125
128,25,-85.19318182,34.9964,,,34.998,-85.19119319
129,25,-85.19318182,34.99,,,34.9884,-85.19119319
130,25,-85.20113636,34.99,,,34.9884,-85.203125
131,26,-85.19318182,34.99,34.9932,-85.18920455,34.9884,-85.19517046
132,26,-85.19318182,34.9964,,,34.998,-85.19517046
133,26,-85.18522727,34.9964,,,34.998,-85.18323863
134,26,-85.18522727,34.99,,,34.9884,-85.18323863
135,26,-85.19318182,34.99,,,34.9884,-85.19517046
136,27,-85.18522727,34.99,34.9932,-85.18125,34.9884,-85.1872159
137,27,-85.18522727,34.9964,,,34.998,-85.1872159
138,27,-85.17727273,34.9964,,,34.998,-85.1752841
139,27,-85.17727273,34.99,,,34.9884,-85.1752841
140,27,-85.18522727,34.99,,,34.9884,-85.1872159
141,28,-85.17727273,34.99,34.9932,-85.17329545,34.9884,-85.17926137
142,28,-85.17727273,34.9964,,,34.998,-85.17926137
143,28,-85.16931818,34.9964,,,34.998,-85.16732954
144,28,-85.16931818,34.99,,,34.9884,-85.16732954
145,28,-85.17727273,34.99,,,34.9884,-85.17926137
146,29,-85.16931818,34.99,34.9932,-85.16534091,34.9884,-85.17130682
147,29,-85.16931818,34.9964,,,34.998,-85.17130682
148,29,-85.16136364,34.9964,,,34.998,-85.15937501
149,29,-85.16136364,34.99,,,34.9884,-85.15937501
150,29,-85.16931818,34.99,,,34.9884,-85.17130682
151,30,-85.16136364,34.99,34.9932,-85.15738636,34.9884,-85.16335228
152,30,-85.16136364,34.9964,,,34.998,-85.16335228
153,30,-85.15340909,34.9964,,,34.998,-85.15142045
154,30,-85.15340909,34.99,,,34.9884,-85.15142045
155,30,-85.16136364,34.99,,,34.9884,-85.16335228
156,31,-85.15340909,34.99,34.9932,-85.14943182,34.9884,-85.15539773
157,31,-85.15340909,34.9964,,,34.998,-85.15539773
158,31,-85.14545455,34.9964,,,34.998,-85.14346592
159,31,-85.14545455,34.99,,,34.9884,-85.14346592
160,31,-85.15340909,34.99,,,34.9884,-85.15539773
161,32,-85.14545455,34.99,34.9932,-85.14147727,34.9884,-85.14744319
162,32,-85.14545455,34.9964,,,34.998,-85.14744319
163,32,-85.1375,34.9964,,,34.998,-85.13551136
164,32,-85.1375,34.99,,,34.9884,-85.13551136
165,32,-85.14545455,34.99,,,34.9884,-85.14744319
166,33,-85.1375,34.99,34.9932,-85.13352273,34.9884,-85.13948864
167,33,-85.1375,34.9964,,,34.998,-85.13948864
168,33,-85.12954545,34.9964,,,34.998,-85.12755681
169,33,-85.12954545,34.99,,,34.9884,-85.12755681
170,33,-85.1375,34.99,,,34.9884,-85.13948864
171,34,-85.12954545,34.99,34.9932,-85.12556818,34.9884,-85.13153409
172,34,-85.12954545,34.9964,,,34.998,-85.13153409
173,34,-85.12159091,34.9964,,,34.998,-85.11960228
174,34,-85.12159091,34.99,,,34.9884,-85.11960228
175,34,-85.12954545,34.99,,,34.9884,-85.13153409
176,35,-85.12159091,34.99,34.9932,-85.11761364,34.9884,-85.12357955
177,35,-85.12159091,34.9964,,,34.998,-85.12357955
178,35,-85.11363636,34.9964,,,34.998,-85.11164772
179,35,-85.11363636,34.99,,,34.9884,-85.11164772
180,35,-85.12159091,34.99,,,34.9884,-85.12357955
181,36,-85.11363636,34.99,34.9932,-85.10965909,34.9884,-85.11562499
182,36,-85.11363636,34.9964,,,34.998,-85.11562499
183,36,-85.10568182,34.9964,,,34.998,-85.10369319
184,36,-85.10568182,34.99,,,34.9884,-85.10369319
185,36,-85.11363636,34.99,,,34.9884,-85.11562499
186,37,-85.10568182,34.99,34.9932,-85.10170455,34.9884,-85.10767046
187,37,-85.10568182,34.9964,,,34.998,-85.10767046
188,37,-85.09772727,34.9964,,,34.998,-85.09573863
189,37,-85.09772727,34.99,,,34.9884,-85.09573863
190,37,-85.10568182,34.99,,,34.9884,-85.10767046
191,38,-85.09772727,34.99,34.9932,-85.09375,34.9884,-85.0997159
192,38,-85.09772727,34.9964,,,34.998,-85.0997159
193,38,-85.08977273,34.9964,,,34.998,-85.0877841
194,38,-85.08977273,34.99,,,34.9884,-85.0877841
195,38,-85.09772727,34.99,,,34.9884,-85.0997159
196,39,-85.08977273,34.99,34.9932,-85.08579545,34.9884,-85.09176137
197,39,-85.08977273,34.9964,,,34.998,-85.09176137
198,39,-85.08181818,34.9964,,,34.998,-85.07982954
199,39,-85.08181818,34.99,,,34.9884,-85.07982954
200,39,-85.08977273,34.99,,,34.9884,-85.09176137
201,40,-85.08181818,34.99,34.9932,-85.07784091,34.9884,-85.08380681
202,40,-85.08181818,34.9964,,,34.998,-85.08380681
203,40,-85.07386364,34.9964,,,34.998,-85.071875
204,40,-85.07386364,34.99,,,34.9884,-85.071875
205,40,-85.08181818,34.99,,,34.9884,-85.08380681
206,41,-85.07386364,34.99,34.9932,-85.06988636,34.9884,-85.07585228
207,41,-85.07386364,34.9964,,,34.998,-85.07585228
208,41,-85.06590909,34.9964,,,34.998,-85.06392045
209,41,-85.06590909,34.99,,,34.9884,-85.06392045
210,41,-85.07386364,34.99,,,34.9884,-85.07585228
211,42,-85.06590909,34.99,34.9932,-85.06193182,34.9884,-85.06789773
212,42,-85.06590909,34.9964,,,34.998,-85.06789773
213,42,-85.05795455,34.9964,,,34.998,-85.05596592
214,42,-85.05795455,34.99,,,34.9884,-85.05596592
215,42,-85.06590909,34.99,,,34.9884,-85.06789773
216,43,-85.05795455,34.99,34.9932,-85.05397727,34.9884,-85.05994319
217,43,-85.05795455,34.9964,,,34.998,-85.05994319
218,43,-85.05,34.9964,,,34.998,-85.04801136
219,43,-85.05,34.99,,,34.9884,-85.04801136
220,43,-85.05795455,34.99,,,34.9884,-85.05994319
221,44,-85.4,34.9964,34.9996,-85.39602273,34.9948,-85.40198864
222,44,-85.4,35.0028,,,35.0044,-85.40198864
223,44,-85.39204545,35.0028,,,35.0044,-85.39005681
224,44,-85.39204545,34.9964,,,34.9948,-85.39005681
225,44,-85.4,34.9964,,,34.9948,-85.40198864
226,45,-85.39204545,34.9964,34.9996,-85.38806818,34.9948,-85.39403409
227,45,-85.39204545,35.0028,,,35.0044,-85.39403409
228,45,-85.38409091,35.0028,,,35.0044,-85.38210228
229,45,-85.38409091,34.9964,,,34.9948,-85.38210228
230,45,-85.39204545,34.9964,,,34.9948,-85.39403409
231,46,-85.38409091,34.9964,34.9996,-85.38011364,34.9948,-85.38607955
232,46,-85.38409091,35.0028,,,35.0044,-85.38607955
233,46,-85.37613636,35.0028,,,35.0044,-85.37414772
234,46,-85.37613636,34.9964,,,34.9948,-85.37414772
235,46,-85.38409091,34.9964,,,34.9948,-85.38607955
236,47,-85.37613636,34.9964,34.9996,-85.37215909,34.9948,-85.378125
237,47,-85.37613636,35.0028,,,35.0044,-85.378125
238,47,-85.36818182,35.0028,,,35.0044,-85.36619319
239,47,-85.36818182,34.9964,,,34.9948,-85.36619319
240,47,-85.37613636,34.9964,,,34.9948,-85.378125
241,48,-85.36818182,34.9964,34.9996,-85.36420455,34.9948,-85.37017046
242,48,-85.36818182,35.0028,,,35.0044,-85.37017046
243,48,-85.36022727,35.0028,,,35.0044,-85.35823863
244,48,-85.36022727,34.9964,,,34.9948,-85.35823863
245,48,-85.36818182,34.9964,,,34.9948,-85.37017046
246,49,-85.36022727,34.9964,34.9996,-85.35625,34.9948,-85.36221591
247,49,-85.36022727,35.0028,,,35.0044,-85.36221591
248,49,-85.35227273,35.0028,,,35.0044,-85.3502841
249,49,-85.35227273,34.9964,,,34.9948,-85.3502841
250,49,-85.36022727,34.9964,,,34.9948,-85.36221591
251,50,-85.35227273,34.9964,34.9996,-85.34829545,34.9948,-85.35426137
252,50,-85.35227273,35.0028,,,35.0044,-85.35426137
253,50,-85.34431818,35.0028,,,35.0044,-85.34232954
254,50,-85.34431818,34.9964,,,34.9948,-85.34232954
255,50,-85.35227273,34.9964,,,34.9948,-85.35426137
256,51,-85.34431818,34.9964,34.9996,-85.34034091,34.9948,-85.34630682
257,51,-85.34431818,35.0028,,,35.0044,-85.34630682
258,51,-85.33636364,35.0028,,,35.0044,-85.33437501
259,51,-85.33636364,34.9964,,,34.9948,-85.33437501
260,51,-85.34431818,34.9964,,,34.9948,-85.34630682
261,52,-85.33636364,34.9964,34.9996,-85.33238636,34.9948,-85.33835228
262,52,-85.33636364,35.0028,,,35.0044,-85.33835228
263,52,-85.32840909,35.0028,,,35.0044,-85.32642045
264,52,-85.32840909,34.9964,,,34.9948,-85.32642045
265,52,-85.33636364,34.9964,,,34.9948,-85.33835228
266,53,-85.32840909,34.9964,34.9996,-85.32443182,34.9948,-85.33039773
267,53,-85.32840909,35.0028,,,35.0044,-85.33039773
268,53,-85.32045455,35.0028,,,35.0044,-85.31846591
269,53,-85.32045455,34.9964,,,34.9948,-85.31846591
270,53,-85.32840909,34.9964,,,34.9948,-85.33039773
271,54,-85.32045455,34.9964,34.9996,-85.31647727,34.9948,-85.32244319
272,54,-85.32045455,35.0028,,,35.0044,-85.32244319
273,54,-85.3125,35.0028,,,35.0044,-85.31051136
274,54,-85.3125,34.9964,,,34.9948,-85.31051136
275,54,-85.32045455,34.9964,,,34.9948,-85.32244319
276,55,-85.3125,34.9964,34.9996,-85.30852273,34.9948,-85.31448864
277,55,-85.3125,35.0028,,,35.0044,-85.31448864
278,55,-85.30454545,35.0028,,,35.0044,-85.30255681
279,55,-85.30454545,34.9964,,,34.9948,-85.30255681
280,55,-85.3125,34.9964,,,34.9948,-85.31448864
281,56,-85.30454545,34.9964,34.9996,-85.30056818,34.9948,-85.30653409
282,56,-85.30454545,35.0028,,,35.0044,-85.30653409
283,56,-85.29659091,35.0028,,,35.0044,-85.29460228
284,56,-85.29659091,34.9964,,,34.9948,-85.29460228
285,56,-85.30454545,34.9964,,,34.9948,-85.30653409
286,57,-85.29659091,34.9964,34.9996,-85.29261364,34.9948,-85.29857955
287,57,-85.29659091,35.0028,,,35.0044,-85.29857955
288,57,-85.28863636,35.0028,,,35.0044,-85.28664772
289,57,-85.28863636,34.9964,,,34.9948,-85.28664772
290,57,-85.29659091,34.9964,,,34.9948,-85.29857955
291,58,-85.28863636,34.9964,34.9996,-85.28465909,34.9948,-85.290625
292,58,-85.28863636,35.0028,,,35.0044,-85.290625
293,58,-85.28068182,35.0028,,,35.0044,-85.27869319
294,58,-85.28068182,34.9964,,,34.9948,-85.27869319
295,58,-85.28863636,34.9964,,,34.9948,-85.290625
296,59,-85.28068182,34.9964,34.9996,-85.27670455,34.9948,-85.28267046
297,59,-85.28068182,35.0028,,,35.0044,-85.28267046
298,59,-85.27272727,35.0028,,,35.0044,-85.27073863
299,59,-85.27272727,34.9964,,,34.9948,-85.27073863
300,59,-85.28068182,34.9964,,,34.9948,-85.28267046
301,60,-85.27272727,34.9964,34.9996,-85.26875,34.9948,-85.27471591
302,60,-85.27272727,35.0028,,,35.0044,-85.27471591
303,60,-85.26477273,35.0028,,,35.0044,-85.2627841
304,60,-85.26477273,34.9964,,,34.9948,-85.2627841
305,60,-85.27272727,34.9964,,,34.9948,-85.27471591
306,61,-85.26477273,34.9964,34.9996,-85.26079545,34.9948,-85.26676137
307,61,-85.26477273,35.0028,,,35.0044,-85.26676137
308,61,-85.25681818,35.0028,,,35.0044,-85.25482954
309,61,-85.25681818,34.9964,,,34.9948,-85.25482954
310,61,-85.26477273,34.9964,,,34.9948,-85.26676137
311,62,-85.25681818,34.9964,34.9996,-85.25284091,34.9948,-85.25880681
312,62,-85.25681818,35.0028,,,35.0044,-85.25880681
313,62,-85.24886364,35.0028,,,35.0044,-85.246875
314,62,-85.24886364,34.9964,,,34.9948,-85.246875
315,62,-85.25681818,34.9964,,,34.9948,-85.25880681
316,63,-85.24886364,34.9964,34.9996,-85.24488636,34.9948,-85.25085228
317,63,-85.24886364,35.0028,,,35.0044,-85.25085228
318,63,-85.24090909,35.0028,,,35.0044,-85.23892045
319,63,-85.24090909,34.9964,,,34.9948,-85.23892045
320,63,-85.24886364,34.9964,,,34.9948,-85.25085228
321,64,-85.24090909,34.9964,34.9996,-85.23693182,34.9948,-85.24289773
322,64,-85.24090909,35.0028,,,35.0044,-85.24289773
323,64,-85.23295455,35.0028,,,35.0044,-85.23096592
324,64,-85.23295455,34.9964,,,34.9948,-85.23096592
325,64,-85.24090909,34.9964,,,34.9948,-85.24289773
326,65,-85.23295455,34.9964,34.9996,-85.22897727,34.9948,-85.23494319
327,65,-85.23295455,35.0028,,,35.0044,-85.23494319
328,65,-85.225,35.0028,,,35.0044,-85.22301136
329,65,-85.225,34.9964,,,34.9948,-85.22301136
330,65,-85.23295455,34.9964,,,34.9948,-85.23494319
331,66,-85.225,34.9964,34.9996,-85.22102273,34.9948,-85.22698864
332,66,-85.225,35.0028,,,35.0044,-85.22698864
333,66,-85.21704545,35.0028,,,35.0044,-85.21505681
334,66,-85.21704545,34.9964,,,34.9948,-85.21505681
335,66,-85.225,34.9964,,,34.9948,-85.22698864
336,67,-85.21704545,34.9964,34.9996,-85.21306818,34.9948,-85.21903409
337,67,-85.21704545,35.0028,,,35.0044,-85.21903409
338,67,-85.20909091,35.0028,,,35.0044,-85.20710228
339,67,-85.20909091,34.9964,,,34.9948,-85.20710228
340,67,-85.21704545,34.9964,,,34.9948,-85.21903409
341,68,-85.20909091,34.9964,34.9996,-85.20511364,34.9948,-85.21107955
342,68,-85.20909091,35.0028,,,35.0044,-85.21107955
343,68,-85.20113636,35.0028,,,35.0044,-85.19914772
344,68,-85.20113636,34.9964,,,34.9948,-85.19914772
345,68,-85.20909091,34.9964,,,34.9948,-85.21107955
346,69,-85.20113636,34.9964,34.9996,-85.19715909,34.9948,-85.203125
347,69,-85.20113636,35.0028,,,35.0044,-85.203125
348,69,-85.19318182,35.0028,,,35.0044,-85.19119319
349,69,-85.19318182,34.9964,,,34.9948,-85.19119319
350,69,-85.20113636,34.9964,,,34.9948,-85.203125
351,70,-85.19318182,34.9964,34.9996,-85.18920455,34.9948,-85.19517046
352,70,-85.19318182,35.0028,,,35.0044,-85.19517046
353,70,-85.18522727,35.0028,,,35.0044,-85.18323863
354,70,-85.18522727,34.9964,,,34.9948,-85.18323863
355,70,-85.19318182,34.9964,,,34.9948,-85.19517046
356,71,-85.18522727,34.9964,34.9996,-85.18125,34.9948,-85.1872159
357,71,-85.18522727,35.0028,,,35.0044,-85.1872159
358,71,-85.17727273,35.0028,,,35.0044,-85.1752841
359,71,-85.17727273,34.9964,,,34.9948,-85.1752841
360,71,-85.18522727,34.9964,,,34.9948,-85.1872159
361,72,-85.17727273,34.9964,34.9996,-85.17329545,34.9948,-85.17926137
362,72,-85.17727273,35.0028,,,35.0044,-85.17926137
363,72,-85.16931818,35.0028,,,35.0044,-85.16732954
364,72,-85.16931818,34.9964,,,34.9948,-85.16732954
365,72,-85.17727273,34.9964,,,34.9948,-85.17926137
366,73,-85.16931818,34.9964,34.9996,-85.16534091,34.9948,-85.17130682
367,73,-85.16931818,35.0028,,,35.0044,-85.17130682
368,73,-85.16136364,35.0028,,,35.0044,-85.15937501
369,73,-85.16136364,34.9964,,,34.9948,-85.15937501
370,73,-85.16931818,34.9964,,,34.9948,-85.17130682
371,74,-85.16136364,34.9964,34.9996,-85.15738636,34.9948,-85.16335228
372,74,-85.16136364,35.0028,,,35.0044,-85.16335228
373,74,-85.15340909,35.0028,,,35.0044,-85.15142045
374,74,-85.15340909,34.9964,,,34.9948,-85.15142045
375,74,-85.16136364,34.9964,,,34.9948,-85.16335228
376,75,-85.15340909,34.9964,34.9996,-85.14943182,34.9948,-85.15539773
377,75,-85.15340909,35.0028,,,35.0044,-85.15539773
378,75,-85.14545455,35.0028,,,35.0044,-85.14346592
379,75,-85.14545455,34.9964,,,34.9948,-85.14346592
380,75,-85.15340909,34.9964,,,34.9948,-85.15539773
381,76,-85.14545455,34.9964,34.9996,-85.14147727,34.9948,-85.14744319
382,76,-85.14545455,35.0028,,,35.0044,-85.14744319
383,76,-85.1375,35.0028,,,35.0044,-85.13551136
384,76,-85.1375,34.9964,,,34.9948,-85.13551136
385,76,-85.14545455,34.9964,,,34.9948,-85.14744319
386,77,-85.1375,34.9964,34.9996,-85.13352273,34.9948,-85.13948864
387,77,-85.1375,35.0028,,,35.0044,-85.13948864
388,77,-85.12954545,35.0028,,,35.0044,-85.12755681
389,77,-85.12954545,34.9964,,,34.9948,-85.12755681
390,77,-85.1375,34.9964,,,34.9948,-85.13948864
391,78,-85.12954545,34.9964,34.9996,-85.12556818,34.9948,-85.13153409
392,78,-85.12954545,35.0028,,,35.0044,-85.13153409
393,78,-85.12159091,35.0028,,,35.0044,-85.11960228
394,78,-85.12159091,34.9964,,,34.9948,-85.11960228
395,78,-85.12954545,34.9964,,,34.9948,-85.13153409
396,79,-85.12159091,34.9964,34.9996,-85.11761364,34.9948,-85.12357955
397,79,-85.12159091,35.0028,,,35.0044,-85.12357955
398,79,-85.11363636,35.0028,,,35.0044,-85.11164772
399,79,-85.11363636,34.9964,,,34.9948,-85.11164772
400,79,-85.12159091,34.9964,,,34.9948,-85.12357955
401,80,-85.11363636,34.9964,34.9996,-85.10965909,34.9948,-85.11562499
402,80,-85.11363636,35.0028,,,35.0044,-85.11562499
403,80,-85.10568182,35.0028,,,35.0044,-85.10369319
404,80,-85.10568182,34.9964,,,34.9948,-85.10369319
405,80,-85.11363636,34.9964,,,34.9948,-85.11562499
406,81,-85.10568182,34.9964,34.9996,-85.10170455,34.9948,-85.10767046
407,81,-85.10568182,35.0028,,,35.0044,-85.10767046
408,81,-85.09772727,35.0028,,,35.0044,-85.09573863
409,81,-85.09772727,34.9964,,,34.9948,-85.09573863
410,81,-85.10568182,34.9964,,,34.9948,-85.10767046
411,82,-85.09772727,34.9964,34.9996,-85.09375,34.9948,-85.0997159
412,82,-85.09772727,35.0028,,,35.0044,-85.0997159
413,82,-85.08977273,35.0028,,,35.0044,-85.0877841
414,82,-85.08977273,34.9964,,,34.9948,-85.0877841
415,82,-85.09772727,34.9964,,,34.9948,-85.0997159
416,83,-85.08977273,34.9964,34.9996,-85.08579545,34.9948,-85.09176137
417,83,-85.08977273,35.0028,,,35.0044,-85.09176137
418,83,-85.08181818,35.0028,,,35.0044,-85.07982954
419,83,-85.08181818,34.9964,,,34.9948,-85.07982954
420,83,-85.08977273,34.9964,,,34.9948,-85.09176137
421,84,-85.08181818,34.9964,34.9996,-85.07784091,34.9948,-85.08380681
422,84,-85.08181818,35.0028,,,35.0044,-85.08380681
423,84,-85.07386364,35.0028,,,35.0044,-85.071875
424,84,-85.07386364,34.9964,,,34.9948,-85.071875
425,84,-85.08181818,34.9964,,,34.9948,-85.08380681
426,85,-85.07386364,34.9964,34.9996,-85.06988636,34.9948,-85.07585228
427,85,-85.07386364,35.0028,,,35.0044,-85.07585228
428,85,-85.06590909,35.0028,,,35.0044,-85.06392045
429,85,-85.06590909,34.9964,,,34.9948,-85.06392045
430,85,-85.07386364,34.9964,,,34.9948,-85.07585228
431,86,-85.06590909,34.9964,34.9996,-85.06193182,34.9948,-85.06789773
432,86,-85.06590909,35.0028,,,35.0044,-85.06789773
433,86,-85.05795455,35.0028,,,35.0044,-85.05596592
434,86,-85.05795455,34.9964,,,34.9948,-85.05596592
435,86,-85.06590909,34.9964,,,34.9948,-85.06789773
436,87,-85.05795455,34.9964,34.9996,-85.05397727,34.9948,-85.05994319
437,87,-85.05795455,35.0028,,,35.0044,-85.05994319
438,87,-85.05,35.0028,,,35.0044,-85.04801136
439,87,-85.05,34.9964,,,34.9948,-85.04801136
440,87,-85.05795455,34.9964,,,34.9948,-85.05994319
441,88,-85.4,35.0028,35.006,-85.39602273,35.0012,-85.40198864
442,88,-85.4,35.0092,,,35.0108,-85.40198864
