GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS
AA-22,229,216,2,2,19
AB-22,373,217,2,2,19
AC-22,395,218,2,2,19
AD-22,73,219,2,2,19
AE-22,63,220,2,2,19
AF-22,137,221,2,2,19
AG-22,59,222,2,2,19
AH-22,60,223,2,2,19
AI-22,45,224,2,2,19
AJ-22,0,225,2,2,19
AK-22,1,226,2,2,19
AL-22,68,227,2,2,19
AM-22,186,228,4,2,17
AN-22,164,229,2,2,19
AO-22,41,230,2,2,19
AP-22,174,231,2,2,19
AQ-22,884,232,2,2,17
AR-22,1359,233,4,2,19
AS-22,76,234,2,2,19
AT-22,32,235,2,2,19
AU-22,92,236,2,2,16
AW-22,6,237,2,2,19
N-21,0,238,2,3,18
O-21,8,239,2,2,19
P-21,11,240,2,2,19
Q-21,2,241,4,2,19
S-21,6,242,2,2,18
T-21,0,243,1,2,19
U-21,182,244,2,2,19
V-21,1252,245,2,2,17
W-21,543,246,2,2,17
X-21,430,247,2,2,19
Y-21,359,248,2,2,19
Z-21,185,249,2,2,19
AA-21,255,250,2,2,19
AB-21,90,251,2,2,19
AC-21,343,252,2,2,19
AD-21,74,253,2,2,19
AE-21,28,254,2,2,19
AF-21,224,255,2,2,19
AG-21,54,256,2,2,19
AH-21,29,257,2,2,19
AI-21,299,258,4,2,16
AJ-21,51,259,4,2,14
AK-21,0,260,2,2,16
AL-21,16,261,2,2,19
AM-21,87,262,2,2,19
AN-21,38,263,2,2,17
AO-21,24,264,2,2,19
AP-21,338,265,2,2,19
AQ-21,833,266,4,2,14
AR-21,183,267,2,2,19
AS-21,37,268,2,2,19
AT-21,15,269,2,2,19
AU-21,132,270,2,2,16
AV-21,55,271,2,2,19
AZ-21,17,272,2,2,17
N-20,5,273,2,3,18
O-20,3,274,2,2,19
P-20,3,275,2,2,19
Q-20,11,276,2,2,19
R-20,2,277,2,2,18
S-20,7,278,2,2,17
T-20,21,279,2,2,17
U-20,136,280,4,2,16
V-20,764,281,6,2,11
W-20,999,282,2,2,16
X-20,146,283,2,2,14
Y-20,452,284,4,2,14
Z-20,80,285,4,2,14
AA-20,18,286,2,2,19
AB-20,134,287,2,2,19
AC-20,221,288,2,2,19
AD-20,172,289,2,2,19
AE-20,87,290,2,2,19
AF-20,54,291,2,2,19
AG-20,47,292,2,2,19
AH-20,12,293,2,2,19
AI-20,10,294,2,2,19
AJ-20,102,295,2,2,19
AK-20,7,296,2,2,16
AL-20,253,297,4,2,14
AM-20,267,298,4,2,14
AN-20,98,299,2,2,19
AO-20,33,300,2,2,19
AP-20,10,301,2,2,19
AQ-20,92,302,2,2,19
AR-20,63,303,2,2,19
AS-20,164,304,2,2,16
AT-20,251,305,2,2,19
AU-20,82,306,2,2,16
AV-20,12,307,2,2,19
AW-20,6,308,2,2,19
AZ-20,5,309,2,2,18
BA-20,1,310,2,2,19
N-19,1,311,NA,NA,NA
P-19,0,312,2,2,19
Q-19,3,313,2,2,19
T-19,15,314,2,2,19
U-19,81,315,2,2,17
V-19,382,316,2,2,19
W-19,450,317,2,2,19
X-19,85,318,2,2,19
Y-19,4,319,2,2,19
Z-19,1,320,2,2,19
AA-19,183,321,4,2,14
AB-19,34,322,2,2,19
AC-19,33,323,2,2,19
AD-19,97,324,2,2,19
AE-19,26,325,2,2,19
AF-19,23,326,2,2,19
AG-19,42,327,2,2,19
AH-19,30,328,2,2,19
AI-19,4,329,2,2,19
AJ-19,32,330,2,2,19
AK-19,14,331,2,2,19
AL-19,181,332,2,2,12
AM-19,123,333,8,2,12
AN-19,1,334,2,2,19
AO-19,5,335,2,2,19
AP-19,8,336,2,2,19
AQ-19,50,337,2,2,19
AR-19,16,338,2,2,19
AS-19,18,339,2,2,19
AT-19,290,340,2,2,14
AU-19,262,341,5,2,16
AV-19,71,342,2,2,11
AW-19,10,343,2,2,19
AX-19,5,344,2,2,19
AZ-19,12,345,1,2,19
BA-19,3,346,2,2,19
BB-19,48,347,4,2,14
O-18,0,348,NA,NA,NA
P-18,2,349,1,2,19
Q-18,3,350,2,2,19
S-18,10,351,2,2,19
T-18,15,352,2,2,19
U-18,111,353,2,2,19
V-18,59,354,2,2,19
W-18,167,355,2,2,19
X-18,41,356,2,2,19
Y-18,155,357,2,2,19
Z-18,7,358,2,2,19
AA-18,7,359,NA,NA,NA
AB-18,124,360,2,2,19
AC-18,18,361,2,2,19
AD-18,60,362,2,2,19
AE-18,149,363,2,2,19
AF-18,79,364,2,2,19
AG-18,36,365,2,2,19
AH-18,2,366,2,2,19
AI-18,17,367,2,2,17
AJ-18,18,368,2,2,19
AK-18,9,369,2,2,19
AL-18,181,370,4,2,14
AM-18,32,371,2,2,16
AN-18,90,372,2,2,19
AO-18,24,373,2,2,19
AP-18,146,374,2,2,19
AQ-18,48,375,2,2,16
AR-18,127,376,2,2,14
AS-18,176,377,2,2,17
AT-18,22,378,4,2,17
AU-18,6,379,2,2,19
AV-18,14,380,8,2,11
AW-18,54,381,2,2,11
AX-18,192,382,4,2,11
AY-18,89,383,2,2,16
AZ-18,20,384,2,2,19
BA-18,11,385,2,2,19
P-17,0,386,1,2,19
Q-17,0,387,1,2,19
S-17,0,388,2,2,19
T-17,37,389,2,2,17
U-17,181,390,2,2,19
V-17,18,391,2,2,19
W-17,64,392,2,2,19
X-17,98,393,2,2,19
Y-17,32,394,2,2,19
Z-17,2,395,2,2,19
AA-17,2,396,NA,NA,NA
AB-17,21,397,1,2,19
AC-17,117,398,2,2,19
AD-17,27,399,2,2,19
AE-17,48,400,2,2,19
AF-17,46,401,2,2,19
AG-17,55,402,2,2,19
AH-17,57,403,2,2,19
AI-17,31,404,2,2,19
AJ-17,186,405,2,2,14
AK-17,80,406,2,2,19
AL-17,168,407,2,2,19
AM-17,174,408,2,2,19
AN-17,22,409,2,2,19
