Hour,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,precipIntensity,humidity,Probability,Prediction
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.0,0.08695652173913043,0.9999940395355225,1
0.17391304347826086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.25870646766169153,0.7101449275362322,0.9999940395355225,1
0.34782608695652173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.7761194029850745,0.8550724637681162,0.9999940395355225,1
0.5217391304347826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.03482587064676617,0.8550724637681162,0.9999940395355225,1
0.6956521739130435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.0,0.7971014492753625,0.9999940395355225,1
0.8695652173913043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.0,0.6811594202898552,0.9999940395355225,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1590909090909091,1.0,0.7777777777777777,0.3548387096774194,0.0,0.7681159420289856,0.9999940395355225,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.0,0.08695652173913043,0.9999940395355225,1
0.17391304347826086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.25373134328358204,0.6956521739130437,0.9999940395355225,1
0.34782608695652173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.781094527363184,0.8405797101449277,0.9999940395355225,1
0.5217391304347826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.03482587064676617,0.8405797101449277,0.9999940395355225,1
0.6956521739130435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.0,0.7826086956521741,0.9999940395355225,1
0.8695652173913043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.0,0.666666666666667,0.9999940395355225,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.7777777777777777,0.25806451612903225,0.0,0.7536231884057971,0.9999940395355225,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.0,0.08695652173913043,0.9999940395355225,1
0.17391304347826086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.25373134328358204,0.6956521739130437,0.9999940395355225,1
0.34782608695652173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.7860696517412935,0.8405797101449277,0.9999940395355225,1
0.5217391304347826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.03482587064676617,0.8405797101449277,0.9999940395355225,1
0.6956521739130435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.0,0.7826086956521741,0.9999940395355225,1
0.8695652173913043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.0,0.666666666666667,0.9999940395355225,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.20454545454545456,1.0,0.0,0.12903225806451613,0.0,0.7536231884057971,0.9999940395355225,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0.0,0.0,0.0,0.07246376811594207,0.9999940395355225,1
0.17391304347826086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.22727272727272727,1.0,0.0,0.0,0.25373134328358204,0.6956521739130437,0.9999940395355225,1
0.34782608695652173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.22727272727272727,1.0,0.0,0.0,0.7910447761194029,0.8405797101449277,0.9999940395355225,1
0.5217391304347826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.22727272727272727,1.0,0.0,0.0,0.029850746268656716,0.8405797101449277,0.9999940395355225,1
0.6956521739130435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0.0,0.0,0.0,0.7681159420289856,0.9999940395355225,1
0.8695652173913043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0.0,0.0,0.0,0.666666666666667,0.9999940395355225,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0.0,0.0,0.0,0.7391304347826089,0.9999940395355225,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24999999999999997,1.0,0.0,0.12903225806451613,0.0,0.08695652173913043,0.9999940395355225,1
