PostedSpeed,WeatherCode,Latitude,Longitude,Date,Hour,Grid_Num
40.0,Clear,35.137282,-85.23682,1/1/2018,0,607.0
25.0,Clear,35.048719,-85.29043100000001,1/1/2018,0,284.0
15.0,Clear,35.006363,-85.223831,1/1/2018,0,68.0
,Clear,35.029221,-85.370085,1/1/2018,1,167.0
40.0,Clear,35.023854,-85.273966,1/1/2018,2,179.0
30.0,Clear,35.036062,-85.27848,1/1/2018,3,216.0
30.0,Clear,35.051994,-85.301304,1/1/2018,11,283.0
30.0,Clear,35.123075,-85.239491,1/1/2018,11,566.0
40.0,Clear,35.010797,-85.222738,1/1/2018,12,106.0
55.0,Clear,35.030316,-85.314205,1/1/2018,13,174.0
40.0,Unknown,35.075286,-85.196546,1/1/2018,13,370.0
55.0,Clear,35.004334,-85.221655,1/1/2018,17,68.0
45.0,Clear,35.005364,-85.229618,1/1/2018,18,68.0
30.0,Clear,35.037417,-85.307395,1/1/2018,20,212.0
15.0,Clear,35.005285,-85.31444,1/1/2018,22,60.0
30.0,Clear,35.049648,-85.31058399999999,1/2/2018,0,245.0
,Clear,35.068538000000004,-85.289022,1/2/2018,0,357.0
55.0,Clear,35.081924,-85.205887,1/2/2018,1,445.0
15.0,Clear,35.137652,-85.245876,1/2/2018,9,605.0
50.0,Clear,35.049535999999996,-85.309151,1/2/2018,10,282.0
15.0,Clear,35.039190000000005,-85.23359,1/2/2018,10,256.0
35.0,Clear,35.007748,-85.292197,1/2/2018,12,98.0
30.0,Other,35.051577,-85.253371,1/2/2018,13,289.0
45.0,Clear,35.139208,-85.248737,1/2/2018,13,605.0
15.0,Clear,35.011179,-85.21726600000001,1/2/2018,14,107.0
15.0,Clear,35.013269,-85.211314,1/2/2018,14,108.0
,Clear,35.137205,-85.243167,1/2/2018,14,606.0
55.0,Clear,35.076056,-85.104161,1/2/2018,14,420.0
30.0,Cloudy,35.052637,-85.260808,1/2/2018,14,288.0
40.0,Clear,35.019169,-85.202312,1/2/2018,15,149.0
35.0,Clear,35.084775,-85.174464,1/2/2018,15,449.0
45.0,Clear,35.023734999999995,-85.158512,1/2/2018,16,195.0
35.0,Clear,35.014874,-85.274068,1/2/2018,16,139.0
35.0,Clear,35.035012,-85.135767,1/2/2018,17,235.0
35.0,Clear,35.044862,-85.309402,1/2/2018,17,246.0
35.0,Clear,35.027232,-85.234502,1/2/2018,18,185.0
55.0,Clear,35.005132,-85.227148,1/2/2018,18,68.0
30.0,Clear,35.052314,-85.30963299999999,1/2/2018,19,282.0
45.0,Clear,35.154053999999995,-85.199332,1/2/2018,19,648.0
55.0,Clear,35.006412,-85.231146,1/2/2018,20,105.0
30.0,Clear,35.053255,-85.311339,1/2/2018,21,281.0
55.0,Clear,35.113603999999995,-85.230073,1/2/2018,21,543.0
,Unknown,35.034528,-85.15870600000001,1/3/2018,0,232.0
,Clear,35.033342,-85.151733,1/3/2018,0,196.0
35.0,Clear,35.070777,-85.24271,1/3/2018,6,364.0
35.0,Other,35.033352,-85.313586,1/3/2018,7,174.0
30.0,Clear,35.037599,-85.311252,1/3/2018,8,211.0
30.0,Clear,35.013186,-85.228151,1/3/2018,8,106.0
55.0,Clear,35.052240000000005,-85.14994200000001,1/3/2018,8,303.0
40.0,Clear,35.05158,-85.21308499999999,1/3/2018,10,295.0
40.0,Clear,35.017934999999994,-85.27968100000001,1/3/2018,11,139.0
45.0,Clear,35.017577,-85.17550200000001,1/3/2018,11,153.0
40.0,Clear,35.008538,-85.153227,1/3/2018,11,78.0
65.0,Clear,35.188049,-85.24683399999999,1/3/2018,12,684.0
30.0,Clear,35.136378,-85.24254,1/3/2018,12,606.0
40.0,Clear,35.133182,-85.242492,1/3/2018,13,586.0
35.0,Clear,35.05297,-85.260301,1/3/2018,13,288.0
15.0,Clear,35.050625,-85.323256,1/3/2018,13,280.0
45.0,Clear,35.022977000000004,-85.159071,1/3/2018,13,195.0
35.0,Clear,35.084559999999996,-85.063562,1/3/2018,13,425.0
35.0,Clear,35.028597,-85.287153,1/3/2018,13,178.0
15.0,Clear,35.081088,-85.26488,1/3/2018,14,397.0
45.0,Clear,35.14182,-85.248735,1/3/2018,15,625.0
35.0,Clear,35.010999999999996,-85.222628,1/3/2018,15,106.0
,Clear,35.048719,-85.29043100000001,1/3/2018,15,284.0
40.0,Clear,35.118542,-85.249724,1/3/2018,15,565.0
40.0,Clear,35.030545000000004,-85.189874,1/3/2018,15,228.0
45.0,Clear,35.048439,-85.156758,1/3/2018,15,302.0
20.0,Clear,35.030134999999994,-85.162385,1/3/2018,15,194.0
15.0,Clear,35.018698,-85.239705,1/3/2018,16,144.0
55.0,Clear,35.083314,-85.057788,1/3/2018,17,461.0
25.0,Clear,35.130528000000005,-85.253331,1/3/2018,17,584.0
35.0,Clear,35.034812,-85.303844,1/3/2018,18,212.0
