Accident,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity
0,2017-08-21,6:00:00,6,2,1,0,1,0,0,0,0,0,528,9,11,0,7,6,1503309600,0
0,2017-06-11,15:00:00,15,4,0,1,0,1,0,0,0,0,528,9,11,0,7,6,1497207600,0
0,2017-03-25,15:00:00,15,4,0,1,0,1,0,0,0,0,402,18,14,0,5,12,1490468400,0
0,2017-09-02,16:00:00,16,4,0,1,0,1,0,0,0,0,402,18,14,0,5,12,1504382400,0
0,2017-02-18,10:00:00,10,3,0,1,1,0,0,0,0,0,402,18,14,0,5,12,1487430000,0
0,2017-04-22,16:00:00,16,4,0,1,0,0,1,0,0,0,14,21,26,0,7,20,1492891200,0.008
0,2017-10-01,9:00:00,9,2,0,1,1,0,0,0,0,0,14,21,26,0,7,20,1506862800,0
0,2017-05-06,15:00:00,15,4,0,1,1,0,0,0,0,0,14,21,26,0,7,20,1494097200,0
0,2017-12-30,13:00:00,13,4,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1514656800,0
0,2017-04-06,6:00:00,6,2,1,0,0,1,0,0,0,0,577,13,10,0,0,8,1491472800,0
0,2017-02-26,12:00:00,12,3,0,1,1,0,0,0,0,0,22,10,25,0,0,1,1488128400,0
0,2017-07-16,12:00:00,12,3,0,1,0,0,0,1,0,0,313,19,16,0,7,8,1500220800,0
0,2017-01-28,10:00:00,10,3,0,1,1,0,0,0,0,0,313,19,16,0,7,8,1485615600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
0,2017-02-04,12:00:00,12,3,0,1,1,0,0,0,0,0,626,20,9,1,0,3,1486227600,0
