Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/22/2020 10:10:37 PM,1/22/2020 10:26:26 PM,200 W Martin Luther King Blvd,CHATTANOOGA,35045739,85311631,ACC2-MVC No Injuries
1/22/2020 8:09:16 PM,1/22/2020 8:49:06 PM,1332 Passenger St,CHATTANOOGA,35036052,85300982,ACCDEL-MVC Delayed
1/22/2020 6:46:10 PM,1/22/2020 7:44:28 PM,700 INTERSTATE 75 NB,CHATTANOOGA,35055684,85136675,ACCDEL-MVC Delayed
1/22/2020 6:26:40 PM,1/22/2020 7:52:27 PM,637 MUNDY ST,CHATTANOOGA,35097801,85325747,ACC2-MVC No Injuries
1/22/2020 6:17:14 PM,1/22/2020 7:11:45 PM,180 INTERSTATE 75 SB,CHATTANOOGA,35007414,85203262,ACC2-MVC No Injuries
1/22/2020 6:15:30 PM,1/22/2020 6:36:59 PM,6206 Bonny Oaks Dr,CHATTANOOGA,35073676,85179982,ACC2-MVC No Injuries
1/22/2020 5:48:15 PM,1/22/2020 6:28:06 PM,400 N Market St,CHATTANOOGA,35065196,85308341,ACC2-MVC No Injuries
1/22/2020 5:43:27 PM,1/22/2020 6:20:50 PM,6009 Ooltewah Georgetown Rd,CHATTANOOGA,35083394,85058605,ACC2-MVC No Injuries
1/22/2020 5:34:43 PM,1/22/2020 6:05:47 PM,1 - 9 Exit Highway 58 On Ramp Sb,CHATTANOOGA,35081998,85208009,ACC2-MVC No Injuries
1/22/2020 5:14:08 PM,1/22/2020 5:17:04 PM,4820-4898 BONNY OAKS DR,CHATTANOOGA,35074013,85192613,ACC3-MVC Unknown Injuries
1/22/2020 5:02:38 PM,1/22/2020 6:28:54 PM,501 Signal Mountain Rd,CHATTANOOGA,35094368,85331318,ACC2-MVC No Injuries
1/22/2020 4:50:17 PM,1/22/2020 4:51:35 PM,5764 Highway 153,CHATTANOOGA,35152975,85245620,ACC2-MVC No Injuries
1/22/2020 4:48:09 PM,1/22/2020 5:42:17 PM,5721 HIGHWAY 153,CHATTANOOGA,35152739,85249644,ACC2-MVC No Injuries
1/22/2020 4:45:23 PM,1/22/2020 4:52:43 PM,2288 Gunbarrel Rd,CHATTANOOGA,35037485,85149705,ACC1-MVC Injuries
1/22/2020 4:45:23 PM,1/22/2020 4:53:42 PM,2288 Gunbarrel Rd,CHATTANOOGA,35037485,85149705,ACC1-MVC Injuries
1/22/2020 4:44:44 PM,1/22/2020 5:12:27 PM,2288 Gunbarrel Rd,CHATTANOOGA,35037485,85149705,ACC2-MVC No Injuries
