Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/20/2020 3:21:51 PM,1/20/2020 4:47:24 PM,18180 INTERSTATE 24 WB,CHATTANOOGA,35016904,85269380,ACC2-MVC No Injuries
1/20/2020 3:15:34 PM,1/20/2020 3:23:55 PM,4214 Ringgold Rd,EAST RIDGE,34996637,85242414,ACCDEL-MVC Delayed
1/20/2020 2:40:44 PM,1/20/2020 2:45:09 PM,200 Interstate 75 Sb,CHATTANOOGA,35008246,85200274,ACC1-MVC Injuries
1/20/2020 2:40:44 PM,1/20/2020 2:46:24 PM,200 Interstate 75 Sb,CHATTANOOGA,35008246,85200274,ACC1-MVC Injuries
1/20/2020 2:36:53 PM,1/20/2020 4:16:48 PM,2220 Hamilton Place Blvd,CHATTANOOGA,35039503,85153964,ACC2-MVC No Injuries
1/20/2020 1:58:59 PM,1/20/2020 4:20:25 PM,200 Interstate 75 Sb,CHATTANOOGA,35008246,85200274,ACC1-MVC Injuries
1/20/2020 1:55:55 PM,1/20/2020 2:17:57 PM,6501 Middle Valley Rd,HAMILTON COUNTY,35162062,85212178,ACC1-MVC Injuries
1/20/2020 1:55:54 PM,1/20/2020 3:16:01 PM,6501 Middle Valley Rd,HAMILTON COUNTY,35162062,85212178,ACC1-MVC Injuries
1/20/2020 1:55:07 PM,1/20/2020 3:43:39 PM,6501 Middle Valley Rd,HAMILTON COUNTY,35162062,85212178,ACC1-MVC Injuries
1/20/2020 1:45:41 PM,1/20/2020 3:59:01 PM,Mcbrien Rd / N Terrace,CHATTANOOGA,35005447,85226637,ACC2-MVC No Injuries
1/20/2020 1:10:28 PM,1/20/2020 1:33:10 PM,1300 - 1499 Broad St,CHATTANOOGA,35039810,85310041,ACC2-MVC No Injuries
1/20/2020 1:07:03 PM,1/20/2020 2:31:05 PM,400-599 N Palisades Dr,SIGNAL MOUNTAIN,35121722,85331631,ACC1-MVC Injuries
1/20/2020 1:00:29 PM,1/20/2020 1:20:11 PM,3720-3769 Wilcox Blvd,CHATTANOOGA,35043945,85229183,ACC1-MVC Injuries
1/20/2020 1:00:29 PM,1/20/2020 1:19:26 PM,3720-3769 Wilcox Blvd,CHATTANOOGA,35043945,85229183,ACC1-MVC Injuries
1/20/2020 12:59:17 PM,1/20/2020 2:25:22 PM,3720-3769 Wilcox Blvd,CHATTANOOGA,35043945,85229183,ACC1-MVC Injuries
1/20/2020 12:41:46 PM,1/20/2020 2:04:16 PM,8912 Lee Hwy,CHATTANOOGA,35087315,85071104,ACC2-MVC No Injuries
1/20/2020 12:26:52 PM,1/20/2020 1:05:26 PM,3506 BRAINERD RD,CHATTANOOGA,35024592,85248005,ACC2-MVC No Injuries
1/20/2020 12:15:32 PM,1/20/2020 12:17:44 PM,Bennett Rd / John Ross Rd,EAST RIDGE,34994324,85255646,ACC3-MVC Unknown Injuries
1/20/2020 12:15:27 PM,1/20/2020 12:56:21 PM,Bennett Rd / John Ross Rd,EAST RIDGE,34994324,85255646,ACC4-MVC Entrapment
1/20/2020 12:15:02 PM,1/20/2020 12:56:03 PM,Bennett Rd / John Ross Rd,EAST RIDGE,34994324,85255646,ACC3-MVC Unknown Injuries
1/20/2020 12:14:57 PM,1/20/2020 1:06:14 PM,Bennett Rd / John Ross Rd,EAST RIDGE,34994324,85255646,ACC3-MVC Unknown Injuries
1/20/2020 11:47:07 AM,1/20/2020 12:47:40 PM,7300 Shallowford Rd,CHATTANOOGA,35041303,85153824,ACC2-MVC No Injuries
1/20/2020 11:31:59 AM,1/20/2020 12:00:49 PM,9 INTERSTATE 75 SB,EAST RIDGE,34986942,85202176,ACC2-MVC No Injuries
1/20/2020 11:24:54 AM,1/20/2020 11:47:48 AM,100 HIGHWAY 153 SB,CHATTANOOGA,35034506,85183441,ACC2-MVC No Injuries
1/20/2020 10:46:26 AM,1/20/2020 11:22:17 AM,3407 Martin Rd,RED BANK,35114725,85302247,ACCDEL-MVC Delayed
1/20/2020 10:12:51 AM,1/20/2020 11:34:43 AM,3535 Mountain Creek Rd,CHATTANOOGA,35124330,85313771,ACC2-MVC No Injuries
1/20/2020 9:18:48 AM,1/20/2020 9:58:27 AM,2601 Broad St,CHATTANOOGA,35027633,85317127,ACCDEL-MVC Delayed
1/20/2020 8:43:53 AM,1/20/2020 8:44:33 AM,3401 Amnicola Hwy,CHATTANOOGA,35081088,85264880,ACC2-MVC No Injuries
1/20/2020 8:23:52 AM,1/20/2020 8:34:57 AM,501 Palmetto St,CHATTANOOGA,35046995,85294055,ACC2-MVC No Injuries
1/20/2020 8:22:23 AM,1/20/2020 10:37:27 AM,2311-2389 Gunbarrel Rd,CHATTANOOGA,35042990,85148860,ACC2-MVC No Injuries
1/20/2020 8:21:46 AM,1/20/2020 9:04:10 AM,501-507 PALMETTO ST,CHATTANOOGA,35046995,85294055,ACC2-MVC No Injuries
1/20/2020 7:14:58 AM,1/20/2020 8:07:05 AM,4831 BONNY OAKS DR,CHATTANOOGA,35074238,85190932,ACC2-MVC No Injuries
1/20/2020 6:46:31 AM,1/20/2020 7:04:38 AM,17180 Interstate 24 Eb,CHATTANOOGA,34993300,85399306,ACC2-MVC No Injuries
1/20/2020 5:28:09 AM,1/20/2020 10:08:50 AM,600 DODDS AVE,CHATTANOOGA,35029420,85265246,ACC2-MVC No Injuries
1/20/2020 5:28:01 AM,1/20/2020 5:28:54 AM,Dodds Ave / Bailey Ave,CHATTANOOGA,35029420,85265246,ACC2-MVC No Injuries
1/20/2020 3:16:08 AM,1/20/2020 5:20:59 AM,1112 Lincoln Park Ln,CHATTANOOGA,35048753,85286287,ACC2-MVC No Injuries
