Accident,Center_Lat,Center_Long,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Precipitation_Intensity,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Weekday,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
0,-85.23224564,-85.23224564,12/29/18,10:00:00,10,3,0,1,0,0,1,0,0,0,0,167,5,25,20,0,7,29
0,-85.23224564,-85.23224564,11/10/18,12:00:00,12,3,0,1,0,0,1,0,0,0,0,167,5,25,20,0,7,29
0,-85.0977581,-85.0977581,10/20/18,9:00:00,9,2,0,1,0.008,0,0,1,0,0,1,789,5,37,5,1,7,4
0,-85.0977581,-85.0977581,9/8/18,6:00:00,6,2,0,1,0,0,1,0,0,0,0,789,5,37,5,1,7,4
0,-85.27253329,-85.27253329,5/15/18,6:00:00,6,2,1,0,0,0,1,0,0,0,0,579,1,15,10,0,7,12
0,-85.27253329,-85.27253329,6/28/18,8:00:00,8,2,1,0,0,0,1,0,0,0,0,579,3,15,10,0,7,12
0,-85.27253329,-85.27253329,10/17/18,13:00:00,13,4,1,0,0,0,1,0,0,0,0,579,2,15,10,0,7,12
0,-85.27253329,-85.27253329,10/3/18,5:00:00,5,2,1,0,0,0,1,0,0,0,0,579,2,15,10,0,7,12
0,-85.27253329,-85.27253329,9/27/18,15:00:00,15,4,1,0,0.072,0,0,1,0,0,1,579,3,15,10,0,7,12
0,-85.05688154,-85.05688154,12/3/18,8:00:00,8,2,1,0,0,0,1,0,0,0,0,690,0,44,8,0,7,3
0,-85.20103472,-85.20103472,4/1/18,13:00:00,13,4,0,1,0,1,0,0,0,0,0,277,6,28,17,0,7,2
0,-85.20103472,-85.20103472,11/10/18,17:00:00,17,4,0,1,0,1,0,0,0,0,0,277,5,28,17,0,7,2
0,-85.20103472,-85.20103472,4/21/18,16:00:00,16,4,0,1,0,1,0,0,0,0,0,277,5,28,17,0,7,2
0,-85.20103472,-85.20103472,9/22/18,15:00:00,15,4,0,1,0,0,1,0,0,0,0,277,5,28,17,0,7,2
0,-85.31969426,-85.31969426,4/7/18,7:00:00,7,2,0,1,0.005,0,0,1,0,0,1,222,5,12,18,1,7,16
0,-85.31969426,-85.31969426,9/9/18,5:00:00,5,2,0,1,0,0,1,0,0,0,0,222,6,12,18,1,7,16
0,-85.24986156,-85.24986156,6/30/18,9:00:00,9,2,0,1,0,0,1,0,0,0,0,134,5,23,21,0,7,23
0,-85.24986156,-85.24986156,12/23/18,7:00:00,7,2,0,1,0,0,1,0,0,0,0,134,6,23,21,0,7,23
0,-85.29908641,-85.29908641,7/20/18,18:00:00,18,1,1,0,0,0,0,0,1,0,0,694,4,10,7,0,7,1
0,-85.29908641,-85.29908641,5/31/18,4:00:00,4,1,1,0,0,0,1,0,0,0,0,694,3,10,7,0,7,1
0,-85.29908641,-85.29908641,6/18/18,0:00:00,0,1,1,0,,,,,,,,694,0,10,7,0,7,1
0,-85.16425118,-85.16425118,4/28/18,21:00:00,21,1,0,1,0,0,1,0,0,0,0,594,5,30,10,0,7,5
0,-85.07773561,-85.07773561,8/22/18,12:00:00,12,3,1,0,0,0,1,0,0,0,0,898,2,38,1,0,0,1
0,-85.07773561,-85.07773561,5/4/18,14:00:00,14,4,1,0,0,0,1,0,0,0,0,898,4,38,1,0,0,1
0,-85.07773561,-85.07773561,7/10/18,3:00:00,3,1,1,0,0,0,1,0,0,0,0,898,1,38,1,0,0,1
0,-85.07773561,-85.07773561,11/12/18,10:00:00,10,3,1,0,0.153,0,0,1,0,0,1,898,0,38,1,0,0,1
0,-85.07773561,-85.07773561,10/25/18,23:00:00,23,1,1,0,0.047,0,0,1,0,0,1,898,3,38,1,0,0,1
0,-85.07773561,-85.07773561,5/1/18,17:00:00,17,4,1,0,0,1,0,0,0,0,0,898,1,38,1,0,0,1
0,-85.07773561,-85.07773561,10/2/18,2:00:00,2,1,1,0,0,1,0,0,0,0,0,898,1,38,1,0,0,1
0,-85.07773561,-85.07773561,7/28/18,15:00:00,15,4,0,1,0,0,1,0,0,0,0,898,5,38,1,0,0,1
0,-85.25070064,-85.25070064,10/27/18,5:00:00,5,2,0,1,0.004,0,0,1,0,0,1,197,5,22,19,0,7,13
0,-85.33669941,-85.33669941,12/30/18,6:00:00,6,2,0,1,0,0,1,0,0,0,0,481,6,7,12,0,7,12
0,-85.33669941,-85.33669941,4/28/18,12:00:00,12,3,0,1,0,1,0,0,0,0,0,481,5,7,12,0,7,12
0,-85.04967247,-85.04967247,7/7/18,10:00:00,10,3,0,1,0,0,1,0,0,0,0,691,5,45,8,0,7,5
0,-85.04967247,-85.04967247,9/23/18,11:00:00,11,3,0,1,0,0,1,0,0,0,0,691,6,45,8,0,7,5
0,-85.22837213,-85.22837213,9/30/18,19:00:00,19,1,0,1,0,0,1,0,0,0,0,496,6,22,12,0,7,11
0,-85.22837213,-85.22837213,9/23/18,0:00:00,0,1,0,1,,,,,,,,496,6,22,12,0,7,11
