,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
2386,4765,33I0024002,-85.350032,35.028387,39,2/25/19,19:00,19,49.73,55.85,35.52,31.03,0.48,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5223305,5.06,1
5407,159,33I0075001,-85.196993,35.009159,33,2/25/19,0:00,0,53.85,60.65,45.76,50.37,0.88,2,0,6.72,0.35,rain,0.0129,0.1303,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.5236627,2.228,1
307,5010,33I0024002,-85.350032,35.028387,39,2/25/19,20:00,20,47.53,55.85,35.52,30.66,0.52,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5019472,5.06,1
4687,3945,33I0024002,-85.323702,35.02629,91,2/25/19,16:00,16,55.77,55.77,35.75,28.03,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.5083212,7.082,1
474,4171,33I0024002,-85.368766,35.026324,144,2/25/19,17:00,17,55.46,55.85,35.18,28.84,0.36,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.52268887,3.959,1
3528,3748,33I0024002,-85.322434,35.028932,47,2/25/19,15:00,15,55.56,55.77,35.73,23.4,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.52879703,7.279,1
4644,141,33I0075001,-85.21117,35.002679,34,2/25/19,0:00,0,53.78,60.77,45.86,50.01,0.87,2,0,6.61,0.35,rain,0.0133,0.1337,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.57495654,1.289,1
917,4520,33I0024002,-85.350032,35.028387,39,2/25/19,18:00,18,52.82,55.85,35.52,30.46,0.42,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5318104,5.06,1
5328,4552,33SR153001,-85.221427,35.091719,34,2/25/19,18:00,18,52.47,55.32,34.28,30.49,0.43,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,,0.50955534,5.772,1
3049,3365,33SR008001,-85.318282,35.083649,31,2/25/19,13:00,13,51.71,55.65,33.54,13.67,0.22,2,0,8.85,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,21,1,16,22,15,,0.59916085,11.995,1
3947,3709,33I0024002,-85.323459,35.027231,70,2/25/19,15:00,15,55.57,55.77,35.75,23.4,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.5283698,7.148,1
5051,4307,33SR153001,-85.221427,35.091719,34,2/25/19,17:00,17,54.78,55.31,34.28,29.03,0.37,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,,0.5114061,5.772,1
