,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
1846,3951,33SR002001,-85.13423900000001,35.060689,76,2/25/19,16:00,16,54.9,54.9,34.26,28.7,0.36,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,0.29032728,20.339000000000002,0.0
487,4166,33I0075001,-85.206737,34.996081,255,2/25/19,17:00,17,55.22,55.58,34.58,29.39,0.37,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.46837482,0.7709999999999999,0.0
5557,5542,3303559001,-85.311782,35.05227,34,2/25/19,22:00,22,45.2,55.64,34.25,29.75,0.54,2,0,10.0,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,17,40,15,,0.2144509,1.003,0.0
1727,4182,3304976001,-85.06329000000001,35.08082,109,2/25/19,17:00,17,54.12,54.68,34.36,29.57,0.39,2,0,10.0,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15,,0.27651286,1.598,0.0
5050,2844,3303580001,-85.166282,35.046274,34,2/25/19,11:00,11,45.81,55.36,34.27,16.22,0.3,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.3277314,1.538,0.0
1289,4580,3301122001,-85.154037,35.041835999999996,32,2/25/19,18:00,18,52.05,55.16,34.34,30.82,0.44,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.35945514,0.11800000000000001,0.0
4868,3681,33I0024002,-85.36876600000001,35.026324,144,2/25/19,15:00,15,55.64,55.85,35.18,23.17,0.28,2,0,10.0,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.55526143,3.9589999999999996,1.0
2399,4686,33SR002001,-85.13423900000001,35.060689,76,2/25/19,19:00,19,48.3,54.9,34.26,31.07,0.51,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,0.2565479,20.339000000000002,0.0
1538,2734,33SR002001,-85.24646800000001,35.024158,69,2/25/19,11:00,11,45.6,55.08,34.08,16.03,0.3,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,0.2733559,12.466,0.0
1138,5043,33I0024002,-85.314205,35.030316,34,2/25/19,20:00,20,47.69,55.72,35.97,30.73,0.52,2,0,10.0,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,18,,0.29322258,7.8629999999999995,0.0
4684,440,33I0075001,-85.201076,35.007825,29,2/25/19,1:00,1,43.19,54.94,34.31,23.26,0.45,2,0,3.16,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.0071607446,1.976,0.0
2811,4677,33I0024002,-85.238046,35.008957,97,2/25/19,19:00,19,49.11,55.39,34.19,31.29,0.5,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,36,18,,0.27059162,12.956,0.0
1658,1680,3301122001,-85.154861,35.042127,28,2/25/19,6:00,6,36.68,55.17,34.33,23.38,0.58,2,0,4.04,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.010423458,0.067,0.0
3969,1289,33SR008001,-85.317611,35.083977000000004,52,2/25/19,5:00,5,38.15,55.64,33.53,24.01,0.56,2,0,10.0,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,22,15,,0.03575468,11.962,0.0
4113,489,33I0124001,-85.314338,35.049871,26,2/25/19,1:00,1,44.08,55.22,36.11,20.73,0.39,2,0,2.35,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,4,6,2,1,11,24,15,,0.007468716,1.5959999999999999,0.0
