Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
5/24/2019 11:39:13 PM,5/25/2019 1:48:06 AM,1700 E 49TH ST,CHATTANOOGA,34986616,85289471,ACC2-MVC No Injuries
5/24/2019 10:34:42 PM,5/24/2019 11:08:30 PM,18100 Interstate 24 Eb,CHATTANOOGA,35016491,85280690,ACC2-MVC No Injuries
5/24/2019 10:32:56 PM,5/24/2019 10:35:10 PM,18120 - 18249 Interstate 24 Eb,CHATTANOOGA,35015381,85276945,ACC2-MVC No Injuries
5/24/2019 10:28:51 PM,5/24/2019 11:42:13 PM,201 W Main St,CHATTANOOGA,35037096,85309359,ACC2-MVC No Injuries
5/24/2019 10:05:28 PM,5/24/2019 10:19:35 PM,7496 Ooltewah Georgetown Rd,HAMILTON COUNTY,35129309,85044060,ACC2-MVC No Injuries
5/24/2019 9:47:12 PM,5/25/2019 1:06:45 AM,E 23rd St / S Lyerly St,CHATTANOOGA,35017010,85277147,ACC2-MVC No Injuries
5/24/2019 9:15:46 PM,5/24/2019 9:50:47 PM,Market St / E Martin Luther King Blvd,CHATTANOOGA,35045763,85309399,ACC1-MVC Injuries
5/24/2019 9:15:46 PM,5/24/2019 9:47:08 PM,Market St / E Martin Luther King Blvd,CHATTANOOGA,35045763,85309399,ACC1-MVC Injuries
5/24/2019 9:15:27 PM,5/24/2019 10:44:38 PM,Market St / E Martin Luther King Blvd,CHATTANOOGA,35045763,85309399,ACC1-MVC Injuries
5/24/2019 9:05:57 PM,5/24/2019 9:57:13 PM,3327 Ringgold Rd,EAST RIDGE,35007335,85262151,ACC2-MVC No Injuries
5/24/2019 8:43:19 PM,5/24/2019 10:12:29 PM,4860 Hixson Pike,CHATTANOOGA,35128532,85245334,ACC2-MVC No Injuries
5/24/2019 8:06:30 PM,5/24/2019 8:49:13 PM,Highway 27 Nb / Exit W 4th St On Ramp Nb,CHATTANOOGA,35054636,85315303,ACC2-MVC No Injuries
5/24/2019 7:43:53 PM,5/24/2019 8:42:08 PM,7035 HIGHWAY 153,CHATTANOOGA,35185629,85246926,ACC2-MVC No Injuries
5/24/2019 7:31:15 PM,5/24/2019 7:59:33 PM,Thrasher Pike / Frontage Rd,SODDY DAISY,35210880,85214654,ACC2-MVC No Injuries
5/24/2019 7:25:08 PM,5/24/2019 7:30:58 PM,1061-1237 Highway 27 Nb,HAMILTON COUNTY,35183098,85258164,ACC2-MVC No Injuries
5/24/2019 7:04:35 PM,5/24/2019 7:06:13 PM,18160 Interstate 24 Wb,CHATTANOOGA,35014835,85271540,ACC3-MVC Unknown Injuries
