Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
5/1/2019 11:09:28 PM,5/1/2019 11:42:49 PM,9000 LEE HWY,CHATTANOOGA,35085686,85066688,ACC2-MVC No Injuries
5/1/2019 10:22:57 PM,5/1/2019 11:02:13 PM,2300 - 2349 Dockside Dr,LAKESITE,35214362,85127621,ACC1-MVC Injuries
5/1/2019 10:22:56 PM,5/1/2019 11:57:20 PM,2300 - 2349 Dockside Dr,LAKESITE,35214362,85127621,ACC1-MVC Injuries
5/1/2019 10:21:31 PM,5/2/2019 12:31:32 AM,9500 HIXSON PIKE,LAKESITE,35213543,85132822,ACC1-MVC Injuries
5/1/2019 10:19:26 PM,5/2/2019 12:33:42 AM,4040 Mountain Creek Rd,CHATTANOOGA,35128226,85307986,ACC2-MVC No Injuries
5/1/2019 9:50:59 PM,5/1/2019 10:50:19 PM,900 W 40TH ST,CHATTANOOGA,35007440,85319265,ACC2-MVC No Injuries
5/1/2019 9:30:02 PM,5/1/2019 9:51:21 PM,17400 Interstate 24 Wb,CHATTANOOGA,35018934,85383202,ACC3-MVC Unknown Injuries
5/1/2019 9:25:26 PM,5/1/2019 10:13:54 PM,6402 Hixson Pike,CHATTANOOGA,35155598,85197541,ACC2-MVC No Injuries
5/1/2019 9:21:12 PM,5/1/2019 9:21:53 PM,406 Broad St,CHATTANOOGA,35051931,85310288,ACC2-MVC No Injuries
5/1/2019 9:20:15 PM,5/2/2019 12:26:30 AM,400 Chestnut St,CHATTANOOGA,35051813,85311457,ACC2-MVC No Injuries
5/1/2019 9:16:37 PM,5/1/2019 9:47:08 PM,Gunbarrel Rd / E Brainerd Rd,CHATTANOOGA,35015214,85163699,ACC1-MVC Injuries
5/1/2019 9:16:36 PM,5/1/2019 10:44:36 PM,Gunbarrel Rd / E Brainerd Rd,CHATTANOOGA,35015214,85163699,ACC1-MVC Injuries
5/1/2019 9:15:58 PM,5/1/2019 9:17:10 PM,Gunbarrel Rd / E Brainerd Rd,CHATTANOOGA,35015214,85163699,ACC1-MVC Injuries
5/1/2019 9:15:51 PM,5/1/2019 9:17:03 PM,7355 E Brainerd Rd,CHATTANOOGA,35015677,85163656,ACC1-MVC Injuries
5/1/2019 9:14:55 PM,5/1/2019 9:16:06 PM,1400-1599 Gunbarrel Rd,CHATTANOOGA,35015629,85163468,ACC3-MVC Unknown Injuries
