,ORIG_FID,X,Y,Grid_Col,Grid_Row,Highway,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
7740,1550,-85.08247456,35.07653649,55,8,0,35.07534821,-85.08614605,35.07713063,-85.08063882
7741,1550,-85.08470062,35.07232996,55,8,0,,,35.07082084,-85.08397791
7742,1550,-85.08981744,35.07415985,55,8,0,,,35.07356567,-85.09165314
7743,1550,-85.08759159,35.07836648,55,8,0,,,35.07987561,-85.08831436
7744,1550,-85.08247456,35.07653649,55,8,0,,,35.07713063,-85.08063882
7745,1551,-85.07735777,35.07470629,56,8,0,35.07351817,-85.08102924,35.07530035,-85.07552204
7746,1551,-85.07958404,35.07049986,56,8,0,,,35.06899071,-85.07886143
7747,1551,-85.08470062,35.07232996,56,8,0,,,35.07173586,-85.08653631
7748,1551,-85.08247456,35.07653649,56,8,0,,,35.07804565,-85.08319722
7749,1551,-85.07735777,35.07470629,56,8,0,,,35.07530035,-85.07552204
7750,1552,-85.07224122,35.07287588,57,8,0,35.07168791,-85.07591267,35.07346987,-85.0704055
7751,1552,-85.07446769,35.06866956,57,8,0,,,35.06716038,-85.07374519
7752,1552,-85.07958404,35.07049986,57,8,0,,,35.06990584,-85.08141972
7753,1552,-85.07735777,35.07470629,57,8,0,,,35.07621548,-85.07808032
7754,1552,-85.07224122,35.07287588,57,8,0,,,35.07346987,-85.0704055
7755,1553,-85.06712491,35.07104527,58,8,0,35.06985745,-85.07079634,35.07163918,-85.06528919
7756,1553,-85.06935158,35.06683904,58,8,0,,,35.06532983,-85.06862919
7757,1553,-85.07446769,35.06866956,58,8,0,,,35.06807561,-85.07630336
7758,1553,-85.07224122,35.07287588,58,8,0,,,35.0743851,-85.07296366
7759,1553,-85.06712491,35.07104527,58,8,0,,,35.07163918,-85.06528919
7760,1554,-85.06200883,35.06921444,59,8,0,35.06802678,-85.06568025,35.06980828,-85.06017312
7761,1554,-85.0642357,35.06500831,59,8,0,,,35.06349908,-85.06351343
7762,1554,-85.06935158,35.06683904,59,8,0,,,35.06624517,-85.07118724
7763,1554,-85.06712491,35.07104527,59,8,0,,,35.07255451,-85.06784724
7764,1554,-85.06200883,35.06921444,59,8,0,,,35.06980828,-85.06017312
7765,1555,-85.05689299,35.06738341,60,8,0,35.0661959,-85.06056439,35.06797716,-85.05505729
7766,1555,-85.05912007,35.06317738,60,8,0,,,35.06166812,-85.0583979
7767,1555,-85.0642357,35.06500831,60,8,0,,,35.06441452,-85.06607136
7768,1555,-85.06200883,35.06921444,60,8,0,,,35.07072371,-85.06273105
7769,1555,-85.05689299,35.06738341,60,8,0,,,35.06797716,-85.05505729
7770,1556,-85.05177738,35.06555217,61,8,0,35.06436481,-85.05544877,35.06614584,-85.04994169
7771,1556,-85.05400467,35.06134624,61,8,0,,,35.05983695,-85.05328261
7772,1556,-85.05912007,35.06317738,61,8,0,,,35.06258366,-85.06095571
7773,1556,-85.05689299,35.06738341,61,8,0,,,35.06889271,-85.0576151
7774,1556,-85.05177738,35.06555217,61,8,0,,,35.06614584,-85.04994169
7775,1557,-85.04666202,35.06372072,62,8,0,35.06253352,-85.05033339,35.06431432,-85.04482633
7776,1557,-85.0488895,35.05951489,62,8,0,,,35.05800557,-85.04816756
7777,1557,-85.05400467,35.06134624,62,8,0,,,35.0607526,-85.0558403
7778,1557,-85.05177738,35.06555217,62,8,0,,,35.06706149,-85.05249938
7779,1557,-85.04666202,35.06372072,62,8,0,,,35.06431432,-85.04482633
7780,1558,-85.04154689,35.06188906,63,8,0,35.06070201,-85.04521824,35.06248258,-85.03971121
7781,1558,-85.04377458,35.05768333,63,8,0,,,35.05617398,-85.04305274
7782,1558,-85.0488895,35.05951489,63,8,0,,,35.05892132,-85.05072513
7783,1558,-85.04666202,35.06372072,63,8,0,,,35.06523007,-85.04738391
7784,1558,-85.04154689,35.06188906,63,8,0,,,35.06248258,-85.03971121
7785,1559,-85.036432,35.06005719,64,8,0,35.0588703,-85.04010333,35.06065063,-85.03459633
7786,1559,-85.03865989,35.05585156,64,8,0,,,35.05434218,-85.03793816
7787,1559,-85.04377458,35.05768333,64,8,0,,,35.05708984,-85.0456102
7788,1559,-85.04154689,35.06188906,64,8,0,,,35.06339844,-85.04226867
7789,1559,-85.036432,35.06005719,64,8,0,,,35.06065063,-85.03459633
7790,1560,-85.25949224,35.14467122,20,7,0,35.1434776,-85.26316449,35.14526803,-85.25765611
7791,1560,-85.26171135,35.14046127,20,7,0,,,35.1389531,-85.26098478
7792,1560,-85.26683666,35.14228391,20,7,0,,,35.14168706,-85.26867274
7793,1560,-85.26461775,35.14649396,20,7,0,,,35.14800214,-85.26534438
7794,1560,-85.25949224,35.14467122,20,7,0,,,35.14526803,-85.25765611
7795,1561,-85.25436696,35.14284827,21,7,0,35.14165481,-85.2580392,35.14344501,-85.25253084
7796,1561,-85.25658628,35.13863842,21,7,0,,,35.13713023,-85.25585981
7797,1561,-85.26171135,35.14046127,21,7,0,,,35.1398645,-85.26354742
7798,1561,-85.25949224,35.14467122,21,7,0,,,35.14617943,-85.26021876
7799,1561,-85.25436696,35.14284827,21,7,0,,,35.14344501,-85.25253084
7800,1562,-85.24924192,35.14102512,22,7,0,35.13983181,-85.25291414,35.14162177,-85.24740581
7801,1562,-85.25146144,35.13681536,22,7,0,,,35.13530714,-85.25073509
7802,1562,-85.25658628,35.13863842,22,7,0,,,35.13804173,-85.25842234
7803,1562,-85.25436696,35.14284827,22,7,0,,,35.14435651,-85.25509337
7804,1562,-85.24924192,35.14102512,22,7,0,,,35.14162177,-85.24740581
7805,1563,-85.24411711,35.13920175,23,7,1,35.1380086,-85.24778932,35.13979832,-85.24228101
7806,1563,-85.24633684,35.13499209,23,7,1,,,35.13348384,-85.2456106
7807,1563,-85.25146144,35.13681536,23,7,1,,,35.13621875,-85.2532975
7808,1563,-85.24924192,35.14102512,23,7,1,,,35.14253338,-85.24996822
7809,1563,-85.24411711,35.13920175,23,7,1,,,35.13979832,-85.24228101
7810,1564,-85.23899255,35.13737817,24,7,0,35.13618517,-85.24266474,35.13797467,-85.23715645
7811,1564,-85.24121248,35.13316861,24,7,0,,,35.13166033,-85.24048635
7812,1564,-85.24633684,35.13499209,24,7,0,,,35.13439555,-85.24817289
7813,1564,-85.24411711,35.13920175,24,7,0,,,35.14071004,-85.2448433
7814,1564,-85.23899255,35.13737817,24,7,0,,,35.13797467,-85.23715645
7815,1565,-85.23386821,35.13555438,25,7,0,35.13436154,-85.23754039,35.1361508,-85.23203212
7816,1565,-85.23608835,35.13134492,25,7,0,,,35.12983661,-85.23536233
7817,1565,-85.24121248,35.13316861,25,7,0,,,35.13257215,-85.24304852
7818,1565,-85.23899255,35.13737817,25,7,0,,,35.13888649,-85.23971862
7819,1565,-85.23386821,35.13555438,25,7,0,,,35.1361508,-85.23203212
7820,1566,-85.22874412,35.13373038,26,7,0,35.13253769,-85.23241628,35.13432672,-85.22690804
7821,1566,-85.23096446,35.12952102,26,7,0,,,35.12801268,-85.23023855
7822,1566,-85.23608835,35.13134492,26,7,0,,,35.13074854,-85.23792439
7823,1566,-85.23386821,35.13555438,26,7,0,,,35.13706272,-85.23459418
7824,1566,-85.22874412,35.13373038,26,7,0,,,35.13432672,-85.22690804
7825,1567,-85.22362026,35.13190617,27,7,0,35.13071363,-85.22729241,35.13250243,-85.22178418
7826,1567,-85.22584081,35.12769691,27,7,0,,,35.12618854,-85.22511501
7827,1567,-85.23096446,35.12952102,27,7,0,,,35.12892471,-85.23280049
7828,1567,-85.22874412,35.13373038,27,7,0,,,35.13523875,-85.22946997
7829,1567,-85.22362026,35.13190617,27,7,0,,,35.13250243,-85.22178418
7830,1568,-85.21849663,35.13008175,28,7,0,35.12888937,-85.22216877,35.13067793,-85.21666057
7831,1568,-85.22071739,35.12587258,28,7,0,,,35.12436419,-85.21999171
7832,1568,-85.22584081,35.12769691,28,7,0,,,35.12710068,-85.22767683
7833,1568,-85.22362026,35.13190617,28,7,0,,,35.13341457,-85.224346
7834,1568,-85.21849663,35.13008175,28,7,0,,,35.13067793,-85.21666057
7835,1569,-85.21337325,35.12825711,29,7,0,35.12706489,-85.21704537,35.12885323,-85.21153719
7836,1569,-85.21559421,35.12404805,29,7,0,,,35.12253963,-85.21486863
7837,1569,-85.22071739,35.12587258,29,7,0,,,35.12527643,-85.22255341
7838,1569,-85.21849663,35.13008175,29,7,0,,,35.13159017,-85.21922227
7839,1569,-85.21337325,35.12825711,29,7,0,,,35.12885323,-85.21153719
7840,1570,-85.2082501,35.12643227,30,7,0,35.1252402,-85.2119222,35.12702831,-85.20641405
7841,1570,-85.21047127,35.12222331,30,7,0,,,35.12071486,-85.2097458
7842,1570,-85.21559421,35.12404805,30,7,0,,,35.12345198,-85.21743022
7843,1570,-85.21337325,35.12825711,30,7,0,,,35.12976557,-85.21409877
7844,1570,-85.2082501,35.12643227,30,7,0,,,35.12702831,-85.20641405
7845,1571,-85.20312718,35.12460722,31,7,0,35.1234153,-85.20679927,35.12520318,-85.20129114
7846,1571,-85.20534856,35.12039836,31,7,0,,,35.11888988,-85.2046232
7847,1571,-85.21047127,35.12222331,31,7,0,,,35.12162731,-85.21230726
