,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP
0,75.15843460067617,0.2333302880964413,75.09184423218221,0.22935960988746365,0.763677433484001,8176.0,0.0,2712.0,0.0
1,75.15843460067617,0.1837910063441736,75.09184423218221,0.1836003916864743,0.8185400539170693,8176.0,0.0,2712.0,0.0
2,83.24345728117423,0.14145313740325735,83.40374724467303,0.1403691960837745,0.8463617658922582,7745.0,431.0,1376.0,1336.0
3,83.79846480600806,0.12253649906561224,83.64254224834681,0.12215978278221486,0.8479672319588522,7853.0,323.0,1458.0,1254.0
4,83.62527014326568,0.12058057707216027,83.58743570903748,0.12049558448316088,0.8499384304879669,7817.0,359.0,1428.0,1284.0
5,84.82975704513697,0.11577396878576847,84.48750918442322,0.11644068296596305,0.8615925081467306,7845.0,331.0,1358.0,1354.0
6,84.96752694656801,0.1114675691650589,84.74467303453343,0.11267603404555195,0.8653301545569736,7801.0,375.0,1286.0,1426.0
7,85.19188999261614,0.10947647044886397,84.90999265246144,0.11077185801233294,0.8693891557562533,7839.0,337.0,1306.0,1406.0
8,85.34540441814687,0.1081320605716355,85.04775900073477,0.10948636097749023,0.8706039945678841,7856.0,320.0,1308.0,1404.0
9,85.40051144024821,0.10755031725145764,85.0661278471712,0.10892492560991396,0.8715933596207909,7857.0,319.0,1307.0,1405.0
10,85.5973234973867,0.1067007924609528,85.43350477590008,0.10800675178831423,0.8742868228255661,7839.0,337.0,1249.0,1463.0
11,86.66404191257212,0.10339380049858764,86.6642174871418,0.10429613828885337,0.8842333522389437,7904.0,272.0,1180.0,1532.0
12,86.82936407102184,0.10034469674230026,86.7927994121969,0.10100656565522376,0.8857041744598191,7877.0,299.0,1139.0,1573.0
13,86.95925785387344,0.09959512603634826,86.93056576047024,0.10012282864434284,0.8871653228890659,7882.0,294.0,1129.0,1583.0
14,86.9356430766386,0.0987956322568896,86.81116825863336,0.09932321122820807,0.8883031772610244,7902.0,274.0,1162.0,1550.0
15,86.93564365614449,0.09817623996685393,86.88464364437914,0.09879122431242154,0.8887169178875939,7920.0,256.0,1172.0,1540.0
16,86.94745097144386,0.09775473225974453,86.81116825863336,0.09841592451053424,0.8896188805713824,7923.0,253.0,1183.0,1529.0
17,87.211178685708,0.09738904785132448,86.9581190301249,0.09804648569320423,0.8901823958459611,7883.0,293.0,1127.0,1585.0
18,87.23873251935812,0.09703382649361716,86.93056576047024,0.09778358569270056,0.8911713775551438,7813.0,363.0,1060.0,1652.0
19,87.33320171686168,0.0967313929441397,86.98567229977957,0.09753102291641404,0.8911097494140704,7882.0,294.0,1123.0,1589.0
20,87.3725636060302,0.0964508938907312,87.15099191770756,0.0973057081239052,0.8918409211939109,7822.0,354.0,1045.0,1667.0
21,87.19149727540747,0.09621073669685168,87.02240999265246,0.09708101453786612,0.8921293084226659,7898.0,278.0,1135.0,1577.0
22,87.17181686223246,0.09607718070503538,86.93975018368847,0.09693289514369784,0.8924107278154928,7906.0,270.0,1152.0,1560.0
23,87.37650074913755,0.0957706831016118,87.15099191770756,0.09671003062619916,0.8929138100794325,7889.0,287.0,1112.0,1600.0
24,87.48277790713934,0.0955301242531373,87.29794268919912,0.09645348280610576,0.8936291294687956,7888.0,288.0,1095.0,1617.0
25,87.54969441475443,0.09520342754444984,87.29794268919912,0.09614843682216273,0.8942734175210272,7855.0,321.0,1062.0,1650.0
26,87.44735129821302,0.09489940827832176,87.21528288023512,0.09593749163879994,0.8942092187220385,7885.0,291.0,1101.0,1611.0
27,87.42767205812687,0.09481334116407936,87.23365172667157,0.09575174390044244,0.8947520108858794,7906.0,270.0,1120.0,1592.0
28,87.47097076780331,0.09446192307810844,87.16936076414402,0.0955861172447916,0.8950189534157098,7887.0,289.0,1108.0,1604.0
29,87.49065235406721,0.0943159980501566,87.30712711241733,0.09538856345981864,0.8960884147573442,7900.0,276.0,1106.0,1606.0
30,87.49852427885399,0.0938743575629528,87.32549595885378,0.09505124972650096,0.8964682407391372,7908.0,268.0,1112.0,1600.0
31,87.58511952799246,0.09370809415246767,87.37141807494491,0.09488571575499072,0.8965571088342599,7905.0,271.0,1104.0,1608.0
32,87.59693068515783,0.0935007147825254,87.4540778839089,0.09473318835057364,0.8970227812606434,7883.0,293.0,1073.0,1639.0
33,87.4867154678663,0.09340307379852626,87.4540778839089,0.09456761630838126,0.8974756003974508,7910.0,266.0,1100.0,1612.0
34,87.60480260994463,0.09317340080528264,87.49081557678178,0.09448107951191503,0.8977049977919401,7878.0,298.0,1064.0,1648.0
35,87.61660974928066,0.09306815496082477,87.41734019103598,0.0943567034116226,0.8980095982052657,7895.0,281.0,1089.0,1623.0
36,87.65203695178994,0.09281633412168776,87.49081557678178,0.094223957294521,0.8982877028023598,7876.0,300.0,1062.0,1650.0
37,87.65597274584508,0.09277085175245824,87.53673769287289,0.0940624827139179,0.8985958660573576,7892.0,284.0,1073.0,1639.0
38,87.60480260994463,0.09271070179326946,87.53673769287289,0.09398946984452766,0.8984744813945702,7921.0,255.0,1102.0,1610.0
39,87.6717184430336,0.09253725323187964,87.50918442321822,0.09393602162364002,0.8988592006462545,7907.0,269.0,1091.0,1621.0
40,87.63629233267004,0.09236444979316152,87.50918442321822,0.09381521398932514,0.8989738429694221,7929.0,247.0,1113.0,1599.0
41,87.6599098080093,0.09226430153635476,87.53673769287289,0.09367063861666508,0.8995726935155199,7930.0,246.0,1111.0,1601.0
42,87.65991030657206,0.09213050120871936,87.47244673034533,0.093560311037577,0.8994715809708536,7882.0,294.0,1070.0,1642.0
