Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure,roundAbout
34.98311234,-85.39454579,20,5,11,2.0,2.0,16.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,55.49,0.85,0.013000000000000001,60.16,3.18,10.0,0,1025.5,0
34.98311234,-85.39454579,23,5,11,2.0,2.0,16.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.69,0.86,0.006999999999999999,59.92,4.64,10.0,0,1024.8,0
34.98735687,-85.38719404,0,6,14,1.0,3.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.52,41.98,0.83,0.0004,46.95,2.22,10.0,0,1025.3,0
34.98735687,-85.38719404,4,6,14,1.0,3.0,19.0,0,1,1,0,0,0,0,0,1578906000,1,0.83,42.73,0.87,0.0011,46.29,1.63,10.0,0,1026.0,0
34.98735687,-85.38719404,8,6,14,1.0,3.0,19.0,0,1,2,0,0,0,0,0,1578920400,1,0.97,41.91,0.89,0.0012,44.97,1.65,10.0,0,1027.8,0
34.98735687,-85.38719404,12,6,14,1.0,3.0,19.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,52.92,0.83,0.0,58.13,2.21,10.0,3,1027.6,0
34.98735687,-85.38719404,16,6,14,1.0,3.0,19.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,56.19,0.75,0.0,64.18,3.28,10.0,1,1025.2,0
34.98735687,-85.38719404,20,6,14,1.0,3.0,19.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,55.48,0.84,0.0129,60.18,3.18,10.0,0,1025.5,0
34.98735687,-85.38719404,23,6,14,1.0,3.0,19.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.65,0.86,0.0069,59.92,4.64,10.0,0,1024.8,0
34.98311234,-85.36513881,0,7,0,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.52,41.55,0.81,0.0003,47.22,2.12,10.0,0,1025.4,0
34.98311234,-85.36513881,4,7,0,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578906000,1,0.82,43.33,0.89,0.0011,46.38,1.66,10.0,0,1026.1,0
34.98311234,-85.36513881,8,7,0,2.0,2.0,19.0,0,1,2,0,0,0,0,0,1578920400,1,0.97,42.68,0.92,0.0013,44.96,1.64,10.0,0,1027.9,0
34.98311234,-85.36513881,12,7,0,2.0,2.0,19.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,51.68,0.85,0.0,56.03,2.25,10.0,3,1027.5,0
34.98311234,-85.36513881,16,7,0,2.0,2.0,19.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,54.68,0.81,0.0,60.56,3.34,10.0,1,1025.1,0
34.98311234,-85.36513881,20,7,0,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,54.77,0.91,0.0132,57.5,3.19,10.0,0,1025.5,0
34.98311234,-85.36513881,23,7,0,2.0,2.0,19.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.02,0.91,0.0065,57.72,4.74,10.0,0,1024.9,0
34.98735687,-85.35778706,0,8,3,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.52,41.35,0.8,0.0003,47.06,2.09,10.0,0,1025.4,0
34.98735687,-85.35778706,4,8,3,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578906000,1,0.82,43.24,0.89,0.0011,46.23,1.66,10.0,0,1026.1,0
34.98735687,-85.35778706,8,8,3,2.0,2.0,19.0,0,1,2,0,0,0,0,0,1578920400,1,0.97,42.53,0.92,0.0012,44.78,1.63,10.0,0,1027.9,0
34.98735687,-85.35778706,12,8,3,2.0,2.0,19.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,51.5,0.85,0.0,55.8,2.25,10.0,3,1027.3,0
34.98735687,-85.35778706,16,8,3,2.0,2.0,19.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,54.24,0.81,0.0,60.11,3.35,10.0,1,1025.2,0
34.98735687,-85.35778706,20,8,3,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,54.28,0.91,0.013000000000000001,56.92,3.19,10.0,0,1025.5,0
34.98735687,-85.35778706,23,8,3,2.0,2.0,19.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,54.45,0.91,0.0063,57.11,4.74,10.0,0,1024.9,0
34.98311234,-85.35043532,0,9,5,2.0,3.0,17.0,0,1,1,0,0,0,0,0,1578891600,1,0.51,41.48,0.8,0.0003,47.2,2.05,10.0,0,1025.3,0
34.98311234,-85.35043532,4,9,5,2.0,3.0,17.0,0,1,1,0,0,0,0,0,1578906000,1,0.81,42.87,0.87,0.0011,46.56,1.69,10.0,0,1026.2,0
34.98311234,-85.35043532,8,9,5,2.0,3.0,17.0,0,1,2,0,0,0,0,0,1578920400,1,0.98,43.04,0.91,0.0012,45.42,1.46,10.0,0,1027.8,0
34.98311234,-85.35043532,12,9,5,2.0,3.0,17.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,51.72,0.85,0.0,56.05,2.26,10.0,3,1027.5,0
34.98311234,-85.35043532,16,9,5,2.0,3.0,17.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,54.78,0.81,0.0,60.75,3.37,10.0,1,1025.1,0
34.98311234,-85.35043532,20,9,5,2.0,3.0,17.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,54.62,0.91,0.0131,57.38,3.19,10.0,0,1025.5,0
34.98311234,-85.35043532,23,9,5,2.0,3.0,17.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.12,0.91,0.0062,57.84,4.79,10.0,0,1024.9,0
34.98735687,-85.34308357,0,10,30,2.0,3.0,16.0,0,1,1,0,0,0,0,0,1578891600,1,0.52,41.71,0.81,0.0003,47.18,2.02,10.0,0,1025.3,0
34.98735687,-85.34308357,4,10,30,2.0,3.0,16.0,0,1,1,0,0,0,0,0,1578906000,1,0.81,43.32,0.89,0.0011,46.25,1.67,10.0,0,1026.1,0
34.98735687,-85.34308357,8,10,30,2.0,3.0,16.0,0,1,2,0,0,0,0,0,1578920400,1,0.98,43.01,0.92,0.0012,45.19,1.62,10.0,0,1027.9,0
34.98735687,-85.34308357,12,10,30,2.0,3.0,16.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,52.14,0.85,0.0,56.65,2.26,10.0,3,1027.5,0
34.98735687,-85.34308357,16,10,30,2.0,3.0,16.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,54.8,0.78,0.0,61.58,3.38,10.0,1,1025.0,0
34.98735687,-85.34308357,20,10,30,2.0,3.0,16.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,54.94,0.88,0.0131,58.48,3.2,10.0,0,1025.5,0
34.98735687,-85.34308357,23,10,30,2.0,3.0,16.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.84,0.9,0.006,58.77,4.79,10.0,0,1024.9,0
34.98311234,-85.33573183,0,11,6,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.51,41.97,0.83,0.0003,47.02,1.99,10.0,0,1025.3,0
34.98311234,-85.33573183,4,11,6,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578906000,1,0.81,42.78,0.87,0.0011,46.5,1.69,10.0,0,1026.2,0
34.98311234,-85.33573183,8,11,6,2.0,2.0,19.0,0,1,2,0,0,0,0,0,1578920400,1,0.98,42.96,0.9,0.0012,45.78,1.45,10.0,0,1027.7,0
34.98311234,-85.33573183,12,11,6,2.0,2.0,19.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,52.87,0.83,0.0,57.9,2.28,10.0,3,1027.6,0
34.98311234,-85.33573183,16,11,6,2.0,2.0,19.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,56.0,0.76,0.0,63.67,3.4,10.0,1,1025.2,0
34.98311234,-85.33573183,20,11,6,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,55.57,0.86,0.013000000000000001,59.79,3.2,10.0,0,1025.5,0
34.98311234,-85.33573183,23,11,6,2.0,2.0,19.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.93,0.87,0.0058,59.72,4.84,10.0,0,1024.9,0
34.98735687,-85.32838008,0,12,37,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.52,41.91,0.83,0.0003,46.92,1.96,10.0,0,1025.3,0
34.98735687,-85.32838008,4,12,37,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578906000,1,0.81,42.98,0.89,0.001,46.12,1.68,10.0,0,1026.0,0
34.98735687,-85.32838008,8,12,37,2.0,2.0,19.0,0,1,2,0,0,0,0,0,1578920400,1,0.98,42.21,0.9,0.0012,45.0,1.61,10.0,0,1027.9,0
34.98735687,-85.32838008,12,12,37,2.0,2.0,19.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,53.03,0.83,0.0,58.06,2.28,10.0,3,1027.6,0
34.98735687,-85.32838008,16,12,37,2.0,2.0,19.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,56.12,0.76,0.0,63.93,3.4,10.0,1,1025.2,0
34.98735687,-85.32838008,20,12,37,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,55.46,0.85,0.0128,59.93,3.2,10.0,0,1025.5,0
34.98735687,-85.32838008,23,12,37,2.0,2.0,19.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.86,0.87,0.0056,59.79,4.84,10.0,0,1024.9,0
34.98311234,-85.32102834,0,13,5,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.51,41.9,0.82,0.0003,46.96,1.93,10.0,0,1025.3,0
34.98311234,-85.32102834,4,13,5,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578906000,1,0.8,42.37,0.86,0.001,46.41,1.7,10.0,0,1026.1,0
34.98311234,-85.32102834,8,13,5,2.0,2.0,19.0,0,1,2,0,0,0,0,0,1578920400,1,0.98,42.72,0.89,0.0012,45.78,1.44,10.0,0,1027.7,0
34.98311234,-85.32102834,12,13,5,2.0,2.0,19.0,0,1,3,0,0,0,0,0,1578934800,1,0.68,53.17,0.83,0.0,58.26,2.3,10.0,3,1027.6,0
34.98311234,-85.32102834,16,13,5,2.0,2.0,19.0,0,1,4,0,0,0,0,0,1578949200,1,0.98,56.2,0.75,0.0,64.2,3.42,10.0,1,1025.2,0
34.98311234,-85.32102834,20,13,5,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578963600,1,0.98,55.48,0.85,0.0128,60.1,3.2,10.0,0,1025.6,0
34.98311234,-85.32102834,23,13,5,2.0,2.0,19.0,0,1,1,0,0,0,1,0,1578974400,1,0.99,55.74,0.86,0.0054,59.91,4.88,10.0,0,1024.9,0
34.98735687,-85.31367659,0,14,17,2.0,2.0,19.0,0,1,1,0,0,0,0,0,1578891600,1,0.51,41.85,0.82,0.0003,46.92,1.89,10.0,0,1025.3,0
