Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
10/17/2018 10:50:31 PM,10/17/2018 11:18:02 PM,2300 AMNICOLA HWY,CHATTANOOGA,35070619,85270065,ACC1-MVC Injuries
10/17/2018 10:50:31 PM,10/17/2018 11:55:34 PM,2500 Amnicola Hwy,CHATTANOOGA,35072228,85269181,ACC1-MVC Injuries
10/17/2018 10:50:08 PM,10/18/2018 1:22:13 AM,2100 AMNICOLA HWY,CHATTANOOGA,35063238,85272215,ACC1-MVC Injuries
10/17/2018 10:46:53 PM,10/17/2018 11:37:20 PM,Lee Hwy / Shallowford Rd,CHATTANOOGA,35044885,85162464,ACC2-MVC No Injuries
10/17/2018 9:01:15 PM,10/17/2018 9:03:21 PM,130 Highway 27 Sb,CHATTANOOGA,35049113,85314339,ACC2-MVC No Injuries
10/17/2018 8:54:52 PM,10/17/2018 9:40:04 PM,100 Highway 27 Sb,CHATTANOOGA,35044153,85314203,ACC2-MVC No Injuries
10/17/2018 8:40:54 PM,10/17/2018 9:07:10 PM,3956 BRAINERD RD,CHATTANOOGA,35018906,85240494,ACC2-MVC No Injuries
10/17/2018 7:40:03 PM,10/17/2018 8:09:38 PM,5596 Little Debbie Pkwy,COLLEGEDALE,35083222,85063615,ACC2-MVC No Injuries
10/17/2018 7:27:27 PM,10/17/2018 7:47:02 PM,113 Johnson St,CHATTANOOGA,35035597,85303632,ACC2-MVC No Injuries
10/17/2018 7:19:39 PM,10/17/2018 7:44:56 PM,409 N Seminole Dr,CHATTANOOGA,35034900,85252569,ACC1-MVC Injuries
10/17/2018 7:19:38 PM,10/17/2018 7:35:39 PM,409 N Seminole Dr,CHATTANOOGA,35034900,85252569,ACC1-MVC Injuries
10/17/2018 6:39:18 PM,10/17/2018 7:14:07 PM,6300 Ringgold Rd,EAST RIDGE,34989308,85211731,ACC2-MVC No Injuries
10/17/2018 6:18:59 PM,10/17/2018 11:20:22 PM,400 N SEMINOLE DR,CHATTANOOGA,35033893,85252539,ACC1-MVC Injuries
10/17/2018 6:13:29 PM,10/17/2018 6:15:49 PM,W Main St / Broad St,CHATTANOOGA,35037599,85311252,ACCDEL-MVC Delayed
10/17/2018 6:05:26 PM,10/17/2018 7:02:48 PM,900 Interstate 75 Nb,CHATTANOOGA,35073807,85111622,ACC2-MVC No Injuries
10/17/2018 5:51:38 PM,10/17/2018 6:34:00 PM,MOSES RD / FRIENDSHIP LN,HAMILTON COUNTY,35184951,85227557,ACC2-MVC No Injuries
10/17/2018 5:30:49 PM,10/17/2018 6:02:42 PM,LONG ST / W 20TH ST,CHATTANOOGA,35032238,85310575,ACC2-MVC No Injuries
10/17/2018 5:28:55 PM,10/17/2018 5:47:12 PM,3550 Cummings Hwy,CHATTANOOGA,35015591,85376588,ACC2-MVC No Injuries
10/17/2018 5:21:01 PM,10/17/2018 6:28:53 PM,9300 Daisy Dallas Rd,SODDY DAISY,35230308,85194426,ACC2-MVC No Injuries
10/17/2018 5:20:14 PM,10/17/2018 5:53:08 PM,6003 Shallowford Rd,CHATTANOOGA,35054355,85188205,ACC2-MVC No Injuries
10/17/2018 5:17:20 PM,10/17/2018 5:59:06 PM,Laguana Dr / Bonny Oaks Dr,CHATTANOOGA,35074100,85178727,ACC2-MVC No Injuries
10/17/2018 5:17:02 PM,10/17/2018 5:26:47 PM,6200 - 6217 Bonny Oaks Dr,CHATTANOOGA,35073967,85181319,ACC2-MVC No Injuries
