Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
7/15/2018 9:41:54 PM,7/15/2018 10:24:38 PM,3823 Hamill Rd,CHATTANOOGA,35128897,85198479,ACCDEL-MVC Delayed
7/15/2018 9:35:53 PM,7/15/2018 10:02:06 PM,3604 Tennessee Ave,CHATTANOOGA,35014110,85324562,ACC2-MVC No Injuries
7/15/2018 7:55:11 PM,7/15/2018 8:00:03 PM,400 Interstate 75 Nb,CHATTANOOGA,35024320,85174239,ACC2-MVC No Injuries
7/15/2018 7:55:04 PM,7/15/2018 8:18:05 PM,400 Interstate 75 Nb,CHATTANOOGA,35024320,85174239,ACC1-MVC Injuries
7/15/2018 7:55:04 PM,7/15/2018 8:29:12 PM,400 Interstate 75 Nb,CHATTANOOGA,35024320,85174239,ACC1-MVC Injuries
7/15/2018 7:54:42 PM,7/15/2018 7:59:24 PM,400 INTERSTATE 75 NB,CHATTANOOGA,35024320,85174239,ACC3-MVC Unknown Injuries
7/15/2018 7:54:26 PM,7/15/2018 10:32:07 PM,400 Interstate 75 Nb,CHATTANOOGA,35024320,85174239,ACC1-MVC Injuries
7/15/2018 6:45:18 PM,7/15/2018 7:15:53 PM,340 - 799 Montlake Rd,HAMILTON COUNTY,35234968,85232254,ACC1-MVC Injuries
7/15/2018 6:45:18 PM,7/15/2018 7:22:56 PM,740 MONTLAKE RD,HAMILTON COUNTY,35237122,85223951,ACC1-MVC Injuries
7/15/2018 6:44:45 PM,7/15/2018 7:40:50 PM,740 MONTLAKE RD,HAMILTON COUNTY,35237122,85223951,ACC1-MVC Injuries
7/15/2018 6:05:42 PM,7/15/2018 8:06:15 PM,6046 DAYTON BLVD,CHATTANOOGA,35169443,85256948,ACC2-MVC No Injuries
7/15/2018 5:24:00 PM,7/15/2018 5:47:38 PM,271 Northgate Mall Dr,CHATTANOOGA,35130367,85239250,ACC2-MVC No Injuries
7/15/2018 5:17:34 PM,7/15/2018 6:13:43 PM,Lee Highway / Edgmon Rd,COLLEGEDALE,35079278,85033966,ACC2-MVC No Injuries
7/15/2018 5:07:25 PM,7/15/2018 6:24:13 PM,7800 STANDIFER GAP RD,HAMILTON COUNTY,35044349,85128355,ACC2-MVC No Injuries
7/15/2018 5:02:34 PM,7/15/2018 6:00:00 PM,700-799 MOUNTAIN CREEK RD,CHATTANOOGA,35098579,85327822,ACC2-MVC No Injuries
