,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP
0,70.8365272254159,0.20982029799643406,71.2065881651513,0.2060381145723016,0.776774293080491,10709.0,2907.0,4820.0,8400.0
1,71.00421604912779,0.1947845959111448,71.44880011924279,0.18927077453914976,0.7795281142279884,10226.0,3390.0,4272.0,8948.0
2,71.20224834630754,0.1936171474720612,71.5866746161872,0.1881200177813537,0.7825058532188705,9998.0,3618.0,4007.0,9213.0
3,71.36674296799573,0.1924196929156884,71.82888657027873,0.18671498551485824,0.7865410687524332,10404.0,3212.0,4348.0,8872.0
4,71.87939234219766,0.19085420041521006,72.12699359069906,0.18503339381036105,0.7914769638949284,10944.0,2672.0,4808.0,8412.0
5,72.2642772230012,0.18863979457551114,72.58905947235056,0.1827384501045352,0.7977928459399016,10904.0,2712.0,4644.0,8576.0
6,72.4399519001705,0.18703493096520246,72.74556565807123,0.18116130069615266,0.7993837120518532,10650.0,2966.0,4348.0,8872.0
7,72.63798428797182,0.18599298038222734,73.00640930093904,0.180030140693209,0.8027641348346966,10768.0,2848.0,4396.0,8824.0
8,72.94940657964136,0.18455867064371784,73.38276941421971,0.1784657924192701,0.8065517468769501,11175.0,2441.0,4702.0,8518.0
9,72.78011967826045,0.18358755751073347,73.35295871217767,0.17756904324022446,0.8072684828607797,11313.0,2303.0,4848.0,8372.0
10,73.07078047427422,0.1832705336220541,73.43493814279327,0.17722470105739258,0.8079847105212166,11111.0,2505.0,4624.0,8596.0
11,73.20812558920673,0.1827494603252254,73.47220152034579,0.17675415278440346,0.8093149872846931,10888.0,2728.0,4391.0,8829.0
12,73.29915665309977,0.18218316949510266,73.59517066626921,0.17634412928879115,0.8102760684902164,10858.0,2758.0,4328.0,8892.0
13,73.10591577432676,0.18181710268669588,73.62498136831124,0.17579250888279013,0.8115775541500523,11274.0,2342.0,4736.0,8484.0
14,73.55468274838199,0.1808899575605856,73.81875093158445,0.17491032144890545,0.8143185033270459,11148.0,2468.0,4558.0,8662.0
15,73.52274230755013,0.18010807786771316,73.83365628260546,0.17414097021135228,0.8148271850461591,10664.0,2952.0,4070.0,9150.0
16,73.74632719362074,0.1794526332156905,74.07959457445224,0.1735905053258992,0.8167534195997945,10838.0,2778.0,4178.0,9042.0
17,73.92838967932404,0.1785565650086922,74.0982262632285,0.17285257918213093,0.8186957399499744,11020.0,2596.0,4355.0,8865.0
18,73.92998598720645,0.17793528149801335,74.16157400506782,0.17223556846726065,0.8193755433227083,11023.0,2593.0,4341.0,8879.0
19,74.00664284461696,0.17746568131756055,74.24727977343865,0.1718257201271942,0.8202968058624631,10809.0,2807.0,4104.0,9116.0
20,74.09128677544959,0.17699220213970784,74.26963779997018,0.17145911619573992,0.8209680482915002,11067.0,2549.0,4356.0,8864.0
21,74.05615169167045,0.17668640274395378,74.20629005813086,0.1712064872170196,0.8212866503943923,10834.0,2782.0,4140.0,9080.0
22,74.1583619497586,0.17650783561671082,74.34416455507528,0.17100370214263844,0.8219992364593759,11048.0,2568.0,4317.0,8903.0
23,74.05934539108695,0.17625187785486476,74.41123863466986,0.17076117555518916,0.8223136914211456,11197.0,2419.0,4448.0,8772.0
24,74.15995942582202,0.1759963516660662,74.2845431509912,0.17063751690296633,0.8225902137913748,10902.0,2714.0,4187.0,9033.0
25,74.2366165840353,0.17598435578806465,74.41869131018034,0.17062193364213027,0.8228993994117448,11052.0,2564.0,4301.0,8919.0
26,74.20787039472634,0.1758652343829074,74.39260694589358,0.1704569592492238,0.8232116960823878,11093.0,2523.0,4349.0,8871.0
27,74.2621694569754,0.1756528465458412,74.35906990609628,0.17029064158810728,0.8235669391354125,11017.0,2599.0,4282.0,8938.0
28,74.34042435093251,0.17527530657399035,74.45222834997763,0.16996873684221914,0.8244078726904897,11035.0,2581.0,4275.0,8945.0
29,74.31966229479356,0.17501989022240272,74.56401848263526,0.1697532273867059,0.8248375670653552,11119.0,2497.0,4329.0,8891.0
30,74.35319942655548,0.17481407115754,74.50439707855121,0.16961274843881194,0.8251948989664202,11047.0,2569.0,4273.0,8947.0
31,74.3084841370354,0.17457153713245002,74.38142793262782,0.16934848976515104,0.8253288713465159,10802.0,2814.0,4061.0,9159.0
32,74.42346998782273,0.17442592016810346,74.62363988671933,0.16924340641785854,0.8256214322919907,11071.0,2545.0,4265.0,8955.0
33,74.36278224737687,0.17428372050377905,74.7242510061112,0.16906208601953898,0.8264852320665729,11348.0,2268.0,4515.0,8705.0
34,74.4602021973633,0.1740315505314213,74.64599791325088,0.16886602603793816,0.8265583973024526,11084.0,2532.0,4272.0,8948.0
35,74.56241268010163,0.17378100517294578,74.79132508570578,0.16880322519483634,0.8270051274552853,10774.0,2842.0,3923.0,9297.0
36,74.52248682064375,0.17368372114366906,74.76524072141898,0.16855830719226128,0.8273421153097451,10825.0,2791.0,3981.0,9239.0
37,74.52408186743905,0.17340938189481514,74.71307199284544,0.1683919362088231,0.8275941992689921,11111.0,2505.0,4281.0,8939.0
38,74.6614286699133,0.1734364166401514,74.82486212550306,0.1683477698245739,0.8278902295910657,11159.0,2457.0,4299.0,8921.0
39,74.72850488675148,0.17320969863434804,74.8621255030556,0.16817883733645544,0.828056548560828,11038.0,2578.0,4168.0,9052.0
40,74.61191948931139,0.17301757059361442,74.79877776121627,0.16808970619225452,0.8280373961575862,11071.0,2545.0,4218.0,9002.0
41,74.61990551791978,0.17279435684015854,74.98509464897897,0.16788770889417445,0.8291387773972421,11364.0,2252.0,4461.0,8759.0
42,74.76842966864997,0.1727450731306434,74.98509464897897,0.16781214742471107,0.8292273812201005,11204.0,2412.0,4301.0,8919.0
43,74.74287799892106,0.1725241626078941,74.94410493367118,0.16764651170439926,0.8292957632161859,11275.0,2341.0,4383.0,8837.0
44,74.6278906273662,0.1722880068843249,74.85094648978983,0.16743119253684932,0.8290051994538773,10780.0,2836.0,3913.0,9307.0
45,74.68698074172795,0.17223206399975602,74.91056789387392,0.16739609489814938,0.8296356121258074,10888.0,2728.0,4005.0,9215.0
46,74.99201428894797,0.1720383019936385,75.11924280816812,0.16719272374157354,0.8301576102511773,11154.0,2462.0,4215.0,9005.0
47,74.89459567391677,0.17182177277465932,75.05589506632882,0.16699504122077125,0.8305176254331026,11019.0,2597.0,4097.0,9123.0
48,75.01916420312011,0.1715711194500381,75.14160083469966,0.1667525895337286,0.830966574986978,11094.0,2522.0,4149.0,9071.0
49,75.075060008083,0.17142715299362252,75.18259055000746,0.16659476290768876,0.831350673031283,11173.0,2443.0,4217.0,9003.0
