,Train ACC,Train Loss,Test ACC,Test Loss,AUC,TN,FP,FN,TP
Test 1,82.2372247671666,0.134627496487509,81.994343772913,0.13586808967111,0.812745064338461,33052,1505,7090,6088
Test 2,82.3386798043765,0.134759235723718,81.9754896826228,0.136747380681454,0.809289212459042,32776,1714,6890,6355
Test 3,82.2372245478079,0.134701452023112,81.8330365559862,0.137945601048159,0.808968849567006,32912,1397,7275,6151
Test 4,81.8691112516423,0.13848407894028,81.7282916099298,0.139919942166261,0.797068491814793,33048,1400,7322,5965
Test 5,81.9175947874201,0.137540865762464,81.3323557138368,0.140820430848504,0.801051423094409,32801,1551,7360,6023
