,CutGF_50-50,CutGF_75-25,CutGF_Test,CutRan_50-50,CutRan_75-25,CutRan_Test,FullGF_50-50,FullGF_75-25,FullGF_Test,FullRan_50-50,FullRan_75-25,FullRan_Test,Spatial_50-50,Spatial_75-25,Spatial_Test,Temporal_50-50,Temporal_75-25,Temporal_Test,Grid_Block
81,0.0394403338432312,0.0018561269555773055,0.037014233214514594,0.16446915694645475,0.01214673263686044,4.0552445820399695e-05,0.37316381505557467,0.08788554583277021,0.013036400079727173,0.28716286591121126,0.14816209248134068,0.010342138154166085,0.7684889776366097,0.020928825650896345,0.0019775032997131348,0.014396109751292638,0.00692004816872733,0.007863381079265049,85
82,0.5698876423495156,0.0018121131828853063,0.42688712051936556,0.2631271651812962,0.012917109898158483,1.004338264465332e-05,0.48901419980185373,0.21962893860680716,0.13806081243923735,0.27065536805561613,0.14961913228034973,0.04150549003056118,0.9805981261389597,0.17139453973088947,0.002624260527747018,0.040758797100612094,0.006926391805921282,0.007895112037658691,86
83,0.3106705290930612,0.002772522824151175,0.5344530727182115,0.14423335450036187,0.008830619709832328,9.115253176007953e-06,0.4798164537974766,0.21970817020961217,0.13801019958087377,0.22543274930545262,0.14231931737491063,0.019010279859815328,0.9597369517598833,0.27411195210048134,0.005863994359970093,0.026391910655157908,0.006930159670966013,0.00788454498563494,87
84,0.30916278277124676,0.0034206935337611605,0.5314171697412218,0.14412821616445268,0.008077749184199743,9.719814573015485e-06,0.47991853100912907,0.21187393154416764,0.13623206530298507,0.1488072999886104,0.1399453750678471,0.01897609233856201,0.9539524061339242,0.2648754971367972,0.004619789975030082,0.025313390152794973,0.00692759667124067,0.007942220994404383,88
85,0.039426931313106,0.0017177036830357143,0.034597388335636685,0.14412555524281095,0.009694205863135201,2.4271862847464426e-05,0.37010533469063894,0.08533301523753575,0.016276444707598006,0.1471160011632102,0.14579985822950092,0.009405540568487985,0.6922706876482283,0.026874512434005737,0.001977567161832537,0.013413633619035992,0.006920133318219866,0.008052574736731393,89
86,0.03942121778215681,0.0025016708033425467,0.06672798310007368,0.14564315761838642,0.012956035988671438,0.006473047392708915,0.2444993427821568,0.05317339301109314,0.06490655030523028,0.19861626625061035,0.1467968693801335,0.010022337947572981,0.4339843477521624,0.010820005621228899,0.001977797065462385,0.030940877539770945,0.006918839045933315,0.007833864007677351,90
87,0.03943459902490889,0.002515435218811035,0.049849582569939745,0.1459213197231293,0.014102467468806675,0.005394258669444493,0.35123751418931143,0.12100861753736224,0.12119887130601066,0.2040122491972787,0.14719865151814052,0.013006938355309621,0.5937652162143162,0.01173665268080575,0.0019775841917310443,0.07012270178113665,0.00691908597946167,0.007824812616620744,92
88,0.039424019200461256,0.0022131758076804025,0.05865096620150975,0.1449133711201804,0.012739522116524833,0.00556086642401559,0.23646416408675056,0.05310160773141044,0.06405761412211827,0.19476667046546936,0.14721715024539403,0.009278029203414915,0.5117302026067461,0.011377905096326555,0.0019776693412235807,0.08703140701566424,0.006918907165527344,0.007774710655212402,93
89,0.03942539436476571,0.0019238548619406565,0.03464845248631068,0.14832432780947005,0.013206690549850464,0.001669738973890032,0.2097694192613874,0.05451691576412746,0.015037196023123606,0.1626356371811458,0.15072724223136905,0.0077206236975533625,0.3640717480863844,0.01165278468813215,0.0019774181502205984,0.010655288185392107,0.006919916187013898,0.007367329938071115,95
90,0.03942274621554784,0.0018846392631530764,0.040976481778281074,0.1455540486744472,0.01378004891531808,0.003749098096575056,0.2476738861628941,0.0609096884727478,0.01589001502309527,0.19609939626285008,0.14770889282226565,0.009192854166030884,0.4046891842569624,0.012259611061641149,0.0019776523113250732,0.009733749287469045,0.006918272801807949,0.007772901228496007,96
91,0.575339253459658,0.005028941801616124,0.1705154308250972,0.5236221594469888,0.05396150265421187,0.2851032614707947,0.2389822517122541,0.07688469546181814,0.012950135128838676,0.31322623576436726,0.15063016755240302,0.05683925322123936,0.9807545627866473,0.06976530807358879,0.00738859602383205,0.025978629078183855,0.006922679288046701,0.00804338710648673,97
92,0.03952898297991071,0.002870844943182809,0.29355051687785555,0.22125560470989775,0.014093181916645594,0.0010458316121782576,0.23166425313268388,0.0810419193335942,0.013887375593185427,0.21212732366153172,0.14973113792283194,0.011837933744703022,0.834352663585118,0.02991740618433271,0.0019774607249668664,0.011627320732389177,0.006919703313282558,0.007808664015361241,98
93,0.039454498461314616,0.002582626683371408,0.15452605485916138,0.18643817305564883,0.016458243131637573,0.001772782632282802,0.2412431836128235,0.08381422928401402,0.014212484870638167,0.18254357150622777,0.1477411219051906,0.012429194790976388,0.8290124365261623,0.017768212727137973,0.0019774692399161203,0.013931027480534146,0.006919711828231811,0.007943034172058105,99
94,0.039514699152537754,0.0029062160423823763,0.3031246193817683,0.2543816311018808,0.012657088892800468,0.00042432120868137905,0.23504937546593802,0.08389860391616823,0.013318189552852086,0.20961702295712062,0.15187724147524154,0.011732855013438634,0.8684361236436027,0.06292941314833506,0.0019773926053728375,0.011519896132605416,0.00692067401749747,0.007635457175118583,100
95,0.03945556708744594,0.002307142530168806,0.046442772660936625,0.15129235386848452,0.014710898910249983,0.0007546416350773403,0.275628353868212,0.08368704148701259,0.01567677940641131,0.16780636140278407,0.14776864647865295,0.011784966502870831,0.7854394231523786,0.016758744205747335,0.0019774862698146273,0.013558647462299891,0.006919332912990025,0.00790155359676906,101
96,0.03944252644266401,0.0025851939405713764,0.1816846685750144,0.1820978139128004,0.016571675028119768,0.0009300879069737026,0.33329894287245615,0.082573230777468,0.014915023531232563,0.1660945074898856,0.14787480235099792,0.01340727720941816,0.8560245547975813,0.02274574552263532,0.001977477754865374,0.015434111867632185,0.006920295102255685,0.00796272499220712,102
97,0.039441172565732686,0.002609912838254656,0.23048160331589834,0.17687511869839262,0.01705417888505118,0.0007656131471906389,0.3680386926446642,0.08260700106620787,0.014917463064193727,0.16175250921930584,0.14793355550084794,0.013893663883209229,0.86823741878782,0.02542993426322937,0.0019774692399161203,0.016304237501961843,0.0069206442151750844,0.007972776889801025,103
98,0.5716380987848554,0.0026838949748447965,0.1707812717982701,0.4076057417052133,0.08379269923482623,0.07529398373195104,0.3680961089474814,0.08367173160825457,0.013264021703175137,0.23763395633016313,0.15235392110688345,0.06534862944058009,0.9867517096655709,0.1588893703051976,0.05407295482499259,0.04961938517434257,0.006925629717963082,0.008064078433173043,104
