,BLM,ELM,Route
135,0.0,2.61,3304418001
136,0.086,1.73,3304420001
137,0.0,1.07,3304421001
138,0.0,4.89,3304422001
139,0.0,0.36,3304425001
140,0.0,1.53,3304427001
141,0.0,1.31,3304428001
142,0.249,0.249,3304459001
143,0.0,1.08,3304463001
144,0.0,0.0,3304470001
145,0.0,2.14,3304476001
146,0.44,3.08,3304969001
147,0.0,4.39,3304972001
148,0.31,1.13,3304975001
149,0.0,1.74,3304976001
150,0.0,2.18,3304977001
151,0.0,3.79,3304978001
152,0.14,1.26,3304979001
153,0.0,0.49,3304980001
154,0.0,1.38,3304981001
155,0.0,1.01,3304982001
156,0.0,0.4,3304983001
157,3.823,6.88,3304984001
158,0.0,0.59,3304985001
159,0.0,2.12,3304986001
160,0.0,2.6,3304987001
161,0.0,3.65,3304988001
162,0.91,1.08,3304989001
163,0.0,3.46,3304990001
164,0.0,1.96,3304991001
165,2.82,2.82,3304992001
166,0.0,0.72,3304995001
167,0.12,0.62,3304996001
168,0.0,3.56,3304997001
169,0.0,1.11,3304998001
170,0.0,2.69,3304999001
171,1.2,1.2,3305000001
172,0.0,0.505,3305001001
173,0.14,1.205,3305003001
174,0.0,0.29,3305292001
175,0.18,0.18,3305293001
176,0.0,2.206,3305297001
177,0.0,7.6,3305395001
178,0.0,2.6,3305403001
179,0.0,2.1719999999999997,3305404001
180,0.0,0.2,3305405001
181,0.0,5.12,3305707001
182,0.0,1.24,3305709001
183,0.623,0.623,3305710001
184,0.228,0.429,3305711001
185,0.0,0.0,3305712001
186,0.0,0.132,3305713001
187,0.0,0.142,3305714001
188,0.0,1.025,3305715001
189,0.0,1.19,3305716001
190,0.0,0.424,3305717001
191,0.645,2.26,3305719001
192,0.0,0.66,3305721001
193,0.025,0.59,3305730001
194,0.0,0.5,3305744001
195,0.18,2.72,3305745001
196,0.79,0.79,3305746001
197,0.0,2.45,3305747001
198,0.0,0.6679999999999999,3305763001
199,0.0,0.473,3305764001
200,0.157,1.1159999999999999,3305765001
201,0.0,1.248,3305766001
202,0.069,0.856,3305767001
203,0.0,0.0,3305768001
204,0.0,1.2,3305769001
205,0.34,1.85,3305770001
206,0.33,2.021,3305771001
207,0.0,0.17,3305772001
208,0.0,0.303,3305773001
209,0.0,1.037,3305774001
210,0.0,1.652,3305775001
211,0.08,4.447,3305776001
212,0.0,7.664,3305777001
213,0.0,7.893,3305778001
214,0.0,0.091,3305779001
215,0.0,0.077,3305780001
216,0.0,3.437,3305781001
217,0.5589999999999999,0.5589999999999999,3305782001
218,0.0,1.173,3305783001
219,0.0,1.044,3305784001
220,0.0,0.196,3305785001
221,0.0,1.07,3305786001
222,0.0,0.995,3305787001
223,0.0,0.41,3305788001
224,0.0,1.188,3305789001
225,0.0,0.0,3305791001
226,0.07400000000000001,0.07400000000000001,3305792001
227,0.0,1.15,3305793001
228,0.0,0.0,330A001001
229,0.0,0.0,330A002001
230,0.0,0.17,330A003001
231,0.0,0.0,330A005001
232,0.0,0.258,330A006001
233,0.08,0.155,330A007001
234,0.0,0.061,330A008001
235,0.0,0.963,330A009001
236,0.0,0.057999999999999996,330A010001
237,0.0,0.040999999999999995,330A011001
238,0.0,0.0,330A012001
239,0.0,0.33799999999999997,330A013001
240,0.0,0.0,330A014001
241,0.0,0.09,330A015001
242,0.065,0.065,330A016001
243,0.415,0.415,330A017001
244,0.0,1.28,330A018001
245,0.0,0.267,330A019001
246,0.0,0.106,330A020001
247,0.0,0.11699999999999999,330A021001
248,0.0,0.45,330A022001
249,0.0,0.0,330A023001
250,0.0,0.0,330A024001
251,0.0,0.149,330A025001
252,0.0,0.545,330A026001
253,0.0,0.26,330A027001
254,0.0,0.138,330A028001
255,0.0,0.845,330A029001
256,0.0,0.418,330A030001
257,0.0,0.08199999999999999,330A031001
258,0.0,0.45799999999999996,330A032001
259,0.0,0.128,330A033001
260,0.0,0.607,330A034001
261,0.0,0.20199999999999999,330A035001
262,0.0,0.12,330A036001
263,0.0,0.139,330A037001
264,0.0,0.12,330A038001
265,0.0,0.711,330A039001
266,0.369,0.369,330A040001
267,0.0,0.0,330A041001
268,0.0,0.245,330A042001
269,0.0,0.069,330A043001
270,0.0,0.9059999999999999,330A044001
271,0.0,0.08199999999999999,330A045001
272,0.0,1.694,330A046001
273,0.0,0.809,330A047001
274,0.0,0.40299999999999997,330A048001
275,0.0,0.32,330A049001
276,0.0,0.272,330A050001
277,0.0,0.057,330A051001
278,0.0,0.757,330A052001
279,0.0,0.0,330A053001
280,0.0,0.188,330A054001
281,0.0,0.151,330A055001
282,0.0,0.095,330A056001
283,0.0,0.0,330A057001
284,0.0,0.733,330A058001
285,0.0,0.231,330A059001
286,0.0,0.067,330A060001
287,0.0,0.32299999999999995,330A061001
288,0.0,0.78,330A062001
289,0.0,0.217,330A063001
290,0.414,0.414,330A064001
291,0.0,1.215,330A065001
292,0.0,0.0,330A066001
293,0.0,0.11,330A067001
294,0.0,0.47,330A068001
295,0.0,0.106,330A069001
296,0.365,0.365,330A070001
297,0.0,0.153,330A071001
298,0.0,0.363,330A072001
299,0.0,0.27,330A073001
300,0.0,0.086,330A074001
301,0.0,0.075,330A075001
302,0.0,0.258,330A076001
303,0.0,0.358,330A077001
304,0.0,0.138,330A078001
305,0.0,0.218,330A079001
306,0.387,0.387,330A080001
307,0.0,0.11699999999999999,330A081001
308,0.0,0.092,330A082001
309,0.0,0.556,330A083001
310,0.0,0.12,330A084001
311,0.0,0.0,330A085001
312,0.0,0.092,330A086001
313,0.0,0.287,330A087001
314,0.0,0.331,330A088001
315,0.0,0.0,330A089001
316,0.0,0.282,330A090001
317,0.0,0.767,330A091001
318,0.0,0.591,330A092001
319,0.0,0.107,330A093001
320,0.0,0.135,330A094001
321,0.0,0.16399999999999998,330A095001
322,0.0,1.149,330A096001
323,0.0,0.081,330A097001
324,0.326,0.428,330A098001
325,0.0,0.23,330A099001
326,0.0,0.557,330A100001
327,0.0,0.284,330A101001
328,0.0,0.49,330A102001
329,0.0,0.27399999999999997,330A103001
330,0.0,0.182,330A104001
331,0.0,0.413,330A105001
332,0.0,0.193,330A106001
333,0.0,0.18,330A107001
334,0.0,0.0,330A108001
335,0.0,0.39899999999999997,330A109001
336,0.0,0.297,330A110001
337,0.0,0.4,330A111001
338,0.0,0.11699999999999999,330A112001
339,0.295,0.9059999999999999,330A113001
340,0.0,0.0,330A114001
341,0.0,0.105,330A115001
342,0.0,0.231,330A116001
343,0.0,0.16399999999999998,330A117001
344,0.0,0.428,330A118001
345,0.0,0.514,330A119001
346,0.0,0.0,330A120001
347,0.0,0.684,330A121001
348,0.0,0.243,330A122001
349,0.0,0.078,330A123001
350,0.0,0.631,330A124001
351,0.0,0.155,330A125001
352,0.0,0.45399999999999996,330A126001
353,0.0,0.161,330A127001
354,0.0,0.937,330A128001
355,0.0,0.532,330A129001
356,0.0,0.469,330A130001
357,0.0,1.025,330A131001
358,0.0,0.392,330A132001
359,0.0,0.069,330A133001
360,0.0,0.138,330A134001
361,0.0,0.447,330A135001
362,0.0,0.45,330A136001
363,0.0,0.644,330A137001
364,0.0,0.32,330A138001
365,0.0,0.284,330A139001
366,0.0,1.079,330A140001
367,0.0,0.152,330A141001
368,0.0,0.209,330A142001
369,0.0,0.9079999999999999,330A143001
370,0.0,0.05,330A144001
371,0.0,0.069,330A145001
372,0.0,0.308,330A146001
373,0.0,0.153,330A147001
374,0.0,0.325,330A148001
375,0.0,0.051,330A149001
376,0.747,1.172,330A150001
377,0.0,0.064,330A151001
378,0.0,0.068,330A152001
379,0.0,0.331,330A153001
380,0.0,0.09,330A154001
381,0.0,0.096,330A155001
382,0.0,0.0,330A156001
383,0.0,0.0,330A157001
384,0.07200000000000001,0.07200000000000001,330A158001
385,0.0,0.953,330A159001
386,0.0,0.297,330A160001
387,0.0,0.446,330A161001
388,0.0,0.188,330A162001
389,0.0,0.079,330A163001
390,0.23199999999999998,0.23199999999999998,330A164001
