BLM,ELM,Route,ID NUMBER,Feature Type,Feature Composition
0.98,1.041,0C359,330C359001,19,15
0,0.81,0D461,330D461001,19,15
0.81,1,0D461,330D461001,19,15
1,1.37,0D461,330D461001,19,15
1.37,1.675,0D461,330D461001,19,15
0,0.07,0G444,330G444001,19,15
0.07,0.15,0G444,330G444001,19,15
0.15,0.195,0G444,330G444001,19,15
0.195,0.33,0G444,330G444001,19,15
0,0.76,SR002,33SR002001,19,15
0.76,1.02,SR002,33SR002001,19,15
1.02,1.1,SR002,33SR002001,19,15
1.1,1.78,SR002,33SR002001,19,15
1.78,1.95,SR002,33SR002001,19,15
1.95,2.01,SR002,33SR002001,19,15
2.01,2.07,SR002,33SR002001,19,15
2.07,2.21,SR002,33SR002001,19,15
2.07,2.21,SR002,33SR002001,19,15
2.21,2.32,SR002,33SR002001,19,15
2.21,2.32,SR002,33SR002001,19,15
2.32,2.365,SR002,33SR002001,19,15
2.32,2.365,SR002,33SR002001,19,15
2.365,2.43,SR002,33SR002001,19,15
2.365,2.43,SR002,33SR002001,19,15
2.43,2.5,SR002,33SR002001,19,15
2.43,2.5,SR002,33SR002001,19,15
2.5,2.62,SR002,33SR002001,19,15
2.5,2.62,SR002,33SR002001,19,15
2.62,2.69,SR002,33SR002001,19,15
2.62,2.69,SR002,33SR002001,19,15
2.69,2.73,SR002,33SR002001,19,15
2.69,2.73,SR002,33SR002001,19,15
2.73,2.86,SR002,33SR002001,19,15
2.86,3.08,SR002,33SR002001,19,15
3.08,3.24,SR002,33SR002001,19,15
3.08,3.24,SR002,33SR002001,19,15
3.24,3.31,SR002,33SR002001,19,15
3.24,3.31,SR002,33SR002001,19,15
3.31,3.4,SR002,33SR002001,19,15
3.4,3.52,SR002,33SR002001,19,15
3.52,3.57,SR002,33SR002001,19,15
3.57,3.64,SR002,33SR002001,19,15
3.64,3.74,SR002,33SR002001,19,18
3.74,3.82,SR002,33SR002001,19,15
3.82,3.89,SR002,33SR002001,19,15
3.89,4.02,SR002,33SR002001,19,15
4.02,4.1,SR002,33SR002001,19,15
4.1,4.84,SR002,33SR002001,19,15
4.84,5.56,SR002,33SR002001,19,15
5.56,5.6,SR002,33SR002001,19,15
5.6,5.74,SR002,33SR002001,19,15
5.74,5.8,SR002,33SR002001,19,15
5.8,5.85,SR002,33SR002001,19,15
5.8,5.85,SR002,33SR002001,19,15
5.85,5.94,SR002,33SR002001,19,15
5.85,5.94,SR002,33SR002001,19,15
5.94,6.55,SR002,33SR002001,19,15
5.94,6.55,SR002,33SR002001,19,15
6.55,6.77,SR002,33SR002001,19,15
6.55,6.77,SR002,33SR002001,19,15
6.77,7.09,SR002,33SR002001,19,15
6.77,7.09,SR002,33SR002001,19,15
7.09,7.15,SR002,33SR002001,19,15
7.09,7.15,SR002,33SR002001,19,15
7.15,7.17,SR002,33SR002001,19,15
7.15,7.17,SR002,33SR002001,19,15
7.17,7.27,SR002,33SR002001,19,15
7.17,7.27,SR002,33SR002001,19,15
