BLM,ELM,ID_NUMBER,Feat_Seq_Nbr,Feature_Type,Feat_Width,Feature_Composition
2.14,2.23,3301122001,3,20,2,18
2.14,2.23,3301122001,5,19,12,15
2.14,2.23,3301122001,9,3,12,15
2.14,2.23,3301122001,13,19,12,15
2.14,2.23,3301122001,15,20,2,18
2.14,2.23,3301122001,17,29,,42
2.23,2.92,3301122001,8,29,,40
2.23,2.92,3301122001,9,20,2,15
2.23,2.92,3301122001,10,19,22,15
2.23,2.92,3301122001,12,20,2,15
2.23,2.92,3301122001,13,29,,40
2.92,5.685,3301122001,8,29,,40
2.92,5.685,3301122001,9,20,2,5
2.92,5.685,3301122001,10,19,20,15
2.92,5.685,3301122001,12,20,2,5
2.92,5.685,3301122001,13,29,,40
0,0.246,3301126001,8,29,,40
0,0.246,3301126001,9,20,8,5
0,0.246,3301126001,10,19,24,15
0,0.246,3301126001,12,20,8,5
0,0.246,3301126001,13,29,,40
0.246,0.38,3301126001,8,29,,40
0.246,0.38,3301126001,9,20,2,15
0.246,0.38,3301126001,10,19,23,15
0.246,0.38,3301126001,12,20,11,15
0.246,0.38,3301126001,13,29,,42
0.38,2.11,3301126001,8,29,,40
0.38,2.11,3301126001,9,20,3,15
0.38,2.11,3301126001,10,19,24,15
0.38,2.11,3301126001,12,20,3,15
0.38,2.11,3301126001,13,29,,40
2.11,3.45,3301126001,8,29,,40
2.11,3.45,3301126001,9,20,4,15
2.11,3.45,3301126001,10,19,24,15
2.11,3.45,3301126001,12,20,4,15
2.11,3.45,3301126001,13,29,,40
3.45,4.518,3301126001,1,29,,40
3.45,4.518,3301126001,3,20,2,5
3.45,4.518,3301126001,5,19,10,15
3.45,4.518,3301126001,9,5,11,15
3.45,4.518,3301126001,13,19,12,15
3.45,4.518,3301126001,15,20,2,5
3.45,4.518,3301126001,17,29,,40
4.518,4.6,3301126001,1,29,,40
4.518,4.6,3301126001,2,20,14,5
4.518,4.6,3301126001,4,19,12,15
4.518,4.6,3301126001,7,40,12,23
4.518,4.6,3301126001,10,19,12,15
4.518,4.6,3301126001,13,29,,40
4.6,4.98,3301126001,1,29,,40
4.6,4.98,3301126001,2,20,11,15
4.6,4.98,3301126001,3,19,12,15
4.6,4.98,3301126001,4,3,12,15
4.6,4.98,3301126001,5,19,12,15
4.6,4.98,3301126001,6,20,10,15
4.6,4.98,3301126001,7,29,,40
4.98,5.04,3301126001,8,29,,41
4.98,5.04,3301126001,9,20,11,15
4.98,5.04,3301126001,10,19,24,15
4.98,5.04,3301126001,12,20,11,15
4.98,5.04,3301126001,13,29,,41
5.04,5.15,3301126001,8,29,,40
5.04,5.15,3301126001,9,20,10,15
5.04,5.15,3301126001,10,19,24,15
5.04,5.15,3301126001,12,2,12,15
5.04,5.15,3301126001,13,20,2,5
5.04,5.15,3301126001,14,29,,40
5.15,5.45,3301126001,1,29,,40
5.15,5.45,3301126001,2,20,2,15
5.15,5.45,3301126001,4,19,11,15
5.15,5.45,3301126001,7,5,12,15
5.15,5.45,3301126001,10,19,11,15
5.15,5.45,3301126001,12,20,2,15
5.15,5.45,3301126001,13,29,,40
5.45,5.59,3301126001,8,29,,40
5.45,5.59,3301126001,9,20,3,15
5.45,5.59,3301126001,10,19,24,15
5.45,5.59,3301126001,12,20,3,15
5.45,5.59,3301126001,13,29,,40
5.59,5.806,3301126001,8,29,,40
5.59,5.806,3301126001,9,20,4,15
5.59,5.806,3301126001,10,19,24,15
5.59,5.806,3301126001,12,20,14,15
5.59,5.806,3301126001,13,29,,40
5.806,6.174,3301126001,1,29,,40
5.806,6.174,3301126001,2,20,6,15
