BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd_Limit,Terrain,Land_Use,Illum,Operation,Acc_Ctrl,Sch Spd Limit,Truck Spd Limit,BLM_Lat,BLM_Long,ELM_Lat,ELM_Long
0,5.8,1,3300948001,2,40,2,40,2,0,,2,0,,,35.1553557,-85.10558437,35.20611464,-85.06865694
0,0.12,1,3300951001,2,120,2,35,2,0,1,2,0,,,35.21308867,-85.21772724,35.21181882,-85.21625962
0.12,1.08,1,3300951001,2,50,2,35,2,0,0,2,0,,,35.21181882,-85.21625962,35.20254465,-85.20750122
1.08,2.21,1,3300951001,2,50,2,35,2,7,0,2,0,,,35.20254465,-85.20750122,35.19169505,-85.19276462
2.21,2.43,1,3300951001,2,60,2,35,2,7,0,2,0,15,,35.19169505,-85.19276462,35.18932177,-85.19026801
2.43,2.55,1,3300951001,2,60,2,35,2,7,0,2,0,,,35.18932177,-85.19026801,35.18797214,-85.18892652
2.55,3.92,1,3300951001,2,60,2,45,2,7,0,2,0,,,35.18797214,-85.18892652,35.17116258,-85.17641316
0,0.06,1,3301122001,4,100,4,40,2,2,1,2,0,,,35.04250232,-85.15594515,35.04215129,-85.15498427
0.06,0.12,1,3301122001,4,100,4,40,2,2,1,2,0,,,35.04215129,-85.15498427,35.04180432,-85.15402114
0.12,0.48,1,3301122001,4,90,4,40,2,2,1,2,0,,,35.04180432,-85.15402114,35.03965755,-85.14821772
0.48,0.79,1,3301122001,4,90,4,40,2,2,1,2,0,,,35.03965755,-85.14821772,35.03788297,-85.14324647
0.79,1.4,1,3301122001,2,80,2,40,2,4,1,2,0,,,35.03788297,-85.14324647,35.0341259,-85.13351791
1.4,1.425,1,3301122001,2,120,2,40,2,2,1,2,0,,,35.0341259,-85.13351791,35.0343359,-85.13332489
1.425,1.445,1,3301122001,2,60,2,35,2,2,1,2,0,,,35.0343359,-85.13332489,35.03457803,-85.13331323
1.445,1.495,1,3301122001,2,60,2,35,2,2,1,2,0,15,,35.03457803,-85.13331323,35.03525104,-85.13302328
1.495,1.57,1,3301122001,2,40,2,35,2,7,1,2,0,15,,35.03525104,-85.13302328,35.03626615,-85.13260819
1.57,2.92,1,3301122001,2,44,2,35,2,7,1,2,0,,,35.03626615,-85.13260819,35.04310132,-85.11578507
2.92,5.685,1,3301122001,2,40,2,35,2,7,0,2,0,,,35.04310132,-85.11578507,35.04760832,-85.07265798
0,0.246,1,3301126001,2,80,2,45,2,2,,2,0,,,35.20277764,-85.15331911,35.20630665,-85.15369011
0.246,0.38,1,3301126001,2,64,2,45,2,2,,2,0,,,35.20630665,-85.15369011,35.20809496,-85.15458869
0.38,2.11,1,3301126001,2,80,2,45,2,0,,2,0,,,35.20809496,-85.15458869,35.2319527,-85.1509771
2.11,3.1,1,3301126001,2,120,2,45,2,0,,2,0,,,35.2319527,-85.1509771,35.2320117,-85.16818314
3.1,3.81,1,3301126001,2,120,2,45,2,0,,2,0,,,35.2320117,-85.16818314,35.2366013,-85.17689662
3.81,3.99,1,3301126001,2,120,2,45,2,0,,2,0,25,,35.2366013,-85.17689662,35.23909621,-85.17586474
3.99,5.04,1,3301126001,2,120,2,45,2,0,,2,0,,,35.23909621,-85.17586474,35.2532925,-85.18151645
5.04,5.15,1,3301126001,2,120,2,45,2,2,,2,0,,,35.2532925,-85.18151645,35.25465575,-85.18252716
5.15,6.174,1,3301126001,2,60,2,40,2,2,,2,0,,,35.25465575,-85.18252716,35.24259872,-85.19192318
6.174,6.7,1,3301126001,2,30,2,40,3,7,,2,0,,,35.24259872,-85.19192318,35.24370406,-85.19626422
6.7,9.386,1,3301126001,2,50,2,40,3,7,,2,0,,,35.24370406,-85.19626422,35.26066576,-85.21082022
9.386,13.76,1,3301126001,2,50,2,35,3,7,,2,0,,,35.26066576,-85.21082022,35.28804982,-85.27179633
0,0.45,1,3301128001,1,40,1,,2,0,,2,0,,,35.36650295,-84.99045775,35.36391183,-84.98324735
0,0.04,1,3301143001,2,60,2,45,2,0,0,2,0,,,35.02199826,-85.02201888,35.02171019,-85.02254958
0.04,2.54,1,3301143001,2,60,2,45,2,0,0,2,0,,,35.02171019,-85.02254958,35.00052192,-85.0541419
2.54,2.98,1,3301143001,2,60,2,45,2,0,0,2,0,30,,35.00052192,-85.0541419,34.99539855,-85.05860712
2.98,5.57,1,3301143001,2,60,2,45,2,0,0,2,0,,,34.99539855,-85.05860712,34.99981823,-85.09472003
0,0.92,1,3301145001,2,100,2,45,2,0,,2,0,,,35.17477657,-85.02771086,35.16274638,-85.03458587
0.92,4.18,1,3301145001,2,100,2,50,2,0,,2,0,,,35.16274638,-85.03458587,35.11833646,-85.04695891
4.18,5.09,1,3301145001,2,40,2,50,2,0,,2,0,,,35.11833646,-85.04695891,35.10723215,-85.04827351
5.09,6.02,1,3301145001,2,40,2,40,2,0,,2,0,,,35.10723215,-85.04827351,35.09430373,-85.0529243
6.02,6.67,1,3301145001,2,40,2,40,2,0,1,2,0,,,35.09430373,-85.0529243,35.08548783,-85.05703614
6.67,6.88,1,3301145001,2,40,2,40,2,7,1,2,0,,,35.08548783,-85.05703614,35.08268739,-85.05853494
0,0.112,1,3301147001,4,80,4,40,2,2,1,2,0,,,35.09858245,-85.32805448,35.10019746,-85.32760948
0.112,0.26,1,3301147001,2,60,2,40,2,4,1,2,0,,,35.10019746,-85.32760948,35.10227022,-85.32748826
0.26,0.62,1,3301147001,2,50,2,40,2,4,1,2,0,,,35.10227022,-85.32748826,35.10718136,-85.32626725
0.62,0.68,1,3301147001,2,100,2,40,2,4,1,2,0,,,35.10718136,-85.32626725,35.10793301,-85.32643875
0.68,0.78,1,3301147001,2,50,2,40,2,4,1,2,0,,,35.10793301,-85.32643875,35.10916655,-85.32724007
0.78,2.59,1,3301147001,2,40,2,40,3,0,0,2,0,,,35.10916655,-85.32724007,35.13024199,-85.31971947
2.59,3.726,1,3301147001,2,40,2,40,3,0,0,2,0,,,35.13024199,-85.31971947,35.14463554,-85.31540345
3.726,4.15,1,3301147001,2,40,2,40,3,7,0,2,0,,,35.14463554,-85.31540345,35.14703198,-85.31805386
4.15,6.741,1,3301147001,2,40,2,30,2,7,0,2,0,,,35.14703198,-85.31805386,35.17905661,-85.30555842
6.741,8.95,1,3301147001,2,40,2,35,2,0,0,2,0,,,35.17905661,-85.30555842,35.20280666,-85.30845942
8.95,11.87,1,3301147001,2,50,2,35,2,0,0,2,0,,,35.20280666,-85.30845942,35.18753263,-85.34985751
0,2.967,1,3301149001,2,44,2,40,2,0,,2,0,,,35.26958577,-85.12351804,35.29956483,-85.09661198
2.967,5.648,1,3301149001,2,40,2,40,2,0,,2,0,,,35.29956483,-85.09661198,35.32529887,-85.07283093
5.648,9.83,1,3301149001,2,40,2,35,2,0,,2,0,,,35.32529887,-85.07283093,35.34101791,-85.12898904
0,1.39,1,3301151001,2,50,2,35,2,0,0,2,0,,,35.387725,-85.10776898,35.39525502,-85.08991395
1.39,4.45,1,3301151001,2,36,2,35,2,0,0,2,0,,,35.39525502,-85.08991395,35.41799806,-85.0676669
4.45,4.836,1,3301151001,2,36,2,30,2,0,0,2,0,,,35.41799806,-85.0676669,35.41856506,-85.06119888
4.836,6,1,3301151001,2,40,2,30,2,0,0,2,0,,,35.41856506,-85.06119888,35.42625907,-85.04790686
0,0.12,2,3301151002,2,36,2,,2,0,,2,0,,,35.42546007,-85.04644985,35.42450707,-85.04469585
0,1.8,1,3301406001,4,80,4,45,2,2,1,2,0,,,35.08399242,-85.31757246,35.10479518,-85.29870308
1.8,2.63,1,3301406001,4,80,4,35,2,2,1,2,0,,,35.10479518,-85.29870308,35.11552355,-85.29188165
2.63,2.81,1,3301406001,4,80,4,35,2,2,1,2,0,15,,35.11552355,-85.29188165,35.11793626,-85.2906661
2.81,3.347,1,3301406001,4,80,4,35,2,2,1,2,0,,,35.11793626,-85.2906661,35.1244315,-85.28586939
3.347,3.959,1,3301406001,4,70,4,45,2,2,1,2,0,,,35.1244315,-85.28586939,35.13272252,-85.28186638
3.959,5.04,1,3301406001,4,80,4,45,2,2,1,2,0,,,35.13272252,-85.28186638,35.14681721,-85.27367401
