Accident,City,Unix,Join_Count,GRID_ID,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Hour,Date,hourbefore,Longitude,Latitude,RainBefore,DayOfWeek,WeekDay,DayFrame
0,,1499248800.0,248,AG-13,543,4.0,2.0,16.0,6,2017-07-05,1499245200.0,-85.2328074,35.110448299999995,,2,1,2
0,,1499284800.0,248,AG-13,543,4.0,2.0,16.0,16,2017-07-05,1499281200.0,-85.2328074,35.110448299999995,,2,1,4
0,,1499310000.0,248,AG-13,543,4.0,2.0,16.0,23,2017-07-05,1499306400.0,-85.2328074,35.110448299999995,,2,1,1
0,,1499306400.0,248,AG-13,543,4.0,2.0,16.0,22,2017-07-05,1499302800.0,-85.2328074,35.110448299999995,,2,1,1
0,,1499263200.0,248,AG-13,543,4.0,2.0,16.0,10,2017-07-05,1499259600.0,-85.2328074,35.110448299999995,,2,1,3
0,,1499245200.0,248,AG-13,543,4.0,2.0,16.0,5,2017-07-05,1499241600.0,-85.2328074,35.110448299999995,,2,1,2
0,,1499277600.0,248,AG-13,543,4.0,2.0,16.0,14,2017-07-05,1499274000.0,-85.2328074,35.110448299999995,,2,1,4
0,,1499288400.0,248,AG-13,543,4.0,2.0,16.0,17,2017-07-05,1499284800.0,-85.2328074,35.110448299999995,,2,1,4
0,,1499266800.0,112,S-14,498,2.0,2.0,16.0,11,2017-07-05,1499263200.0,-85.33573183,35.10195923,,2,1,3
0,,1499274000.0,112,S-14,498,2.0,2.0,16.0,13,2017-07-05,1499270400.0,-85.33573183,35.10195923,,2,1,3
0,,1499288400.0,112,S-14,498,2.0,2.0,16.0,17,2017-07-05,1499284800.0,-85.33573183,35.10195923,,2,1,4
0,,1499248800.0,112,S-14,498,2.0,2.0,16.0,6,2017-07-05,1499245200.0,-85.33573183,35.10195923,,2,1,2
0,,1499238000.0,112,S-14,498,2.0,2.0,16.0,3,2017-07-05,1499234400.0,-85.33573183,35.10195923,,2,1,1
0,,1499259600.0,112,S-14,498,2.0,2.0,16.0,9,2017-07-05,1499256000.0,-85.33573183,35.10195923,,2,1,2
