Accident,City,Unix,Join_Count,GRID_ID,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Hour,Date,hourbefore,Longitude,Latitude,RainBefore,DayOfWeek,WeekDay,DayFrame
0,,1491958800.0,764,V-20,281,6.0,2.0,11.0,21,2017-04-11,1491955200.0,-85.31367659,35.05526938,,1,1,1
0,,1491944400.0,764,V-20,281,6.0,2.0,11.0,17,2017-04-11,1491940800.0,-85.31367659,35.05526938,,1,1,4
0,,1491904800.0,764,V-20,281,6.0,2.0,11.0,6,2017-04-11,1491901200.0,-85.31367659,35.05526938,,1,1,2
0,,1491966000.0,764,V-20,281,6.0,2.0,11.0,23,2017-04-11,1491962400.0,-85.31367659,35.05526938,,1,1,1
0,,1491930000.0,764,V-20,281,6.0,2.0,11.0,13,2017-04-11,1491926400.0,-85.31367659,35.05526938,,1,1,3
0,,1491912000.0,764,V-20,281,6.0,2.0,11.0,8,2017-04-11,1491908400.0,-85.31367659,35.05526938,,1,1,2
0,,1491897600.0,764,V-20,281,6.0,2.0,11.0,4,2017-04-11,1491894000.0,-85.31367659,35.05526938,,1,1,1
0,,1491894000.0,764,V-20,281,6.0,2.0,11.0,3,2017-04-11,1491890400.0,-85.31367659,35.05526938,,1,1,1
0,,1491908400.0,764,V-20,281,6.0,2.0,11.0,7,2017-04-11,1491904800.0,-85.31367659,35.05526938,,1,1,2
0,,1491883200.0,764,V-20,281,6.0,2.0,11.0,0,2017-04-11,1491879600.0,-85.31367659,35.05526938,,1,1,1
0,,1491919200.0,764,V-20,281,6.0,2.0,11.0,10,2017-04-11,1491915600.0,-85.31367659,35.05526938,,1,1,3
0,,1491908400.0,764,V-20,281,6.0,2.0,11.0,7,2017-04-11,1491904800.0,-85.31367659,35.05526938,,1,1,2
0,,1491933600.0,764,V-20,281,6.0,2.0,11.0,14,2017-04-11,1491930000.0,-85.31367659,35.05526938,,1,1,4
0,,1491940800.0,764,V-20,281,6.0,2.0,11.0,16,2017-04-11,1491937200.0,-85.31367659,35.05526938,,1,1,4
0,,1491944400.0,764,V-20,281,6.0,2.0,11.0,17,2017-04-11,1491940800.0,-85.31367659,35.05526938,,1,1,4
0,,1491897600.0,764,V-20,281,6.0,2.0,11.0,4,2017-04-11,1491894000.0,-85.31367659,35.05526938,,1,1,1
0,,1491886800.0,764,V-20,281,6.0,2.0,11.0,1,2017-04-11,1491883200.0,-85.31367659,35.05526938,,1,1,1
0,,1491912000.0,764,V-20,281,6.0,2.0,11.0,8,2017-04-11,1491908400.0,-85.31367659,35.05526938,,1,1,2
0,,1491915600.0,764,V-20,281,6.0,2.0,11.0,9,2017-04-11,1491912000.0,-85.31367659,35.05526938,,1,1,2
0,,1491940800.0,764,V-20,281,6.0,2.0,11.0,16,2017-04-11,1491937200.0,-85.31367659,35.05526938,,1,1,4
0,,1491948000.0,764,V-20,281,6.0,2.0,11.0,18,2017-04-11,1491944400.0,-85.31367659,35.05526938,,1,1,4
0,,1491926400.0,764,V-20,281,6.0,2.0,11.0,12,2017-04-11,1491922800.0,-85.31367659,35.05526938,,1,1,3
0,,1491908400.0,764,V-20,281,6.0,2.0,11.0,7,2017-04-11,1491904800.0,-85.31367659,35.05526938,,1,1,2
0,,1491933600.0,764,V-20,281,6.0,2.0,11.0,14,2017-04-11,1491930000.0,-85.31367659,35.05526938,,1,1,4
0,,1491955200.0,764,V-20,281,6.0,2.0,11.0,20,2017-04-11,1491951600.0,-85.31367659,35.05526938,,1,1,1
0,,1491966000.0,764,V-20,281,6.0,2.0,11.0,23,2017-04-11,1491962400.0,-85.31367659,35.05526938,,1,1,1
0,,1491919200.0,764,V-20,281,6.0,2.0,11.0,10,2017-04-11,1491915600.0,-85.31367659,35.05526938,,1,1,3
0,,1491955200.0,37,T-28,12,2.0,2.0,19.0,20,2017-04-11,1491951600.0,-85.32838008,34.98735687,,1,1,1
0,,1491897600.0,37,T-28,12,2.0,2.0,19.0,4,2017-04-11,1491894000.0,-85.32838008,34.98735687,,1,1,1
0,,1491922800.0,37,T-28,12,2.0,2.0,19.0,11,2017-04-11,1491919200.0,-85.32838008,34.98735687,,1,1,3
0,,1491966000.0,37,T-28,12,2.0,2.0,19.0,23,2017-04-11,1491962400.0,-85.32838008,34.98735687,,1,1,1
0,,1491901200.0,37,T-28,12,2.0,2.0,19.0,5,2017-04-11,1491897600.0,-85.32838008,34.98735687,,1,1,2
0,,1491883200.0,37,T-28,12,2.0,2.0,19.0,0,2017-04-11,1491879600.0,-85.32838008,34.98735687,,1,1,1
0,,1491962400.0,37,T-28,12,2.0,2.0,19.0,22,2017-04-11,1491958800.0,-85.32838008,34.98735687,,1,1,1
0,,1491894000.0,37,T-28,12,2.0,2.0,19.0,3,2017-04-11,1491890400.0,-85.32838008,34.98735687,,1,1,1
0,,1491944400.0,37,T-28,12,2.0,2.0,19.0,17,2017-04-11,1491940800.0,-85.32838008,34.98735687,,1,1,4
0,,1491944400.0,592,AI-25,107,2.0,2.0,19.0,17,2017-04-11,1491940800.0,-85.21810391,35.00857953,,1,1,4
0,,1491937200.0,592,AI-25,107,2.0,2.0,19.0,15,2017-04-11,1491933600.0,-85.21810391,35.00857953,,1,1,4
0,,1491958800.0,592,AI-25,107,2.0,2.0,19.0,21,2017-04-11,1491955200.0,-85.21810391,35.00857953,,1,1,1
0,,1491886800.0,592,AI-25,107,2.0,2.0,19.0,1,2017-04-11,1491883200.0,-85.21810391,35.00857953,,1,1,1
0,,1491926400.0,592,AI-25,107,2.0,2.0,19.0,12,2017-04-11,1491922800.0,-85.21810391,35.00857953,,1,1,3
0,,1491951600.0,592,AI-25,107,2.0,2.0,19.0,19,2017-04-11,1491948000.0,-85.21810391,35.00857953,,1,1,1
0,,1491901200.0,592,AI-25,107,2.0,2.0,19.0,5,2017-04-11,1491897600.0,-85.21810391,35.00857953,,1,1,2
0,,1491883200.0,592,AI-25,107,2.0,2.0,19.0,0,2017-04-11,1491879600.0,-85.21810391,35.00857953,,1,1,1
0,,1491940800.0,592,AI-25,107,2.0,2.0,19.0,16,2017-04-11,1491937200.0,-85.21810391,35.00857953,,1,1,4
0,,1491944400.0,181,AL-18,370,4.0,2.0,14.0,17,2017-04-11,1491940800.0,-85.19604868,35.07224751,,1,1,4
0,,1491958800.0,181,AL-18,370,4.0,2.0,14.0,21,2017-04-11,1491955200.0,-85.19604868,35.07224751,,1,1,1
0,,1491908400.0,181,AL-18,370,4.0,2.0,14.0,7,2017-04-11,1491904800.0,-85.19604868,35.07224751,,1,1,2
0,,1491922800.0,181,AL-18,370,4.0,2.0,14.0,11,2017-04-11,1491919200.0,-85.19604868,35.07224751,,1,1,3
0,,1491886800.0,181,AL-18,370,4.0,2.0,14.0,1,2017-04-11,1491883200.0,-85.19604868,35.07224751,,1,1,1
0,,1491933600.0,181,AL-18,370,4.0,2.0,14.0,14,2017-04-11,1491930000.0,-85.19604868,35.07224751,,1,1,4
0,,1491901200.0,181,AL-18,370,4.0,2.0,14.0,5,2017-04-11,1491897600.0,-85.19604868,35.07224751,,1,1,2
0,,1491955200.0,181,AL-18,370,4.0,2.0,14.0,20,2017-04-11,1491951600.0,-85.19604868,35.07224751,,1,1,1
