Date,DayOfWeek,Hour,Latitude,Longitude,WeekDay,Year,Month
1/1/2020,2,0,35.105795,-85.282598,1,2020,1
1/1/2020,2,0,35.260486,-85.000235,1,2020,1
1/1/2020,2,1,35.015785,-85.235226,1,2020,1
1/1/2020,2,3,35.121446,-85.096924,1,2020,1
1/1/2020,2,3,35.102882,-85.0814,1,2020,1
1/1/2020,2,3,35.036004,-85.307644,1,2020,1
1/1/2020,2,3,35.034391,-85.308235,1,2020,1
1/1/2020,2,3,35.036004,-85.307644,1,2020,1
1/1/2020,2,3,35.036004,-85.307644,1,2020,1
1/1/2020,2,8,35.110778,-85.321604,1,2020,1
1/1/2020,2,8,35.037324,-85.183937,1,2020,1
1/1/2020,2,10,35.08714,-85.07046,1,2020,1
1/1/2020,2,10,35.08714,-85.07046,1,2020,1
1/1/2020,2,10,35.08714,-85.07046,1,2020,1
1/1/2020,2,10,35.086764,-85.071085,1,2020,1
1/1/2020,2,10,35.007383,-85.310643,1,2020,1
1/1/2020,2,12,35.053656,-85.310162,1,2020,1
1/1/2020,2,13,35.22002,-85.224137,1,2020,1
1/1/2020,2,13,35.021849,-85.257398,1,2020,1
1/1/2020,2,13,35.138778,-85.247194,1,2020,1
1/1/2020,2,13,35.138778,-85.247194,1,2020,1
1/1/2020,2,13,35.138778,-85.247194,1,2020,1
1/1/2020,2,14,35.187949,-85.205652,1,2020,1
1/1/2020,2,16,35.136064,-85.244585,1,2020,1
1/1/2020,2,16,35.007414,-85.203262,1,2020,1
1/1/2020,2,16,35.040321,-85.155778,1,2020,1
1/1/2020,2,16,35.116782,-85.163809,1,2020,1
1/1/2020,2,16,35.116782,-85.163809,1,2020,1
1/1/2020,2,16,35.234297,-85.199279,1,2020,1
1/1/2020,2,17,35.122999,-85.121616,1,2020,1
1/1/2020,2,17,35.07758,-85.30142,1,2020,1
1/1/2020,2,17,35.071976,-85.035406,1,2020,1
1/1/2020,2,17,35.052211,-85.30963,1,2020,1
1/1/2020,2,18,35.042244,-85.11331,1,2020,1
1/1/2020,2,18,35.117088,-85.164076,1,2020,1
1/1/2020,2,18,35.052925,-85.147887,1,2020,1
1/1/2020,2,18,35.046625,-85.156295,1,2020,1
1/1/2020,2,19,35.045502,-85.187615,1,2020,1
1/1/2020,2,22,35.001516,-85.290968,1,2020,1
1/1/2020,2,22,35.001516,-85.290968,1,2020,1
1/1/2020,2,22,35.001516,-85.290968,1,2020,1
1/1/2020,2,23,35.020356,-85.258224,1,2020,1
1/1/2020,2,23,35.014056,-85.089929,1,2020,1
1/1/2020,2,23,35.057568,-85.206604,1,2020,1
1/1/2020,2,23,35.066104,-85.198864,1,2020,1
1/1/2020,2,23,35.066104,-85.198864,1,2020,1
1/2/2020,3,7,35.108072,-85.240821,1,2020,1
1/2/2020,3,7,35.054079,-85.189339,1,2020,1
1/2/2020,3,8,35.017501,-85.273333,1,2020,1
1/2/2020,3,9,35.027795,-85.313613,1,2020,1
1/2/2020,3,10,35.221273,-85.211925,1,2020,1
1/2/2020,3,10,35.069285,-85.176412,1,2020,1
1/2/2020,3,10,35.094968,-85.159806,1,2020,1
1/2/2020,3,10,35.026238,-85.100497,1,2020,1
1/2/2020,3,10,35.027024,-85.101104,1,2020,1
1/2/2020,3,11,35.005304,-85.281564,1,2020,1
1/2/2020,3,11,35.005544,-85.281442,1,2020,1
1/2/2020,3,11,35.005544,-85.281442,1,2020,1
1/2/2020,3,11,35.005544,-85.281442,1,2020,1
1/2/2020,3,11,35.08413,-85.3177,1,2020,1
1/2/2020,3,12,34.986821,-85.20184,1,2020,1
1/2/2020,3,12,35.05224,-85.149942,1,2020,1
1/2/2020,3,13,35.010378,-85.328461,1,2020,1
1/2/2020,3,13,34.99019,-85.21483,1,2020,1
1/2/2020,3,13,35.083387,-85.157485,1,2020,1
1/2/2020,3,13,35.016395,-85.385899,1,2020,1
1/2/2020,3,13,35.016395,-85.385899,1,2020,1
1/2/2020,3,13,35.016395,-85.385899,1,2020,1
1/2/2020,3,14,35.012538,-85.227338,1,2020,1
1/2/2020,3,14,35.0124,-85.226983,1,2020,1
1/2/2020,3,14,35.012538,-85.227338,1,2020,1
1/2/2020,3,14,35.012538,-85.227338,1,2020,1
1/2/2020,3,14,35.0124,-85.226983,1,2020,1
1/2/2020,3,14,35.0124,-85.226983,1,2020,1
1/2/2020,3,14,35.116283,-85.263069,1,2020,1
1/2/2020,3,14,35.022993,-85.268996,1,2020,1
1/2/2020,3,14,35.084423,-85.195944,1,2020,1
1/2/2020,3,14,35.016958,-85.26894,1,2020,1
1/2/2020,3,14,35.114607,-85.261004,1,2020,1
1/2/2020,3,14,35.031302,-85.1819,1,2020,1
1/2/2020,3,14,35.005132,-85.227148,1,2020,1
1/2/2020,3,14,34.997274,-85.243483,1,2020,1
1/2/2020,3,14,34.997274,-85.243483,1,2020,1
1/2/2020,3,14,34.998151,-85.273287,1,2020,1
1/2/2020,3,15,35.037454,-85.197073,1,2020,1
1/2/2020,3,15,35.221413,-85.16154,1,2020,1
1/2/2020,3,15,34.995454,-85.390058,1,2020,1
1/2/2020,3,15,35.221413,-85.16154,1,2020,1
1/2/2020,3,15,35.221413,-85.16154,1,2020,1
1/2/2020,3,15,35.221413,-85.16154,1,2020,1
1/2/2020,3,15,35.221413,-85.16154,1,2020,1
1/2/2020,3,15,35.053585,-85.306529,1,2020,1
1/2/2020,3,15,35.03109,-85.122343,1,2020,1
1/2/2020,3,15,35.026282,-85.364611,1,2020,1
1/2/2020,3,15,35.016904,-85.26938,1,2020,1
