Asset ID,Asset Type,Material,Latitude,Longitude,Position,Route Type,Route
SUP_10013,SUP-UtilityPole,Wood,35.03922827,-85.31531145,Right,,CARTER ST
SUP_10081,SUP-U-Channel,Steel,35.05351668,-85.32025613,Right,,MOLLY LN
SUP_10088,SUP-U-Channel,Steel,35.05098422,-85.32090446,Right,,MOLLY LN
SUP_10099,SUP-U-Channel,Steel,35.03379103,-85.31605608,Right,,W 21ST ST
SUP_10102,SUP-U-Channel,Steel,35.03542243,-85.31763892,Right,,REGGIE WHITE BLVD
SUP_1012,SUP-U-Channel,Steel,35.04806974,-85.182338,Right,,ARLENA CIR
SUP_10125,SUP-U-Channel,Steel,35.03242017,-85.31159476,Right,,WILLIAMS ST
SUP_10128,SUP-U-Channel,Steel,35.03208908,-85.31073324,Left,,LONG ST
SUP_1013,SUP-U-Channel,Steel,35.04886894,-85.18190949,Right,,ARLENA CIR
SUP_10130,SUP-U-Channel,Steel,35.03000844,-85.30506871,Right,,E 20TH ST
SUP_10159,SUP-U-Channel,Steel,35.0325221,-85.29579557,Right,,CEMETERY AVE
SUP_10168,SUP-U-Channel,Steel,35.03392954,-85.29510581,Right,,E 13TH ST
SUP_10187,SUP-U-Channel,Steel,35.03397506,-85.29546212,Right,,E 13TH ST
SUP_10191,SUP-U-Channel,Steel,35.03237109,-85.29715035,Right,,SLAYTON ST
SUP_10195,SUP-U-Channel,Steel,35.03109782,-85.29692661,Right,,E 16TH ST
SUP_10197,SUP-U-Channel,Steel,35.02993085,-85.29387882,Right,,E 16TH ST
SUP_10198,SUP-U-Channel,Steel,35.03106093,-85.29669065,Right,,E 16TH ST
SUP_10199,SUP-U-Channel,Steel,35.0322252,-85.29737415,Right,,SLAYTON ST
SUP_1020,SUP-U-Channel,Steel,35.04313909,-85.18452313,Right,,W SHEPHERD RD
SUP_10201,SUP-U-Channel,Steel,35.03345234,-85.29571231,Right,,GREEN ST
SUP_10219,SUP-U-Channel,Steel,35.02498868,-85.29969681,Left,,CENTRAL AVE
SUP_10220,SUP-U-Channel,Steel,35.02495005,-85.29976834,Center,,CENTRAL AVE
SUP_10232,SUP-U-Channel,Steel,35.03194571,-85.30360214,Right,,WASHINGTON ST
SUP_10234,SUP-U-Channel,Steel,35.03205218,-85.30369044,Left,,E 18TH ST
SUP_10238,SUP-U-Channel,Steel,35.03214648,-85.30230567,Right,,E 17TH ST
SUP_10240,SUP-U-Channel,Steel,35.03170894,-85.30115052,Right,,E 17TH ST
SUP_10243,SUP-U-Channel,Steel,35.0317192,-85.30093971,Right,,E 17TH ST
SUP_10245,SUP-U-Channel,Steel,35.03216962,-85.30212268,Right,,E 17TH ST
SUP_10250,SUP-U-Channel,Steel,35.0710139,-85.30239698,Right,,SYLVAN ST
SUP_10255,SUP-U-Channel,Steel,35.07335667,-85.30561933,Right,,SYLVAN ST
SUP_10266,SUP-U-Channel,Steel,35.07278022,-85.32202341,Right,,LADD AVE
SUP_10270,SUP-U-Channel,Steel,35.06888278,-85.32429917,Right,,WAYNE AVE
SUP_10276,SUP-U-Channel,Steel,35.02630088,-85.17692667,Right,,NORTHSIDE DR
SUP_10282,SUP-U-Channel,Steel,35.03216419,-85.17375021,Right,,CHISWICK DR
SUP_10303,SUP-U-Channel,Steel,35.02128103,-85.17871692,Right,,AWHILA DR
SUP_10306,SUP-U-Channel,Steel,35.03503224,-85.17245587,Right,,BRIANNA WAY
SUP_10309,SUP-U-Channel,Steel,35.03401706,-85.17701295,Right,,MARY DUPRE DR
SUP_10312,SUP-U-Channel,Steel,35.03344887,-85.17328162,Right,,MARY DUPRE DR
SUP_10324,SUP-U-Channel,Steel,35.02018858,-85.18051709,Right,,MARIJON DR
SUP_10341,SUP-U-Channel,Steel,35.01694158,-85.18275915,Right,,GLENBURY DR
SUP_10342,SUP-U-Channel,Steel,35.01726234,-85.1841872,Right,,GLENBURY DR
SUP_1035,SUP-U-Channel,Steel,35.05653746,-85.20929603,Right,,CAINE LN
SUP_10359,SUP-U-Channel,Steel,35.01901157,-85.18726066,Right,,FRANKLIN DR
SUP_10369,SUP-U-Channel,Steel,35.02059543,-85.18614426,Right,,DANBY DR
SUP_10370,SUP-U-Channel,Steel,35.02131312,-85.18829574,Right,,DANBY DR
SUP_10377,SUP-U-Channel,Steel,35.02225989,-85.18804642,Right,,GREEN RD
SUP_10399,SUP-U-Channel,Steel,35.02012383,-85.19478128,Right,,PROSPERITY LN
SUP_10404,SUP-U-Channel,Steel,35.02162656,-85.19884911,Right,,NELSON RD
SUP_10409,SUP-U-Channel,Steel,35.01804877,-85.19392071,Right,,PROSPERITY LN
SUP_10413,SUP-U-Channel,Steel,35.01924654,-85.19713002,Right,,FRIAR RD
SUP_10414,SUP-U-Channel,Steel,35.02016796,-85.1996325,Right,,FRIAR RD
SUP_10416,SUP-U-Channel,Steel,35.01922741,-85.19734832,Right,,FRIAR RD
SUP_10417,SUP-U-Channel,Steel,35.01831146,-85.19482604,Right,,FRIAR RD
SUP_10418,SUP-Square,Steel,35.01783025,-85.19475188,Right,,WALKER ST
SUP_1042,SUP-U-Channel,Steel,35.04063912,-85.18780283,Right,,SHAW AVE
SUP_10425,SUP-U-Channel,Steel,35.02059501,-85.19644284,Right,,CENTRAL DR
SUP_10428,SUP-U-Channel,Steel,35.02073904,-85.19649243,Right,,CENTRAL DR
SUP_10431,SUP-U-Channel,Steel,35.016759,-85.19863743,Right,,CENTRAL DR
SUP_10435,SUP-U-Channel,Steel,35.01818686,-85.19925012,Right,,MELROSE DR
SUP_10436,SUP-U-Channel,Steel,35.01628771,-85.20041841,Right,,MELROSE DR
SUP_1044,SUP-U-Channel,Steel,35.04093666,-85.18835573,Right,,SHAW AVE
SUP_10444,SUP-U-Channel,Steel,35.015826,-85.2022498,Right,,CHICKAMAUGA RD
SUP_10445,SUP-U-Channel,Steel,35.01785427,-85.20527385,Right,,E BRAINERD RD
SUP_10450,SUP-U-Channel,Steel,35.01872824,-85.2006471,Right,,AIKEN RD
SUP_10453,SUP-U-Channel,Steel,35.0177986,-85.19812109,Right,,AIKEN RD
SUP_10454,SUP-U-Channel,Steel,35.01874505,-85.20043492,Right,,AIKEN RD
SUP_10455,SUP-U-Channel,Steel,35.01977628,-85.20227262,Right,,AIKEN RD
SUP_10469,SUP-U-Channel,Steel,35.02119229,-85.19775585,Right,,LAVERNE DR
SUP_10471,SUP-U-Channel,Steel,35.02106471,-85.19771798,Right,,LAVERNE DR
SUP_10472,SUP-U-Channel,Steel,35.02208811,-85.19578275,Right,,WHIRLAWAY DR
SUP_10474,SUP-U-Channel,Steel,35.02027387,-85.19519908,Right,,PERRY ST
SUP_10477,SUP-U-Channel,Steel,35.02156048,-85.19439745,Right,,PERRY ST
SUP_10478,SUP-U-Channel,Steel,35.022126,-85.19559757,Right,,WHIRLAWAY DR
SUP_10491,SUP-U-Channel,Steel,35.02285653,-85.19523301,Right,,CHARLES DR
SUP_10492,SUP-U-Channel,Steel,35.02360824,-85.19619043,Right,,CHARLES DR
SUP_10496,SUP-U-Channel,Steel,35.0248997,-85.19411177,Right,,JIM SNOW WAY
SUP_10504,SUP-Square,Steel,35.0250217,-85.18988791,Right,,CRAWFORD ST
SUP_10505,SUP-U-Channel,Steel,35.02651345,-85.18910247,Right,,CRAWFORD ST
SUP_10506,SUP-U-Channel,Steel,35.0260092,-85.18765134,Right,,VAN NESS RD
SUP_10517,SUP-U-Channel,Steel,35.02416717,-85.18755944,Right,,HUNT DR
SUP_10519,SUP-U-Channel,Steel,35.02714132,-85.19048871,Right,,VAN NESS RD
SUP_10545,SUP-U-Channel,Steel,35.03252542,-85.17926807,Right,,CUSTOMER DELIGHT DR
SUP_10554,SUP-U-Channel,Steel,35.03261391,-85.17373432,Right,,DUPRE RD
SUP_10559,SUP-U-Channel,Steel,35.04310792,-85.16504962,Right,,ROBINSON DR
SUP_10561,SUP-Square,Steel,35.04374136,-85.16401613,Right,,PARK DR
SUP_10568,SUP-U-Channel,Steel,35.04442611,-85.16171831,Right,,PARK DR
SUP_10579,SUP-U-Channel,Steel,35.0439098,-85.16023642,Right,,CENTER ST
SUP_10594,SUP-U-Channel,Steel,35.04283174,-85.15728164,Right,,OVERNITE DR
SUP_106,SUP-U-Channel,Steel,35.05233004,-85.13865631,Right,,WALKER RD
SUP_10613,SUP-U-Channel,Steel,35.06303896,-85.29487256,Right,,DENNIS RD
SUP_10614,SUP-U-Channel,Steel,35.06387998,-85.295301,Right,,DENNIS RD
SUP_10616,SUP-U-Channel,Steel,35.06312323,-85.29502186,Right,,DENNIS RD
SUP_10621,SUP-U-Channel,Steel,35.06481015,-85.29266509,Right,,YOUNG AVE
SUP_10626,SUP-U-Channel,Steel,35.06626864,-85.28846524,Right,,YOUNG AVE
SUP_10627,SUP-U-Channel,Steel,35.06495456,-85.29256846,Right,,YOUNG AVE
SUP_10628,SUP-U-Channel,Steel,35.06361056,-85.29645195,Right,,YOUNG AVE
SUP_10629,SUP-U-Channel,Steel,35.06436118,-85.2963786,Right,,MCFARLAND AVE
SUP_10633,SUP-U-Channel,Steel,35.06439873,-85.29423192,Right,,CARROLL LN
SUP_10639,SUP-U-Channel,Steel,35.06519598,-85.29148192,Right,,FAIRHILLS DR
SUP_10640,SUP-U-Channel,Steel,35.0642799,-85.29407558,Right,,CARROLL LN
SUP_10641,SUP-U-Channel,Steel,35.06513416,-85.29450429,Right,,CARROLL LN 
