Asset ID,Asset Type,Material,Latitude,Longitude,Position,Route Type,Route
SUP_13994,SUP-U-Channel,Steel,35.15753368,-85.26430703,Right,,LYNNBROOK CIR
SUP_1405,SUP-U-Channel,Steel,35.04486749,-85.16293454,Right,,SHALLOWFORD RD
SUP_14143,SUP-U-Channel,Steel,35.04082058,-85.25617482,Right,,CITICO AVE
SUP_1436,SUP-U-Channel,Steel,35.01327242,-85.19759052,Right,,BASS RD
SUP_14440,SUP-Square,Steel,35.02269172,-85.17003161,Right,,GREENWAY DR
SUP_14468,SUP-U-Channel,Steel,35.02714348,-85.16298452,Right,,VERONA DR
SUP_14477,SUP-U-Channel,Steel,35.0252929,-85.1656012,Right,,ESTRELLITA CIR
SUP_14593,SUP-U-Channel,Steel,35.17364389,-85.25923686,Right,,BROWNTOWN RD
SUP_14676,SUP-U-Channel,Steel,35.05700215,-85.26320803,Right,,N ORCHARD KNOB AVE
SUP_14684,SUP-U-Channel,Steel,35.05721811,-85.26322263,Right,,N ORCHARD KNOB AVE
SUP_1485,SUP-U-Channel,Steel,35.05382997,-85.21586926,Right,,CREEKWOOD TERRACE LN
SUP_14887,SUP-U-Channel,Steel,35.04396092,-85.27378158,Right,,N HICKORY ST
SUP_149,SUP-U-Channel,Steel,35.04063624,-85.13507653,Right,,LENNOX CT
SUP_14931,SUP-U-Channel,Steel,35.05733365,-85.26195036,Right,,ROANOKE AVE
SUP_15004,SUP-U-Channel,Steel,35.05408546,-85.27038269,Right,,WILSON ST
SUP_151,SUP-U-Channel,Steel,35.0410378,-85.13630271,Right,,ASHLEY OAKS DR
SUP_15152,SUP-U-Channel,Steel,35.0397453,-85.26050427,Right,,HEALTHY ST
SUP_15164,SUP-U-Channel,Steel,35.03965983,-85.26074773,Right,,DE SALES AVE
SUP_15379,SUP-U-Channel,Steel,35.03836756,-85.26246328,Right,,SHADY LN
SUP_15383,SUP-U-Channel,Steel,35.0374405,-85.26244554,Right,,KILMER ST
SUP_15398,SUP-U-Channel,Steel,35.03861589,-85.26244435,Right,,KILMER ST
SUP_154,SUP-U-Channel,Steel,35.04018305,-85.13429366,Right,,ASHLEY OAKS DR
SUP_15404,SUP-U-Channel,Steel,35.04007042,-85.2624371,Right,,PARKWOOD AVE
SUP_15466,SUP-U-Channel,Steel,35.0577945,-85.25793134,Right,,DODSON AVE
SUP_15642,SUP-U-Channel,Steel,35.05790759,-85.25322463,Right,,MCCRAE ST
SUP_15698,SUP-U-Channel,Steel,35.05728904,-85.26185118,Right,,ROANOKE AVE
SUP_157,SUP-U-Channel,Steel,35.04235989,-85.13285981,Right,,LAURELTON CREEK LN
SUP_15811,SUP-U-Channel,Steel,35.05811803,-85.257879,Right,,DODSON AVE
SUP_15819,SUP-U-Channel,Steel,35.06010867,-85.25407326,Right,,INFANTRY RD
SUP_15983,SUP-U-Channel,Steel,35.02289716,-85.25861611,Right,,S SEMINOLE DR
SUP_15985,SUP-U-Channel,Steel,35.0218304,-85.26035855,Right,,SIOUX TRL
SUP_16035,SUP-U-Channel,Steel,35.02269112,-85.25849659,Right,,NAVAJO DR
SUP_1607,SUP-U-Channel,Steel,35.01774499,-85.2061776,Right,,LEE HWY
SUP_16095,SUP-U-Channel,Steel,35.0259948,-85.25126582,Right,,ROSEMONT DR
SUP_1622,SUP-U-Channel,Steel,35.01668634,-85.19308899,Right,,MONYA LN
SUP_16256,SUP-SpanWire,Steel,35.01367467,-85.25198769,Right,,S GERMANTOWN RD
SUP_1629,SUP-U-Channel,Steel,35.01889437,-85.18918363,Right,,E BRAINERD RD
SUP_16368,SUP-U-Channel,Steel,35.01129983,-85.23468996,Right,,AMHURST AVE
SUP_16369,SUP-U-Channel,Steel,35.01427058,-85.23303765,Right,,AMHURST AVE
SUP_16379,SUP-Square,Steel,35.00855542,-85.23558969,Right,,S PARKDALE AVE
SUP_16386,SUP-U-Channel,Steel,35.00888609,-85.23664249,Right,,ROCKFORD LN
SUP_16395,SUP-U-Channel,Steel,35.00986408,-85.2361122,Right,,S SWEETBRIAR AVE
SUP_16396,SUP-U-Channel,Steel,35.00995706,-85.23618753,Right,,S SWEETBRIAR AVE
SUP_16398,SUP-Square,Steel,35.00925619,-85.2376053,Right,,S SWEETBRIAR AVE
SUP_16400,SUP-Square,Steel,35.00951032,-85.23811348,Right,,MARLBORO AVE
SUP_16436,SUP-U-Channel,Steel,35.01221043,-85.2403436,Right,,BROOKFIELD AVE
SUP_16439,SUP-U-Channel,Steel,35.01181493,-85.23983518,Right,,BROOKFIELD AVE
SUP_16441,SUP-Square,Steel,35.01031116,-85.24052194,Right,,BROOKFIELD AVE
SUP_1645,SUP-U-Channel,Steel,35.02015409,-85.183475,Right,,MARIMONT DR
SUP_16464,SUP-U-Channel,Steel,35.01302718,-85.24774736,Right,,ORIOLE DR
SUP_16475,SUP-U-Channel,Steel,35.01473845,-85.25145778,Right,,N TERRACE
SUP_16513,SUP-U-Channel,Steel,35.0182321,-85.2486706,Right,,CONNER ST
SUP_1663,SUP-U-Channel,Steel,35.01689369,-85.19722077,Right,,OSBORNE DR
SUP_16642,SUP-U-Channel,Steel,35.01055028,-85.23633454,Right,,S MAYFAIR AVE
SUP_16645,SUP-U-Channel,Steel,35.01103205,-85.2367369,Right,,MAYFAIR AVE
SUP_16690,SUP-U-Channel,Steel,35.01385123,-85.23493723,Right,,LONSDALE DR
SUP_16701,SUP-U-Channel,Steel,35.01401991,-85.23459071,Right,,LONSDALE DR
SUP_16702,SUP-U-Channel,Steel,35.01390359,-85.2358211,Right,,LONSDALE DR
SUP_16729,SUP-U-Channel,Steel,35.01204442,-85.22943956,Right,,SUNBEAM AVE
SUP_16740,SUP-Square,Steel,35.01044437,-85.23252001,Right,,MAYFAIR AVE
SUP_16745,SUP-U-Channel,Steel,35.01157526,-85.23594631,Right,,MAYFAIR AVE
SUP_16746,SUP-U-Channel,Steel,35.01133882,-85.236301,Right,,MAYFAIR AVE
SUP_16822,SUP-U-Channel,Steel,35.00380696,-85.14949398,Right,,E BRAINERD RD
SUP_16878,SUP-U-Channel,Steel,34.99728735,-85.13234334,Right,,SHADY FORK RD
SUP_169,SUP-U-Channel,Steel,35.05538833,-85.14171475,Right,,SONIA LN
SUP_16938,SUP-U-Channel,Steel,35.08286172,-85.28974307,Right,,MCDADE LN
SUP_16961,SUP-U-Channel,Steel,35.09195483,-85.28530393,Right,,RIVER HILLS CIR
SUP_16962,SUP-U-Channel,Steel,35.09179779,-85.28503267,Right,,RIVER HILLS CIR
SUP_16966,SUP-U-Channel,Steel,35.09142427,-85.2847419,Right,,RIVER HILLS CIR
SUP_16968,SUP-Square,Steel,35.09206506,-85.2851682,Right,,RIVER HILLS DR
SUP_1697,SUP-U-Channel,Steel,35.03413139,-85.16790048,Right,,ELMAR DR
SUP_1698,SUP-U-Channel,Steel,35.03221833,-85.16921325,Right,,ELMAR DR
SUP_17092,SUP-U-Channel,Steel,35.10127302,-85.28710752,Right,,HAYWOOD AVE
SUP_1710,SUP-U-Channel,Steel,35.03478541,-85.16964438,Right,,PAYNE RD
SUP_17162,SUP-U-Channel,Steel,35.10155753,-85.28125772,Right,,OZARK RD
SUP_17170,SUP-U-Channel,Steel,35.10229761,-85.28522865,Right,,HAYWOOD PL
SUP_17218,SUP-Square,Steel,35.10129855,-85.2874362,Right,,OZARK CIR
SUP_17248,SUP-U-Channel,Steel,35.09189844,-85.28727469,Right,,FOLTS DR
SUP_17258,SUP-U-Channel,Steel,35.08339672,-85.29689268,Right,,CRESTWOOD DR
SUP_17261,SUP-U-Channel,Steel,35.08356211,-85.29687036,Right,,CRESTWOOD DR
SUP_17262,SUP-U-Channel,Steel,35.0834943,-85.29683824,Right,,CRESTWOOD DR
SUP_17276,SUP-U-Channel,Steel,35.08426932,-85.29823809,Right,,AUBURNDALE AVE
SUP_17347,SUP-U-Channel,Steel,35.1107243,-85.32340019,Right,,N RUNYAN DR
SUP_17366,SUP-U-Channel,Steel,35.0833808,-85.29496727,Right,,FERNWAY CIR
SUP_17367,SUP-U-Channel,Steel,35.08344838,-85.29445521,Right,,FERNWAY CIR
SUP_17369,SUP-U-Channel,Steel,35.08456951,-85.29204146,Right,,FERNWAY RD
SUP_17381,SUP-U-Channel,Steel,35.10718462,-85.32614365,Right,,MOUNTAIN CREEK RD
SUP_17382,SUP-U-Channel,Steel,35.10722745,-85.32621504,Center,,MOUNTAIN CREEK RD
SUP_17405,SUP-U-Channel,Steel,35.11948443,-85.31469186,Right,,VALLEY TRL
SUP_1758,SUP-UtilityPole,Wood,35.01407249,-85.188601,Right,,PREMIER DR
SUP_17594,SUP-U-Channel,Steel,35.06070491,-85.30283195,Right,,WB ON RAMP FRAZIER @ BART
SUP_1760,SUP-UtilityPole,Wood,35.01364553,-85.18871871,Right,,PREMIER DR
SUP_17607,SUP-U-Channel,Steel,35.10745619,-85.32607506,Center,,MOUNTAIN CREEK RD
SUP_17619,SUP-U-Channel,Steel,35.10774677,-85.34143825,Right,,BALMORAL DR
SUP_1765,SUP-U-Channel,Steel,35.01376032,-85.18831376,Right,,POINTE CENTRE DR
SUP_17671,SUP-U-Channel,Steel,35.10748704,-85.32631976,Right,,W RD
SUP_17672,SUP-U-Channel,Steel,35.10748109,-85.32625195,Center,,W RD
SUP_17767,SUP-U-Channel,Steel,35.09846566,-85.32838309,Right,,SIGNAL MOUNTAIN RD
SUP_17768,SUP-U-Channel,Steel,35.09830208,-85.32821094,Right,,MOUNTAIN CREEK RD
SUP_1782,SUP-U-Channel,Steel,35.0166436,-85.18210554,Right,,E BRAINERD RD
SUP_17964,SUP-U-Channel,Steel,35.00823372,-85.27294083,Right,,15TH AVE
SUP_18009,SUP-U-Channel,Steel,35.00725581,-85.27966038,Right,,E 30TH ST
SUP_18044,SUP-U-Channel,Steel,35.0141021,-85.27437927,Right,,E 24TH ST
SUP_18064,SUP-U-Channel,Steel,35.01111439,-85.26951992,Right,,OLD RINGGOLD RD
SUP_18069,SUP-U-Channel,Steel,35.00928554,-85.27175805,Right,,E 29TH ST
SUP_18075,SUP-Square,Steel,35.00939182,-85.27147441,Center,,RINGGOLD RD
SUP_18210,SUP-U-Channel,Steel,35.14341435,-85.26164124,Right,,RANDALL ST
SUP_18226,SUP-U-Channel,Steel,35.09841002,-85.33336235,Right,,NORMAN LN
SUP_1833,SUP-Square,Steel,35.06725092,-85.2878886,Center,,BARTON AVE
SUP_18365,SUP-U-Channel,Steel,35.13204936,-85.26230753,Right,,FOREST WOOD LN
SUP_18436,SUP-U-Channel,Steel,35.13008399,-85.24582495,Left,,EXIT RAMP 153 HYW SB
SUP_18437,SUP-U-Channel,Steel,35.13007328,-85.24591537,Right,,HIXSON PIKE
SUP_18479,SUP-U-Channel,Steel,35.00428439,-85.31674333,Right,,W 42ND ST
SUP_18485,SUP-U-Channel,Steel,35.00525774,-85.31330189,Right,,KIRKLAND AVE
SUP_1861,SUP-U-Channel,Steel,35.06527947,-85.28632584,Right,,DORCHESTER RD
SUP_18621,SUP-U-Channel,Steel,35.00360842,-85.31172191,Right,,HUGHES AVE
SUP_18837,SUP-Square,Steel,35.05175144,-85.23351805,Right,,PARKWAY DR
SUP_18862,SUP-U-Channel,Steel,35.0580375,-85.22737398,Right,,LEANN CIR
SUP_18863,SUP-U-Channel,Steel,35.05819811,-85.22740896,Right,,LEANN CIR
SUP_18876,SUP-U-Channel,Steel,35.05218244,-85.24271554,Right,,CAMBRIDGE DR
SUP_18962,SUP-Round,Wood,35.08376304,-85.26019684,Right,,BELLE ARBOR AVE
SUP_18963,SUP-Round,Wood,35.08442606,-85.25995032,Right,,BELLE ARBOR AVE
SUP_19050,SUP-U-Channel,Steel,35.07338056,-85.27132529,Right,,RIVERPORT RD
SUP_19052,SUP-U-Channel,Steel,35.07896665,-85.27126517,Right,,RIVERPORT RD
SUP_19054,SUP-U-Channel,Steel,35.08108381,-85.27055964,Right,,RIVERPORT RD
SUP_19081,SUP-U-Channel,Steel,35.08279919,-85.26983324,Right,,RIVERSIDE LN
SUP_19083,SUP-Square,Wood,35.08304506,-85.27034373,Right,,RIVERSIDE LN
SUP_19085,SUP-U-Channel,Steel,35.08125834,-85.27041983,Right,,RIVERPORT RD
SUP_19088,SUP-U-Channel,Steel,35.0790547,-85.27140189,Right,,RIVERPORT RD
SUP_19090,SUP-U-Channel,Steel,35.07338914,-85.2714839,Right,,RIVERPORT RD
SUP_19141,SUP-SignalMast,Steel,35.09051765,-85.25914618,Right,,AMNICOLA HWY
SUP_19181,SUP-Round,Steel,35.09455316,-85.2414027,Right,,S CREEK RD
SUP_19183,SUP-U-Channel,Steel,35.09441371,-85.24132187,Right,,S CREEK RD
SUP_19336,SUP-U-Channel,Steel,35.08955129,-85.18718752,Right,,OAKWOOD DR
SUP_19370,SUP-U-Channel,Steel,35.10461605,-85.1611781,Right,,N HICKORY VALLEY RD
SUP_19373,SUP-U-Channel,Steel,35.10446441,-85.15966807,Right,,HWY 58
SUP_19384,SUP-U-Channel,Steel,35.10623138,-85.15324342,Center,,HWY 58
SUP_19440,SUP-U-Channel,Steel,35.11407997,-85.13278651,Right,,HOLDER RD
SUP_19479,SUP-U-Channel,Steel,35.10721114,-85.14906345,Center,,HWY 58
SUP_19482,SUP-U-Channel,Steel,35.10714814,-85.14931988,Center,,HWY 58
SUP_19509,SUP-U-Channel,Steel,35.09830124,-85.18820364,Right,,BAL HARBOR DR
SUP_19516,SUP-U-Channel,Steel,35.09646648,-85.18841059,Right,,HARBOR HILLS LN
SUP_19579,SUP-U-Channel,Steel,35.09191723,-85.21212484,Right,,HARRISON PIKE
SUP_19631,SUP-U-Channel,Steel,35.09097359,-85.20394372,Right,,LAKE VISTA LN
SUP_19638,SUP-U-Channel,Steel,35.09477362,-85.20539915,Right,,LAKE VISTA DR
SUP_19668,SUP-U-Channel,Steel,35.08789891,-85.19401662,Right,,SABLE DR
SUP_19678,SUP-U-Channel,Steel,35.10491467,-85.17329537,Right,,ROTARY DR
SUP_19706,SUP-U-Channel,Steel,35.09490299,-85.17922326,Right,,ARBOR LN
SUP_19744,SUP-U-Channel,Steel,35.08483845,-85.20648692,Right,,JAMES LN
