"","1","2","3","4"
"369",2,0,0,0
"370",28,1,10,24
"371",27,7,32,86
"372",27,3,19,65
"373",1,0,0,0
"374",2,0,0,2
"375",0,1,0,0
"376",1,1,3,1
"377",2,0,0,1
"378",0,0,0,1
"385",0,0,1,5
"386",1,1,0,0
"387",0,1,0,0
"389",2,3,0,5
"390",1,1,0,0
"391",8,6,1,8
"392",10,2,2,14
"393",0,1,1,1
"394",4,0,1,2
"395",2,1,1,7
"396",1,0,2,2
"397",4,1,4,6
"398",0,0,0,1
"401",3,0,4,7
"402",3,1,0,0
"403",6,1,2,3
"404",4,2,1,2
"405",1,0,0,0
"406",0,0,1,1
"408",2,0,1,2
"409",0,0,0,1
"410",3,3,1,5
"411",10,1,2,2
"412",2,0,0,1
"413",5,2,1,4
"414",12,2,5,12
"415",13,9,14,13
"416",44,10,22,94
"417",28,2,19,54
"418",2,0,1,2
"419",3,0,3,1
"420",2,1,2,4
"421",1,0,1,1
"422",2,0,0,0
"423",0,0,0,1
"424",1,0,0,0
"425",1,0,0,3
"427",0,0,0,2
"433",3,1,1,4
"436",1,1,0,0
"437",2,1,0,4
"438",1,0,0,1
"439",5,0,0,0
"440",4,0,0,4
"441",0,1,0,0
"442",3,0,0,4
"443",1,0,1,0
"445",1,0,0,0
"446",6,2,1,5
"447",0,0,0,1
"448",0,2,0,3
"449",4,1,1,3
"450",2,2,2,1
"452",2,0,0,1
"454",0,1,0,0
"455",7,5,1,9
"456",3,3,1,4
"457",3,2,2,3
"458",2,0,1,1
"459",6,1,1,6
"460",40,7,18,29
"461",20,10,10,27
"462",10,1,3,8
"463",1,0,0,0
"464",6,0,4,2
"466",1,0,0,0
"467",1,0,1,0
"468",0,0,0,2
"472",1,0,0,0
"478",0,0,1,0
"479",4,2,5,5
"480",0,0,1,0
"481",3,0,0,0
"484",2,1,2,0
"485",4,0,1,4
"486",1,1,0,1
"487",0,2,2,0
"488",1,3,0,2
"489",0,0,0,1
"491",0,1,0,3
"493",0,0,0,1
"494",5,0,0,2
"495",0,2,0,8
"496",0,1,1,0
"498",1,2,0,0
"499",0,3,0,6
"500",4,1,0,8
"504",4,0,1,0
"505",3,0,0,0
"506",11,3,4,11
"507",1,1,4,1
"508",1,0,0,1
"509",10,6,5,9
"510",2,0,1,4
"511",0,1,0,6
"512",4,1,1,2
"513",1,2,3,1
"515",1,0,1,1
"517",1,0,0,0
"523",1,0,0,0
"524",0,0,0,1
"525",2,0,1,0
"526",1,0,0,0
"527",3,1,0,3
"528",1,0,2,0
"529",5,0,0,3
"530",5,1,1,1
"531",0,0,2,3
"532",5,0,1,2
"533",2,1,3,1
"534",0,0,1,0
"536",2,0,0,2
"537",3,0,2,2
"539",1,0,0,0
"541",3,1,0,1
"542",7,0,1,7
"543",3,1,1,0
"544",5,3,4,4
"545",7,5,1,4
"547",0,0,2,0
"549",3,0,0,1
"550",0,0,1,1
"551",0,0,0,4
"552",5,4,6,11
"553",4,1,0,1
"554",0,0,0,2
"555",3,2,1,6
"556",2,1,0,4
"557",0,0,0,1
"558",2,0,0,1
"559",2,0,0,0
"560",0,0,0,1
"563",0,0,1,1
"569",1,0,3,0
"570",0,1,0,1
