Index,GridBlock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
44,61,0,0,0,0,0,0,1,0,0,2,0,2,3,0,0,3,0,1,1,0,0,1,0,0
45,62,0,0,0,0,0,0,1,0,2,0,0,2,0,1,4,3,5,3,0,0,1,0,0,0
46,63,0,0,2,0,0,0,3,7,1,0,0,4,1,2,5,2,1,4,10,1,1,2,0,0
47,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,71,0,0,0,0,0,0,1,2,3,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
49,72,0,0,0,3,0,0,0,7,1,7,2,1,4,0,1,1,8,6,1,1,0,1,0,0
50,73,0,0,0,1,0,0,4,2,0,8,1,2,1,3,4,1,3,1,3,1,2,0,0,0
51,74,0,0,0,0,1,0,0,9,1,2,1,2,2,5,0,3,6,8,3,0,3,1,0,0
52,75,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0
53,76,0,0,0,0,0,0,0,0,0,1,0,2,3,1,5,1,1,3,0,1,0,1,0,0
54,77,0,0,0,0,1,0,1,0,7,1,1,1,1,0,0,2,5,6,2,1,1,0,0,0
55,78,0,0,0,0,3,0,0,4,5,1,0,0,0,4,1,7,1,2,2,0,0,3,0,0
56,79,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0
58,81,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0
59,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
61,84,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0
63,86,0,0,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,3,0,0,1,0,0
64,87,1,0,3,1,0,1,7,10,17,0,12,8,11,8,6,2,4,4,3,3,1,1,1,0
65,88,0,0,1,0,0,0,3,3,4,0,2,2,3,1,2,1,1,1,0,0,0,0,0,0
66,89,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
67,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
68,97,0,0,1,0,0,0,2,1,5,2,0,5,3,1,0,3,1,2,1,0,0,0,0,0
69,98,0,0,0,0,0,0,0,4,1,2,0,2,0,0,2,3,11,0,2,0,1,0,0,1
70,99,2,0,0,0,0,0,0,2,6,2,0,2,4,3,0,4,6,2,1,1,0,1,0,0
71,100,4,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,2,0,0,0,0,0,0
