"","1","2","3","4"
"554",0,1,0,1
"555",1,0,0,0
"556",0,0,1,0
"557",1,0,0,1
"559",1,0,0,0
"564",0,0,0,1
"570",0,0,0,2
"571",0,0,0,1
"573",0,0,1,1
"576",0,0,0,3
"579",1,0,1,0
"582",0,0,0,1
"584",0,0,0,1
"585",0,1,0,2
"586",2,0,0,3
"588",1,2,1,0
"589",1,1,6,8
"592",2,0,0,0
"593",0,0,3,1
"594",0,1,0,0
"597",0,0,0,1
"598",0,1,0,1
"599",2,3,0,3
"604",0,0,0,2
"609",0,0,0,1
"611",0,0,1,0
"616",0,0,0,1
"617",0,0,0,2
"618",0,0,3,0
"619",0,0,0,1
"622",3,1,3,1
"623",0,0,1,2
"624",0,0,0,1
"626",0,0,0,1
"627",0,0,0,1
"628",0,0,0,2
"630",2,0,0,0
"631",0,0,0,1
"632",1,1,2,8
"633",1,0,0,0
"634",0,0,1,0
"635",1,0,0,0
"637",0,0,1,0
"638",1,0,0,0
"641",0,2,0,1
"644",0,0,0,1
"647",0,1,0,0
"650",0,0,0,1
"653",0,0,1,0
"660",1,0,0,0
"662",0,0,0,4
"663",0,1,0,0
"666",4,0,1,1
"671",1,0,0,1
"672",1,0,5,0
"673",0,0,1,5
"681",0,1,0,0
"682",0,1,0,1
"683",1,0,0,0
"684",1,0,0,1
"691",1,0,0,0
"692",1,0,0,1
"699",0,0,0,2
"700",0,0,1,4
"701",3,1,0,0
"702",0,0,1,0
"703",0,0,1,0
"704",1,0,0,0
"705",2,0,1,0
"711",0,1,0,3
"720",1,2,0,4
"721",0,0,2,1
"723",1,0,0,1
"725",0,0,3,0
"726",0,0,2,1
"728",1,0,0,2
"731",0,0,1,0
"732",1,0,0,0
"735",0,1,0,1
"736",2,0,5,4
"737",1,0,4,16
"738",0,0,0,3
"745",0,0,0,1
"747",0,1,0,0
"748",0,0,3,1
"755",1,1,0,2
"756",0,4,0,1
"760",0,0,1,0
"761",0,0,1,2
"765",0,0,0,3
"766",0,0,0,3
"767",1,0,0,0
"768",0,1,5,12
"769",3,0,1,6
"773",0,0,1,0
"774",0,0,0,1
"775",0,0,0,1
"780",1,2,0,1
"781",0,0,1,0
"789",2,0,0,0
"793",0,0,1,0
"794",0,0,1,1
"798",0,0,2,3
"799",1,1,8,6
"800",0,0,1,0
"801",0,0,2,0
"810",1,0,0,0
"811",0,0,0,1
"813",0,0,1,1
"822",2,3,1,2
"825",0,0,1,1
"828",0,0,1,0
"829",1,0,1,1
"832",1,0,0,1
"841",0,0,0,2
"849",0,0,1,0
"850",0,0,0,1
"851",5,1,3,2
"852",0,1,1,8
"853",0,0,0,3
"854",1,0,0,0
"857",0,0,1,0
"868",1,2,0,4
