,Train_Acc,Train_Loss,Test_Acc,Test_Loss,AUC,TN,FP,FN,TP,Y_test,Y_pred
0,92.52352722515684,0.07314917982695869,92.54871818058508,0.0704005294594518,0.9396737794385972,51981.0,1077.0,3867.0,9426.0,,
1,92.725053014251,0.060108955151093525,92.69792467332823,0.05796195106809985,0.9406645812334998,51829.0,1229.0,3616.0,9677.0,,
2,93.08289038237862,0.058210272827358675,93.09430151768623,0.056176623968185915,0.9446736114675198,51888.0,1170.0,3412.0,9881.0,,
3,93.08999507150743,0.05664914751167674,93.12142997091229,0.05469696592925972,0.9450731535097672,51874.0,1184.0,3380.0,9913.0,,
4,93.189466558155,0.056225685503882315,93.19527964913868,0.0542748989192687,0.945783076952642,51853.0,1205.0,3310.0,9983.0,,
5,93.21917899806736,0.05582083603078927,93.21788669349371,0.053919082812222505,0.9460098343627664,51940.0,1118.0,3382.0,9911.0,,
6,93.29410451753914,0.055385751807299065,93.29475064430076,0.053489152206661686,0.9468996273662241,52021.0,1037.0,3412.0,9881.0,,
7,93.35417475625168,0.054876085685367226,93.36407891365616,0.053018975236599146,0.9474898315396838,52024.0,1034.0,3369.0,9924.0,,
8,93.37613623582321,0.05453645820471752,93.4047715934952,0.05265945774171642,0.9479819937443528,51986.0,1072.0,3304.0,9989.0,,
9,93.53890718001686,0.05388934178478606,93.56603517656102,0.05205424124875017,0.9490323297805104,52064.0,994.0,3275.0,10018.0,,
10,93.56797298235537,0.05331120038932554,93.60069931123873,0.05145324266092597,0.9495529522151108,52066.0,992.0,3254.0,10039.0,,
11,93.61447907926943,0.05296536881994005,93.63385630962608,0.05114575763607515,0.9500288482917528,52049.0,1009.0,3215.0,10078.0,,
12,93.69973961737749,0.05245768196828315,93.71674880559448,0.05066654777585487,0.9505245288574328,52089.0,969.0,3200.0,10093.0,,
13,93.7191164401778,0.05208956566801147,93.72127021446549,0.05031247164219746,0.950723167736196,52044.0,1014.0,3152.0,10141.0,,
14,93.7701447405554,0.0519043932617011,93.78004852978854,0.050141160870237185,0.95091678960088,52023.0,1035.0,3092.0,10201.0,,
15,93.76562313321915,0.051657240141519435,93.75894862172386,0.049929116090586236,0.9509874559845808,52134.0,924.0,3217.0,10076.0,,
16,93.94841711779513,0.05096311864419612,93.93377643140268,0.04928623288691218,0.9514218775110326,52095.0,963.0,3062.0,10231.0,,
17,93.98523478228829,0.050184325958880484,93.89911229672501,0.04862284990710824,0.9512881074829556,52158.0,900.0,3148.0,10145.0,,
18,94.02721891951799,0.0500128153704405,93.97145483866106,0.0484601680782634,0.951175443367436,52177.0,881.0,3119.0,10174.0,,
19,94.06274382922355,0.04977488823764148,94.0121475185001,0.048260789708713926,0.9514161331468834,52099.0,959.0,3014.0,10279.0,,
20,94.11570900782543,0.04955451420264437,94.0242046088228,0.04807897301001885,0.9515338653185924,52083.0,975.0,2990.0,10303.0,,
21,94.12668966185345,0.04939676931884143,94.0422902443068,0.04793527948168156,0.9515092020545232,52080.0,978.0,2975.0,10318.0,,
22,94.17384163566696,0.049215360077711205,94.06489728866181,0.04781989004528157,0.9514459502462438,52127.0,931.0,3007.0,10286.0,,
23,94.20419947181166,0.04899177696303656,94.10408283221052,0.04764896432036582,0.9516886689495704,52185.0,873.0,3039.0,10254.0,,
24,94.25328928399011,0.04857744178309269,94.19451100963059,0.04730908019869619,0.9521709927875032,52034.0,1024.0,2828.0,10465.0,,
25,94.27848029739869,0.04812645297308807,94.23520368946964,0.04693490754464017,0.9524709750671002,52216.0,842.0,2983.0,10310.0,,
26,94.31852700458988,0.04793620125810154,94.21862519027596,0.04672702254547779,0.9529046479759364,52051.0,1007.0,2829.0,10464.0,,
27,94.34436383422256,0.047754004021683207,94.272882096728,0.04658814044423986,0.9531636675442818,52062.0,996.0,2804.0,10489.0,,
28,94.37988873226273,0.04757685493035193,94.32713900318006,0.046433059310705266,0.9534787129177262,52143.0,915.0,2849.0,10444.0,,
29,94.41799787874778,0.04744108338595685,94.35125318382539,0.046306371330626366,0.9535210431321796,52148.0,910.0,2838.0,10455.0,,
30,94.4212274125848,0.04730461847082963,94.34371750237374,0.04619995278609223,0.9539988384006708,52130.0,928.0,2825.0,10468.0,,
31,94.47871301785679,0.047177466155365305,94.34371750237374,0.04607477520972182,0.95417031933223,52037.0,1021.0,2732.0,10561.0,,
32,94.47160888758766,0.047010837662469655,94.37687450076108,0.04596116949411855,0.9546558956868499,52115.0,943.0,2788.0,10505.0,,
33,94.46579619961746,0.04690822059061472,94.41907431689049,0.0458123192593022,0.9548423603134188,52229.0,829.0,2874.0,10419.0,,
34,94.481297857809,0.04681128374928405,94.44318849753584,0.045760527025422514,0.9550477941730992,52236.0,822.0,2865.0,10428.0,,
35,94.50971804573813,0.04674483877384072,94.43866708866484,0.045666724148452666,0.9551595714319544,52204.0,854.0,2836.0,10457.0,,
36,94.55945389231778,0.04654452818392755,94.47031695076186,0.045505651803595004,0.9556252732649252,52196.0,862.0,2807.0,10486.0,,
37,94.56461994271407,0.04636967827902106,94.4763454959232,0.04535314151899292,0.955761628008748,52230.0,828.0,2837.0,10456.0,,
38,94.61887796245813,0.04620818250525965,94.50347394914922,0.04524756165591586,0.9559485902958904,52189.0,869.0,2778.0,10515.0,,
39,94.65569451862574,0.04610637320527332,94.54718090156892,0.04512714750773932,0.9560848018382376,52158.0,900.0,2718.0,10575.0,,
40,94.65375645041834,0.04595661163645088,94.55170231043994,0.04499721210085512,0.9564727481055388,52236.0,822.0,2793.0,10500.0,,
