date,time,event
01/12/2018,08:30:00,Overcast
01/12/2018,08:53:00,Mostly Cloudy
01/12/2018,09:21:00,Mostly Cloudy
01/12/2018,09:53:00,Mostly Cloudy
01/12/2018,10:53:00,Mostly Cloudy
01/12/2018,11:53:00,Mostly Cloudy
01/12/2018,12:53:00,Mostly Cloudy
01/12/2018,13:17:00,Light Rain
01/12/2018,13:27:00,Overcast
01/12/2018,13:53:00,Overcast
01/12/2018,14:45:00,Mostly Cloudy
01/12/2018,14:53:00,Mostly Cloudy
01/12/2018,15:53:00,Mostly Cloudy
01/12/2018,16:53:00,Mostly Cloudy
01/12/2018,17:53:00,Mostly Cloudy
01/12/2018,18:53:00,Mostly Cloudy
01/12/2018,19:53:00,Overcast
01/12/2018,20:53:00,Overcast
01/12/2018,21:53:00,Overcast
01/12/2018,22:53:00,Overcast
01/12/2018,23:53:00,Overcast
01/13/2018,00:53:00,Overcast
01/13/2018,01:53:00,Overcast
01/13/2018,02:53:00,Overcast
01/13/2018,03:53:00,Overcast
01/13/2018,04:53:00,Overcast
01/13/2018,05:53:00,Overcast
01/13/2018,06:53:00,Overcast
01/13/2018,07:53:00,Overcast
01/13/2018,08:53:00,Overcast
01/13/2018,09:53:00,Mostly Cloudy
01/13/2018,10:53:00,Overcast
01/13/2018,11:53:00,Overcast
01/13/2018,12:53:00,Overcast
01/13/2018,13:53:00,Overcast
01/13/2018,14:12:00,Mostly Cloudy
01/13/2018,14:53:00,Mostly Cloudy
01/13/2018,15:53:00,Mostly Cloudy
01/13/2018,16:53:00,Scattered Clouds
01/13/2018,17:53:00,Scattered Clouds
01/13/2018,18:53:00,Partly Cloudy
01/13/2018,19:53:00,Partly Cloudy
01/13/2018,20:53:00,Clear
01/13/2018,21:53:00,Clear
01/13/2018,22:53:00,Clear
01/13/2018,23:53:00,Clear
01/14/2018,00:53:00,Clear
01/14/2018,01:53:00,Clear
01/14/2018,02:53:00,Clear
01/14/2018,03:53:00,Clear
01/14/2018,04:53:00,Clear
01/14/2018,05:53:00,Scattered Clouds
01/14/2018,06:53:00,Scattered Clouds
01/14/2018,07:53:00,Mostly Cloudy
01/14/2018,08:53:00,Mostly Cloudy
01/14/2018,09:53:00,Mostly Cloudy
01/14/2018,10:53:00,Mostly Cloudy
01/14/2018,11:53:00,Mostly Cloudy
01/14/2018,12:53:00,Mostly Cloudy
01/14/2018,13:53:00,Scattered Clouds
01/14/2018,14:53:00,Scattered Clouds
01/14/2018,15:53:00,Scattered Clouds
01/14/2018,16:53:00,Scattered Clouds
01/14/2018,17:53:00,Scattered Clouds
01/14/2018,18:53:00,Partly Cloudy
01/14/2018,19:53:00,Clear
01/14/2018,20:53:00,Clear
01/14/2018,21:53:00,Clear
01/14/2018,22:53:00,Partly Cloudy
01/14/2018,23:53:00,Partly Cloudy
01/15/2018,00:53:00,Clear
01/15/2018,01:53:00,Overcast
01/15/2018,02:53:00,Overcast
01/15/2018,03:53:00,Overcast
01/15/2018,04:53:00,Overcast
01/15/2018,05:53:00,Overcast
01/15/2018,06:53:00,Overcast
01/15/2018,07:53:00,Overcast
01/15/2018,08:53:00,Overcast
01/15/2018,09:53:00,Scattered Clouds
01/15/2018,10:53:00,Scattered Clouds
01/15/2018,11:53:00,Clear
01/15/2018,12:53:00,Partly Cloudy
01/15/2018,13:53:00,Scattered Clouds
01/15/2018,14:53:00,Scattered Clouds
01/15/2018,15:53:00,Scattered Clouds
01/15/2018,16:53:00,Mostly Cloudy
01/15/2018,17:53:00,Mostly Cloudy
01/15/2018,18:53:00,Scattered Clouds
01/15/2018,19:53:00,Partly Cloudy
01/15/2018,20:53:00,Clear
01/15/2018,21:53:00,Clear
01/15/2018,22:53:00,Clear
01/15/2018,23:53:00,Clear
01/16/2018,00:53:00,Clear
01/16/2018,01:53:00,Clear
01/16/2018,02:53:00,Clear
01/16/2018,03:53:00,Clear
01/16/2018,04:53:00,Clear
01/16/2018,05:53:00,Mostly Cloudy
01/16/2018,06:53:00,Mostly Cloudy
01/16/2018,07:53:00,Mostly Cloudy
01/16/2018,08:53:00,Mostly Cloudy
01/16/2018,09:53:00,Overcast
01/16/2018,10:53:00,Mostly Cloudy
01/16/2018,11:53:00,Overcast
01/16/2018,12:53:00,Light Snow
01/16/2018,13:37:00,Light Snow
01/16/2018,13:53:00,Light Snow
01/16/2018,14:53:00,Light Snow
01/16/2018,15:09:00,Light Snow
01/16/2018,15:16:00,Light Snow
01/16/2018,15:39:00,Light Snow
01/16/2018,15:46:00,Light Snow
01/16/2018,15:53:00,Light Snow
01/16/2018,16:24:00,Light Snow
01/16/2018,16:43:00,Light Snow
01/16/2018,16:53:00,Light Snow
01/16/2018,17:06:00,Light Snow
01/16/2018,17:21:00,Light Snow
01/16/2018,17:50:00,Light Snow
01/16/2018,17:53:00,Light Snow
01/16/2018,18:23:00,Light Snow
01/16/2018,18:53:00,Light Snow
01/16/2018,19:53:00,Overcast
01/16/2018,20:53:00,Overcast
01/16/2018,21:53:00,Overcast
01/16/2018,22:53:00,Overcast
01/16/2018,23:53:00,Mostly Cloudy
01/17/2018,00:53:00,Clear
01/17/2018,01:53:00,Clear
01/17/2018,02:13:00,Mostly Cloudy
01/17/2018,02:53:00,Overcast
01/17/2018,03:53:00,Overcast
01/17/2018,04:53:00,Overcast
01/17/2018,05:53:00,Mostly Cloudy
01/17/2018,06:53:00,Mostly Cloudy
01/17/2018,07:00:00,Mostly Cloudy
01/17/2018,07:53:00,Scattered Clouds
01/17/2018,08:53:00,Partly Cloudy
01/17/2018,09:53:00,Partly Cloudy
01/17/2018,10:53:00,Partly Cloudy
01/17/2018,11:53:00,Partly Cloudy
01/17/2018,12:53:00,Partly Cloudy
01/17/2018,13:53:00,Partly Cloudy
01/17/2018,14:53:00,Partly Cloudy
01/17/2018,15:53:00,Partly Cloudy
01/17/2018,16:53:00,Partly Cloudy
01/17/2018,17:53:00,Partly Cloudy
01/17/2018,18:53:00,Partly Cloudy
01/17/2018,19:53:00,Clear
01/17/2018,20:53:00,Clear
01/17/2018,21:53:00,Clear
01/17/2018,22:53:00,Clear
01/17/2018,23:53:00,Clear
01/18/2018,00:53:00,Clear
01/18/2018,01:53:00,Clear
01/18/2018,02:53:00,Clear
01/18/2018,03:53:00,Clear
01/18/2018,04:53:00,Clear
01/18/2018,05:53:00,Clear
01/18/2018,06:53:00,Clear
01/18/2018,07:53:00,Clear
01/18/2018,08:53:00,Clear
01/18/2018,09:53:00,Clear
01/18/2018,10:53:00,Clear
01/18/2018,11:53:00,Clear
01/18/2018,12:53:00,Clear
01/18/2018,13:53:00,Clear
01/18/2018,14:53:00,Clear
01/18/2018,15:53:00,Clear
01/18/2018,16:53:00,Clear
01/18/2018,17:53:00,Clear
01/18/2018,18:53:00,Clear
01/18/2018,19:53:00,Clear
01/18/2018,20:53:00,Clear
01/18/2018,21:53:00,Clear
01/18/2018,22:53:00,Clear
01/18/2018,23:53:00,Clear
01/19/2018,00:53:00,Clear
01/19/2018,01:53:00,Clear
01/19/2018,02:53:00,Clear
01/19/2018,03:53:00,Clear
01/19/2018,04:53:00,Clear
01/19/2018,05:53:00,Clear
01/19/2018,06:53:00,Clear
01/19/2018,07:53:00,Clear
01/19/2018,08:53:00,Clear
01/19/2018,09:53:00,Clear
01/19/2018,10:53:00,Clear
01/19/2018,11:53:00,Clear
01/19/2018,12:53:00,Clear
01/19/2018,13:53:00,Clear
01/19/2018,14:53:00,Partly Cloudy
01/19/2018,15:53:00,Partly Cloudy
01/19/2018,16:53:00,Partly Cloudy
01/19/2018,17:53:00,Partly Cloudy
01/19/2018,18:53:00,Partly Cloudy
01/19/2018,19:53:00,Partly Cloudy
01/19/2018,20:53:00,Clear
01/19/2018,21:53:00,Scattered Clouds
01/19/2018,22:53:00,Mostly Cloudy
01/19/2018,23:53:00,Mostly Cloudy
01/20/2018,00:53:00,Mostly Cloudy
01/20/2018,01:53:00,Overcast
01/20/2018,02:53:00,Overcast
01/20/2018,03:53:00,Overcast
01/20/2018,04:53:00,Overcast
01/20/2018,05:53:00,Overcast
01/20/2018,06:53:00,Overcast
01/20/2018,07:53:00,Overcast
01/20/2018,08:53:00,Overcast
01/20/2018,09:53:00,Overcast
01/20/2018,10:53:00,Scattered Clouds
01/20/2018,11:53:00,Scattered Clouds
01/20/2018,12:53:00,Mostly Cloudy
01/20/2018,13:53:00,Scattered Clouds
01/20/2018,14:53:00,Mostly Cloudy
01/20/2018,15:53:00,Mostly Cloudy
01/20/2018,16:53:00,Scattered Clouds
01/20/2018,17:53:00,Scattered Clouds
01/20/2018,18:53:00,Scattered Clouds
01/20/2018,19:53:00,Partly Cloudy
01/20/2018,20:53:00,Partly Cloudy
01/20/2018,21:53:00,Clear
01/20/2018,22:53:00,Partly Cloudy
01/20/2018,23:53:00,Partly Cloudy
01/21/2018,00:53:00,Clear
01/21/2018,01:53:00,Clear
01/21/2018,02:53:00,Clear
01/21/2018,03:53:00,Clear
01/21/2018,04:53:00,Clear
01/21/2018,05:53:00,Scattered Clouds
01/21/2018,06:53:00,Scattered Clouds
01/21/2018,07:53:00,Mostly Cloudy
01/21/2018,08:53:00,Mostly Cloudy
01/21/2018,09:53:00,Mostly Cloudy
01/21/2018,10:53:00,Mostly Cloudy
01/21/2018,11:53:00,Scattered Clouds
01/21/2018,12:53:00,Scattered Clouds
01/21/2018,13:53:00,Scattered Clouds
01/21/2018,14:53:00,Scattered Clouds
01/21/2018,15:53:00,Scattered Clouds
01/21/2018,16:53:00,Scattered Clouds
01/21/2018,17:53:00,Scattered Clouds
01/21/2018,18:53:00,Scattered Clouds
01/21/2018,19:53:00,Partly Cloudy
01/21/2018,20:53:00,Clear
01/21/2018,21:53:00,Clear
01/21/2018,22:53:00,Clear
01/21/2018,23:53:00,Clear
01/22/2018,00:53:00,Clear
01/22/2018,01:53:00,Clear
01/22/2018,02:53:00,Clear
01/22/2018,03:53:00,Clear
01/22/2018,04:53:00,Clear
01/22/2018,05:53:00,Mostly Cloudy
01/22/2018,06:53:00,Mostly Cloudy
01/22/2018,07:53:00,Mostly Cloudy
01/22/2018,08:53:00,Mostly Cloudy
01/22/2018,09:53:00,Mostly Cloudy
01/22/2018,10:53:00,Mostly Cloudy
01/22/2018,11:53:00,Light Rain
01/22/2018,12:53:00,Light Rain
01/22/2018,13:34:00,Light Rain
01/22/2018,13:53:00,Overcast
01/22/2018,14:14:00,Light Rain
01/22/2018,14:53:00,Heavy Rain
01/22/2018,15:02:00,Light Rain
01/22/2018,15:53:00,Light Rain
01/22/2018,16:53:00,Mostly Cloudy
01/22/2018,17:53:00,Overcast
01/22/2018,18:53:00,Overcast
01/22/2018,19:53:00,Overcast
01/22/2018,20:53:00,Overcast
01/22/2018,21:37:00,Mostly Cloudy
01/22/2018,21:53:00,Mostly Cloudy
01/22/2018,22:53:00,Mostly Cloudy
01/22/2018,23:53:00,Partly Cloudy
01/23/2018,00:53:00,Clear
01/23/2018,01:53:00,Clear
01/23/2018,02:53:00,Clear
01/23/2018,03:53:00,Clear
01/23/2018,04:53:00,Clear
01/23/2018,05:53:00,Clear
01/23/2018,06:53:00,Clear
01/23/2018,07:53:00,Partly Cloudy
01/23/2018,08:53:00,Partly Cloudy
01/23/2018,09:53:00,Partly Cloudy
01/23/2018,10:53:00,Scattered Clouds
01/23/2018,11:53:00,Scattered Clouds
01/23/2018,12:53:00,Scattered Clouds
01/23/2018,13:53:00,Scattered Clouds
01/23/2018,14:53:00,Scattered Clouds
01/23/2018,15:53:00,Mostly Cloudy
01/23/2018,16:53:00,Mostly Cloudy
01/23/2018,17:53:00,Mostly Cloudy
01/23/2018,18:53:00,Mostly Cloudy
01/23/2018,19:53:00,Mostly Cloudy
01/23/2018,20:53:00,Mostly Cloudy
01/23/2018,21:53:00,Mostly Cloudy
01/23/2018,22:53:00,Mostly Cloudy
01/23/2018,23:53:00,Overcast
01/24/2018,00:53:00,Overcast
01/24/2018,01:53:00,Overcast
01/24/2018,02:53:00,Overcast
01/24/2018,03:53:00,Mostly Cloudy
01/24/2018,04:53:00,Overcast
01/24/2018,05:53:00,Overcast
01/24/2018,06:53:00,Scattered Clouds
01/24/2018,07:53:00,Scattered Clouds
01/24/2018,08:53:00,Scattered Clouds
01/24/2018,09:53:00,Scattered Clouds
01/24/2018,10:53:00,Partly Cloudy
01/24/2018,11:53:00,Partly Cloudy
01/24/2018,12:53:00,Partly Cloudy
01/24/2018,13:53:00,Partly Cloudy
01/24/2018,14:53:00,Partly Cloudy
01/24/2018,15:53:00,Partly Cloudy
01/24/2018,16:53:00,Partly Cloudy
01/24/2018,17:53:00,Partly Cloudy
01/24/2018,18:53:00,Partly Cloudy
01/24/2018,19:53:00,Clear
01/24/2018,20:53:00,Clear
01/24/2018,21:53:00,Clear
01/24/2018,22:53:00,Clear
01/24/2018,23:53:00,Clear
01/25/2018,00:53:00,Clear
01/25/2018,01:53:00,Clear
01/25/2018,02:53:00,Clear
01/25/2018,03:53:00,Clear
01/25/2018,04:53:00,Clear
01/25/2018,05:53:00,Partly Cloudy
01/25/2018,06:53:00,Partly Cloudy
01/25/2018,07:53:00,Clear
01/25/2018,08:53:00,Clear
01/25/2018,09:53:00,Clear
01/25/2018,10:53:00,Clear
01/25/2018,11:53:00,Clear
01/25/2018,12:53:00,Clear
01/25/2018,13:53:00,Clear
01/25/2018,14:53:00,Partly Cloudy
01/25/2018,15:53:00,Partly Cloudy
01/25/2018,16:53:00,Partly Cloudy
01/25/2018,17:53:00,Partly Cloudy
01/25/2018,18:53:00,Partly Cloudy
01/25/2018,19:53:00,Clear
01/25/2018,20:53:00,Clear
01/25/2018,21:53:00,Clear
01/25/2018,22:53:00,Clear
01/25/2018,23:53:00,Clear
01/26/2018,00:53:00,Clear
01/26/2018,01:53:00,Clear
01/26/2018,02:53:00,Clear
01/26/2018,03:53:00,Clear
01/26/2018,04:53:00,Clear
01/26/2018,05:53:00,Scattered Clouds
01/26/2018,06:53:00,Scattered Clouds
01/26/2018,07:53:00,Scattered Clouds
01/26/2018,08:53:00,Mostly Cloudy
01/26/2018,09:53:00,Mostly Cloudy
01/26/2018,10:53:00,Mostly Cloudy
01/26/2018,11:53:00,Mostly Cloudy
01/26/2018,12:53:00,Mostly Cloudy
01/26/2018,13:53:00,Mostly Cloudy
01/26/2018,14:53:00,Scattered Clouds
