date,time,event
01/07/2018,22:53:00,Mostly Cloudy
01/07/2018,23:53:00,Overcast
01/08/2018,00:53:00,Clear
01/08/2018,01:53:00,Overcast
01/08/2018,02:53:00,Overcast
01/08/2018,03:53:00,Partly Cloudy
01/08/2018,04:34:00,Mostly Cloudy
01/08/2018,04:53:00,Overcast
01/08/2018,05:53:00,Light Freezing Rain
01/08/2018,06:53:00,Light Freezing Rain
01/08/2018,07:53:00,Light Freezing Rain
01/08/2018,08:53:00,Light Freezing Rain
01/08/2018,09:53:00,Light Freezing Rain
01/08/2018,10:53:00,Light Freezing Rain
01/08/2018,11:36:00,Mostly Cloudy
01/08/2018,11:53:00,Mostly Cloudy
01/08/2018,12:53:00,Mostly Cloudy
01/08/2018,13:39:00,Light Rain
01/08/2018,13:53:00,Light Rain
01/08/2018,14:26:00,Light Rain
01/08/2018,14:53:00,Light Rain
01/08/2018,15:53:00,Light Rain
01/08/2018,16:08:00,Light Rain
01/08/2018,16:53:00,Light Rain
01/08/2018,17:04:00,Light Rain
01/08/2018,17:32:00,Overcast
01/08/2018,17:53:00,Overcast
01/08/2018,18:06:00,Overcast
01/08/2018,18:20:00,Overcast
01/08/2018,18:50:00,Overcast
01/08/2018,18:53:00,Overcast
01/08/2018,19:26:00,Overcast
01/08/2018,19:53:00,Overcast
01/08/2018,20:21:00,Overcast
01/08/2018,20:53:00,Light Drizzle
01/08/2018,21:49:00,Overcast
01/08/2018,21:53:00,Overcast
01/08/2018,22:30:00,Light Drizzle
01/08/2018,22:47:00,Light Drizzle
01/08/2018,22:53:00,Light Drizzle
01/08/2018,23:04:00,Light Drizzle
01/08/2018,23:53:00,Overcast
01/09/2018,00:18:00,Overcast
01/09/2018,00:30:00,Overcast
01/09/2018,00:53:00,Overcast
01/09/2018,01:09:00,Overcast
01/09/2018,01:16:00,Overcast
01/09/2018,01:45:00,Overcast
01/09/2018,01:53:00,Overcast
01/09/2018,02:07:00,Overcast
01/09/2018,02:39:00,Overcast
01/09/2018,02:53:00,Overcast
01/09/2018,03:35:00,Overcast
01/09/2018,03:53:00,Overcast
01/09/2018,04:53:00,Overcast
01/09/2018,05:53:00,Overcast
01/09/2018,06:53:00,Overcast
01/09/2018,07:47:00,Overcast
01/09/2018,07:53:00,Overcast
01/09/2018,08:53:00,Overcast
01/09/2018,09:53:00,Mostly Cloudy
01/09/2018,10:53:00,Mostly Cloudy
01/09/2018,11:09:00,Mostly Cloudy
01/09/2018,11:53:00,Mostly Cloudy
01/09/2018,12:53:00,Mostly Cloudy
01/09/2018,13:53:00,Mostly Cloudy
01/09/2018,14:53:00,Overcast
01/09/2018,15:53:00,Overcast
01/09/2018,16:53:00,Overcast
01/09/2018,17:53:00,Overcast
01/09/2018,18:53:00,Overcast
01/09/2018,19:53:00,Overcast
01/09/2018,20:40:00,Scattered Clouds
01/09/2018,20:53:00,Scattered Clouds
01/09/2018,21:53:00,Scattered Clouds
01/09/2018,22:53:00,Mostly Cloudy
01/09/2018,23:53:00,Scattered Clouds
01/10/2018,00:06:00,Mist
01/10/2018,00:20:00,Partly Cloudy
01/10/2018,00:29:00,Partly Cloudy
01/10/2018,00:37:00,Partly Cloudy
01/10/2018,00:45:00,Partly Cloudy
01/10/2018,00:53:00,Clear
01/10/2018,00:55:00,Partly Cloudy
01/10/2018,00:57:00,Scattered Clouds
01/10/2018,01:13:00,Mostly Cloudy
01/10/2018,01:23:00,Fog
01/10/2018,01:39:00,Overcast
01/10/2018,01:48:00,Fog
01/10/2018,01:49:00,Fog
01/10/2018,02:00:00,Mist
01/10/2018,02:06:00,Overcast
01/10/2018,02:09:00,Overcast
01/10/2018,02:18:00,Overcast
01/10/2018,02:22:00,Overcast
01/10/2018,02:26:00,Overcast
01/10/2018,02:44:00,Overcast
01/10/2018,02:53:00,Overcast
01/10/2018,03:07:00,Overcast
01/10/2018,03:53:00,Overcast
01/10/2018,04:28:00,Overcast
01/10/2018,04:46:00,Overcast
01/10/2018,04:53:00,Overcast
01/10/2018,05:40:00,Overcast
01/10/2018,05:48:00,Overcast
01/10/2018,05:53:00,Overcast
01/10/2018,06:53:00,Overcast
01/10/2018,07:53:00,Overcast
01/10/2018,08:35:00,Mostly Cloudy
01/10/2018,08:53:00,Mostly Cloudy
01/10/2018,09:34:00,Mostly Cloudy
01/10/2018,09:53:00,Mostly Cloudy
01/10/2018,10:50:00,Mostly Cloudy
01/10/2018,10:53:00,Mostly Cloudy
01/10/2018,11:53:00,Mostly Cloudy
01/10/2018,12:53:00,Overcast
01/10/2018,13:53:00,Mostly Cloudy
01/10/2018,14:53:00,Mostly Cloudy
01/10/2018,15:53:00,Mostly Cloudy
01/10/2018,16:53:00,Mostly Cloudy
01/10/2018,17:53:00,Mostly Cloudy
01/10/2018,18:53:00,Mostly Cloudy
01/10/2018,19:53:00,Overcast
01/10/2018,20:53:00,Mostly Cloudy
01/10/2018,21:53:00,Mostly Cloudy
01/10/2018,22:53:00,Overcast
01/10/2018,23:53:00,Overcast
01/11/2018,00:53:00,Overcast
01/11/2018,01:19:00,Overcast
01/11/2018,01:53:00,Overcast
01/11/2018,02:53:00,Overcast
01/11/2018,03:53:00,Overcast
01/11/2018,04:53:00,Overcast
01/11/2018,05:53:00,Overcast
01/11/2018,06:53:00,Light Rain
01/11/2018,06:55:00,Light Rain
01/11/2018,07:49:00,Light Rain
01/11/2018,07:53:00,Light Rain
01/11/2018,08:19:00,Light Rain
01/11/2018,08:34:00,Light Rain
01/11/2018,08:39:00,Light Rain
01/11/2018,08:53:00,Light Rain
01/11/2018,09:15:00,Overcast
01/11/2018,09:53:00,Mostly Cloudy
01/11/2018,10:44:00,Mostly Cloudy
01/11/2018,10:53:00,Mostly Cloudy
01/11/2018,11:50:00,Overcast
01/11/2018,11:53:00,Overcast
01/11/2018,12:53:00,Light Drizzle
01/11/2018,13:50:00,Light Rain
01/11/2018,13:53:00,Light Rain
01/11/2018,14:11:00,Light Rain
01/11/2018,14:46:00,Light Drizzle
01/11/2018,14:53:00,Light Drizzle
01/11/2018,15:53:00,Overcast
01/11/2018,16:46:00,Overcast
01/11/2018,16:53:00,Overcast
01/11/2018,17:53:00,Overcast
01/11/2018,18:53:00,Overcast
01/11/2018,19:53:00,Overcast
01/11/2018,20:53:00,Overcast
01/11/2018,21:10:00,Overcast
01/11/2018,21:53:00,Overcast
01/11/2018,22:22:00,Overcast
01/11/2018,22:53:00,Overcast
01/11/2018,23:44:00,Overcast
01/11/2018,23:53:00,Overcast
01/12/2018,00:53:00,Overcast
01/12/2018,01:53:00,Light Rain
01/12/2018,02:53:00,Overcast
01/12/2018,03:34:00,Light Rain
01/12/2018,03:53:00,Light Rain
01/12/2018,04:07:00,Light Rain
01/12/2018,04:31:00,Rain
01/12/2018,04:53:00,Light Rain
01/12/2018,05:00:00,Light Rain
01/12/2018,05:30:00,Light Rain
01/12/2018,05:43:00,Overcast
01/12/2018,05:53:00,Mostly Cloudy
01/12/2018,06:53:00,Mostly Cloudy
01/12/2018,07:36:00,Overcast
01/12/2018,07:53:00,Overcast
01/12/2018,08:01:00,Rain
