"","1","2","3","4"
"344",3,1,2,1
"345",5,7,0,10
"346",1,1,0,1
"347",43,28,36,78
"348",5,8,6,7
"349",5,1,2,6
"350",13,10,21,10
"351",3,3,2,1
"352",22,7,11,23
"353",12,1,5,5
"355",2,2,1,3
"356",10,16,19,49
"357",9,2,1,6
"358",40,7,15,40
"359",15,3,7,19
"360",5,2,1,2
"361",14,4,8,11
"362",1,0,1,1
"363",0,1,0,2
"364",9,5,2,22
"365",7,0,2,1
"366",0,3,0,0
"367",19,21,11,23
"368",2,2,0,5
"369",7,5,5,8
"370",71,38,47,136
"371",105,24,117,258
"372",98,30,88,206
"373",1,6,0,4
"374",5,2,3,9
"375",0,1,2,0
"376",6,3,4,4
"377",5,0,2,3
"378",1,0,2,2
"379",0,0,1,1
"380",1,1,0,0
"384",5,2,1,2
"385",0,0,3,10
"386",2,5,0,1
"387",4,1,0,1
"389",15,11,9,27
"390",6,6,4,5
"391",22,14,13,25
"392",32,22,21,64
"393",3,4,1,5
"394",5,3,2,6
"395",7,8,8,23
"396",7,3,5,9
"397",16,11,12,31
"398",0,3,0,2
"400",0,1,0,0
"401",16,30,26,67
"402",8,5,8,5
"403",18,4,8,17
"404",15,12,11,25
"405",8,1,0,9
"406",9,3,2,5
"408",5,4,1,6
"409",0,1,0,2
"410",20,41,18,47
"411",37,29,28,62
"412",8,2,9,18
"413",11,7,5,20
"414",25,16,27,65
"415",51,20,47,68
"416",157,35,91,285
"417",106,13,103,196
"418",2,3,4,5
"419",4,6,5,12
"420",11,4,5,13
"421",6,6,2,2
"422",3,0,0,0
"423",2,0,2,5
"424",1,1,0,4
"425",2,6,1,6
"426",0,0,0,2
"427",2,1,0,5
"431",0,0,0,3
"432",2,0,0,1
"433",6,4,4,8
"434",1,2,3,0
"435",1,0,0,0
"436",2,2,1,5
"437",15,19,15,31
"438",1,1,0,3
"439",8,5,0,4
"440",8,8,5,16
"441",1,1,0,1
"442",6,3,2,8
"443",4,2,2,6
"445",1,0,0,2
"446",13,28,32,59
"447",0,4,2,3
"448",5,3,0,6
"449",8,7,3,11
"450",12,6,5,13
"451",1,1,0,1
"452",5,2,1,4
"453",2,0,2,0
"454",0,2,0,4
"455",16,28,22,37
"456",11,24,23,51
"457",11,13,16,24
"458",5,0,2,8
"459",19,14,6,41
"460",117,45,87,141
"461",96,39,52,130
"462",24,9,15,34
"463",7,2,2,9
"464",16,13,7,16
"465",1,0,0,0
"466",1,0,0,0
"467",1,1,1,1
"468",2,3,0,5
"469",0,0,0,1
"470",1,1,0,2
"472",2,0,0,1
"478",1,2,1,5
"479",13,12,11,20
"480",0,0,1,1
"481",8,6,3,4
"482",2,5,5,11
"483",0,0,1,1
"484",5,5,4,3
"485",15,11,7,20
"486",4,4,2,7
"487",1,5,3,1
"488",3,5,4,10
"489",0,0,0,1
"491",0,7,9,16
"492",0,1,0,1
"493",1,1,0,2
"494",14,4,5,6
"495",8,13,3,28
"496",7,5,2,2
"498",3,3,0,3
"499",5,7,4,17
"500",25,17,10,38
"502",1,0,2,0
"503",0,0,0,1
"504",8,3,3,9
"505",3,1,4,4
"506",36,11,24,60
"507",7,4,9,3
"508",4,0,0,2
"509",36,18,19,36
"510",8,2,5,16
"511",5,4,5,12
"512",10,9,5,16
"513",5,2,3,4
"514",1,1,0,2
"515",3,2,1,2
"517",4,0,1,5
"518",0,1,1,0
"523",3,4,0,8
"524",2,1,1,2
"525",14,1,3,2
"526",3,1,0,2
"527",11,8,7,21
"528",4,0,3,6
"529",11,4,0,11
"530",6,5,6,14
"531",3,6,2,14
"532",5,5,3,8
"533",8,5,11,7
"534",2,0,1,1
"536",3,9,8,17
"537",13,12,8,9
"539",1,0,0,3
"540",3,1,0,0
"541",6,6,5,12
"542",24,25,7,45
"543",14,10,5,25
"544",32,26,15,38
"545",38,27,11,57
"546",2,4,1,2
"547",3,4,3,2
"548",2,0,0,1
"549",6,2,0,11
"550",3,0,1,4
"551",5,1,0,8
"552",41,52,26,57
"553",14,17,6,15
"554",2,3,0,9
"555",14,8,8,30
"556",10,5,2,10
"557",0,0,0,4
"558",4,0,1,1
"559",2,2,1,1
"560",0,2,3,3
"562",1,1,0,0
"563",2,1,1,1
"567",1,4,0,1
"569",2,2,3,1
"570",2,1,1,4
"571",1,4,1,2
"572",7,1,1,5
"573",21,11,5,20
"574",4,9,2,6
"575",19,15,14,49
"576",4,1,2,3
"577",11,1,2,6
"578",7,1,7,9
"579",2,0,2,1
"580",0,0,3,1
"581",2,0,1,2
"582",3,11,10,11
"583",3,4,5,9
"584",17,8,16,29
"585",47,30,34,90
"586",13,15,11,39
"587",33,29,20,67
"588",59,34,31,92
"589",8,3,3,8
"590",11,4,2,10
"591",10,12,5,33
"592",26,16,16,30
