round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,loss,batch_size
100,0.16415655,0.74933767,0.16371896,0.75025978,sigmoid,nadam,mse,1000
100,0.47743699,0.75026498,0.47742344,0.74982545,sigmoid,nadam,binary_crossentropy,500
100,0.162483195,0.750507848,0.164237349,0.748045545,selu,adamax,mse,500
100,0.48021037,0.74832204,0.48044196,0.74803703,sigmoid,nadam,binary_crossentropy,1000
100,0.163666731,0.74799085,0.164344239,0.748028514,relu,adam,mse,500
100,0.16326378,0.75172219,0.16489866,0.74767934,relu,nadam,mse,500
100,0.1643114,0.7490948,0.16535464,0.74730463,relu,nadam,mse,2000
100,0.16253559,0.75075072,0.16458955,0.74710024,relu,nadam,mse,1000
100,0.16379198,0.74874153,0.16430557,0.74691288,sigmoid,nadam,mse,500
100,0.16467214,0.74631285,0.16539818,0.74629971,selu,nadam,mse,500
100,0.167278013,0.744082877,0.166905419,0.744894518,sigmoid,adam,mse,500
100,0.166173402,0.744988115,0.167523603,0.744664577,selu,adam,mse,500
100,0.166076044,0.74331011,0.168503463,0.740261655,selu,adadelta,mse,500
100,0.168989797,0.739026792,0.169306536,0.739980618,sigmoid,adam,mse,1000
100,0.16760517,0.74328803,0.16917314,0.73924822,selu,nadam,mse,1000
100,0.170881805,0.733683687,0.169213593,0.738021871,sigmoid,adamax,mse,500
100,0.4934889,0.737105927,0.494914837,0.737459794,sigmoid,adamax,binary_crossentropy,500
100,0.49608008,0.734853875,0.494975513,0.736182351,sigmoid,adam,binary_crossentropy,500
100,0.17228954,0.73271221,0.17209669,0.73126845,sigmoid,nadam,mse,2000
100,0.171974579,0.733794084,0.174000469,0.73120032,selu,adamax,mse,2000
100,0.170445303,0.734191503,0.173361153,0.730919284,selu,adadelta,mse,1000
100,0.500500524,0.730857579,0.501160912,0.730765992,sigmoid,adam,binary_crossentropy,1000
100,0.503203741,0.728318502,0.502089869,0.729224534,sigmoid,adam,binary_crossentropy,2000
100,0.50456569,0.73909303,0.52126327,0.72514524,relu,nadam,binary_crossentropy,1000
100,0.175379659,0.721761052,0.174951961,0.72332275,sigmoid,adamax,mse,1000
100,0.50141497,0.733882396,0.506163935,0.721815366,selu,adadelta,binary_crossentropy,500
100,0.175006375,0.726088527,0.177969895,0.721576907,relu,adamax,mse,1000
100,0.175411915,0.728053558,0.179457178,0.721176644,selu,adam,mse,1000
100,0.509543221,0.722953311,0.511206159,0.720810444,sigmoid,adamax,binary_crossentropy,1000
100,0.176670743,0.725580711,0.17941862,0.720733796,relu,adamax,mse,2000
100,0.174326631,0.731895292,0.178025199,0.719882172,relu,adadelta,mse,1000
100,0.519039604,0.729179581,0.526618828,0.71946487,relu,adam,binary_crossentropy,500
100,0.174495388,0.729091269,0.178421205,0.719175314,selu,adadelta,mse,2000
100,0.51337548,0.71995058,0.51115667,0.71893685,sigmoid,nadam,binary_crossentropy,2000
100,0.175486915,0.726530103,0.177250922,0.718366268,relu,adamax,mse,500
100,0.51396356,0.73218231,0.53055174,0.71724211,relu,nadam,binary_crossentropy,2000
100,0.179260226,0.715623106,0.179048134,0.71652675,sigmoid,adam,mse,2000
100,0.179729569,0.714960728,0.179484953,0.715947643,sigmoid,adamax,mse,2000
100,0.175985391,0.727435345,0.18006087,0.715113043,relu,adadelta,mse,2000
100,0.17776047,0.71979602,0.18111203,0.71306913,selu,nadam,mse,2000
100,0.178682723,0.718846624,0.181254519,0.713009518,selu,adam,mse,2000
100,0.182331379,0.712002153,0.182681106,0.711800207,sigmoid,adagrad,mse,500
100,0.52321241,0.71103068,0.523259624,0.711561749,sigmoid,adamax,binary_crossentropy,2000
100,0.181952659,0.711737204,0.183247032,0.708751372,sigmoid,adagrad,mse,1000
100,0.181314246,0.713856784,0.183096013,0.708564015,relu,adagrad,mse,500
100,0.52829274,0.709816331,0.5298952,0.708308526,sigmoid,adagrad,binary_crossentropy,1000
100,0.528517583,0.711096912,0.530616163,0.706767079,sigmoid,adagrad,binary_crossentropy,500
100,0.184550741,0.705113519,0.184679711,0.705191562,sigmoid,adagrad,mse,2000
100,0.181900342,0.708535752,0.184625637,0.70341166,relu,adam,mse,2000
100,0.535222491,0.703258885,0.536620937,0.701546593,sigmoid,adagrad,binary_crossentropy,2000
100,0.182389244,0.705842119,0.185872504,0.701018581,relu,adagrad,mse,2000
100,0.53625169,0.706416174,0.544570915,0.700226564,relu,adamax,binary_crossentropy,500
100,0.53806283,0.708447444,0.550296136,0.698514789,relu,adadelta,binary_crossentropy,2000
100,0.53668027,0.701801675,0.541200482,0.695968419,sigmoid,adadelta,binary_crossentropy,500
100,0.536604763,0.700035358,0.550329403,0.691429238,relu,adamax,binary_crossentropy,1000
100,0.195670746,0.680363012,0.200906407,0.685995846,relu,adagrad,mse,1000
100,0.196673903,0.679987667,0.200695229,0.678382277,selu,adagrad,mse,500
100,0.200065712,0.67906035,0.205127506,0.675401573,selu,adagrad,mse,1000
100,0.615051916,0.662986873,0.622804842,0.667753942,relu,adagrad,binary_crossentropy,1000
100,5.432722279,0.662942709,4.876500087,0.666987479,relu,adagrad,binary_crossentropy,2000
100,5.432722279,0.662942709,5.362175143,0.666961935,relu,adam,binary_crossentropy,2000
100,0.596453602,0.662942716,0.600819253,0.666953412,sigmoid,adadelta,binary_crossentropy,1000
100,5.432722226,0.662942714,5.336619264,0.6669449,relu,adagrad,binary_crossentropy,500
100,0.337057333,0.662942714,0.333049328,0.666944899,relu,adadelta,mse,500
100,5.432722226,0.662942714,5.368217122,0.666944898,relu,adadelta,binary_crossentropy,500
100,5.432722295,0.662942716,5.367971781,0.666944895,relu,adadelta,binary_crossentropy,1000
100,0.337057332,0.662942716,0.333047468,0.666936385,relu,adam,mse,1000
100,5.432722295,0.662942716,5.366314647,0.666936383,relu,adam,binary_crossentropy,1000
100,0.639056259,0.662942709,0.636329619,0.666936379,sigmoid,adadelta,binary_crossentropy,2000
100,0.223431165,0.662942716,0.222110328,0.666936378,sigmoid,adadelta,mse,1000
100,0.223439057,0.662942709,0.22215005,0.666927871,sigmoid,adadelta,mse,2000
100,0.223408805,0.662942714,0.222093707,0.666927867,sigmoid,adadelta,mse,500
100,5.41457283,0.66406874,5.37454621,0.66651057,relu,nadam,binary_crossentropy,500
100,0.221536696,0.662942709,0.22682426,0.663776836,selu,adagrad,mse,2000
100,0.654565419,0.662942709,0.713239335,0.658922551,relu,adamax,binary_crossentropy,2000
100,0.634228635,0.662766082,0.788580737,0.557263571,tanh,adam,binary_crossentropy,500
100,0.642442617,0.662832317,2.947452516,0.464257146,selu,adam,binary_crossentropy,2000
100,0.66406874,0.3359313,0.66648501,0.33351503,softmax,nadam,mse,1000
100,10.5868391,0.33593131,10.6253603,0.33351503,softmax,nadam,binary_crossentropy,500
100,0.66406874,0.33593131,0.66648501,0.33351503,softmax,nadam,mse,2000
100,10.586839,0.33593131,10.6253601,0.33351503,softmax,nadam,binary_crossentropy,2000
100,0.66406874,0.33593131,0.66648501,0.33351503,softmax,nadam,mse,500
