Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
20,1,0,1,0,1,0,0,0,0,8,15,26,0,2,13,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,8,15,26,0,2,13,1517803200,0.0,0.82,1,0.9998694062232971
0,1,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517720400,0.0,0.36,1,0.9996610283851624
4,1,0,1,0,0,1,0,0,1,9,16,26,0,7,17,1517734800,0.047,0.79,1,0.991432785987854
8,2,0,1,0,0,1,0,0,1,9,16,26,0,7,17,1517749200,0.167,0.89,0,0.017284870147705078
12,3,0,1,0,0,1,0,0,1,9,16,26,0,7,17,1517763600,0.006,0.89,1,0.9995152950286865
16,4,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517778000,0.0,0.84,1,0.9998047351837158
20,1,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517792400,0.0,0.77,1,0.999812126159668
23,1,0,1,0,1,0,0,0,0,9,16,26,0,7,17,1517803200,0.0,0.82,1,0.9998205304145813
0,1,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517720400,0.0,0.36,1,0.9837227463722229
4,1,0,1,0,0,1,0,0,1,10,17,26,0,7,11,1517734800,0.047,0.79,0,0.1094270646572113
8,2,0,1,0,0,1,0,0,1,10,17,26,0,7,11,1517749200,0.168,0.89,0,0.0012160837650299072
12,3,0,1,0,0,1,0,0,1,10,17,26,0,7,11,1517763600,0.006,0.89,1,0.9539384841918945
16,4,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517778000,0.0,0.84,1,0.9986239671707153
20,1,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517792400,0.0,0.77,1,0.9988876581192017
23,1,0,1,0,1,0,0,0,0,10,17,26,0,7,11,1517803200,0.0,0.82,1,0.9991439580917358
0,1,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517720400,0.0,0.36,1,0.9482700228691101
4,1,0,1,0,0,1,0,0,1,11,18,26,0,7,10,1517734800,0.047,0.79,0,0.04214620590209961
8,2,0,1,0,0,1,0,0,1,11,18,26,0,7,10,1517749200,0.169,0.89,0,0.000979781150817871
12,3,0,1,0,0,1,0,0,1,11,18,26,0,7,10,1517763600,0.006,0.89,1,0.855634331703186
16,4,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517778000,0.0,0.84,1,0.9970763921737671
20,1,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517792400,0.0,0.77,1,0.9977604746818542
23,1,0,1,0,1,0,0,0,0,11,18,26,0,7,10,1517803200,0.0,0.82,1,0.9983936548233032
0,1,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517720400,0.0,0.36,1,0.9998512268066406
4,1,0,1,0,0,1,0,0,1,12,19,26,0,7,24,1517734800,0.045,0.79,1,0.9997537136077881
8,2,0,1,0,0,1,0,0,1,12,19,26,0,7,24,1517749200,0.169,0.9,1,0.943026065826416
12,3,0,1,0,0,1,0,0,1,12,19,26,0,7,24,1517763600,0.005,0.89,1,0.9998440742492676
16,4,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517778000,0.0,0.84,1,0.9998610019683838
20,1,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517792400,0.0,0.77,1,0.9998617172241211
23,1,0,1,0,1,0,0,0,0,12,19,26,0,7,24,1517803200,0.0,0.83,1,0.999862551689148
0,1,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517720400,0.0,0.36,1,0.9998444318771362
4,1,0,1,0,0,1,0,0,1,13,20,26,0,7,23,1517734800,0.044,0.8,1,0.9996976852416992
8,2,0,1,0,0,1,0,0,1,13,20,26,0,7,23,1517749200,0.17,0.9,1,0.8217815160751343
12,3,0,1,0,0,1,0,0,1,13,20,26,0,7,23,1517763600,0.005,0.9,1,0.9998343586921692
16,4,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517778000,0.0,0.85,1,0.9998584389686584
20,1,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517792400,0.0,0.77,1,0.9998593330383301
23,1,0,1,0,1,0,0,0,0,13,20,26,0,7,23,1517803200,0.0,0.83,1,0.999860405921936
0,1,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517720400,0.0,0.36,1,0.9998001456260681
4,1,0,1,0,0,1,0,0,1,14,21,26,0,7,20,1517734800,0.044,0.81,1,0.9990502595901489
8,2,0,1,0,0,1,0,0,1,14,21,26,0,7,20,1517749200,0.172,0.92,0,0.12391409277915955
12,3,0,1,0,0,1,0,0,1,14,21,26,0,7,20,1517763600,0.005,0.92,1,0.9997687339782715
16,4,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517778000,0.0,0.86,1,0.9998433589935303
20,1,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517792400,0.0,0.78,1,0.9998457431793213
23,1,0,1,0,1,0,0,0,0,14,21,26,0,7,20,1517803200,0.0,0.85,1,0.9998489618301392
0,1,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517720400,0.0,0.37,1,0.9991446733474731
4,1,0,1,0,0,1,0,0,1,15,22,26,0,7,15,1517734800,0.043,0.82,1,0.9340678453445435
8,2,0,1,0,0,1,0,0,1,15,22,26,0,7,15,1517749200,0.173,0.93,0,0.0036665797233581543
12,3,0,1,0,0,1,0,0,1,15,22,26,0,7,15,1517763600,0.005,0.93,1,0.9985573887825012
16,4,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517778000,0.0,0.88,1,0.9997113347053528
20,1,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517792400,0.0,0.8,1,0.9997316598892212
23,1,0,1,0,1,0,0,0,0,15,22,26,0,7,15,1517803200,0.0,0.86,1,0.9997565746307373
0,1,0,1,0,1,0,0,0,0,16,23,26,0,7,21,1517720400,0.0,0.37,1,0.9998190402984619
4,1,0,1,0,0,1,0,0,1,16,23,26,0,7,21,1517734800,0.043,0.82,1,0.9994064569473267
8,2,0,1,0,0,1,0,0,1,16,23,26,0,7,21,1517749200,0.174,0.93,0,0.23547828197479248
12,3,0,1,0,0,1,0,0,1,16,23,26,0,7,21,1517763600,0.005,0.92,1,0.9997969269752502
