Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
4,1,0,1,0,0,1,0,0,1,9,16,26,7,17,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,9,16,26,7,17,1517749200,0.167,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,9,16,26,7,17,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,9,16,26,7,17,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,9,16,26,7,17,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,9,16,26,7,17,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,10,17,26,7,11,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,10,17,26,7,11,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,10,17,26,7,11,1517749200,0.168,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,10,17,26,7,11,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,10,17,26,7,11,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,10,17,26,7,11,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,10,17,26,7,11,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,11,18,26,7,10,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,11,18,26,7,10,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,11,18,26,7,10,1517749200,0.169,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,11,18,26,7,10,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,11,18,26,7,10,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,11,18,26,7,10,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,11,18,26,7,10,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,12,19,26,7,24,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,12,19,26,7,24,1517734800,0.045,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,12,19,26,7,24,1517749200,0.169,0.9,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,12,19,26,7,24,1517763600,0.005,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,12,19,26,7,24,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,12,19,26,7,24,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,12,19,26,7,24,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,13,20,26,7,23,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,13,20,26,7,23,1517734800,0.044,0.8,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,13,20,26,7,23,1517749200,0.17,0.9,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,13,20,26,7,23,1517763600,0.005,0.9,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,13,20,26,7,23,1517778000,0.0,0.85,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,13,20,26,7,23,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,13,20,26,7,23,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,14,21,26,7,20,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,14,21,26,7,20,1517734800,0.044,0.81,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,14,21,26,7,20,1517749200,0.172,0.92,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,14,21,26,7,20,1517763600,0.005,0.92,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,14,21,26,7,20,1517778000,0.0,0.86,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,14,21,26,7,20,1517792400,0.0,0.78,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,14,21,26,7,20,1517803200,0.0,0.85,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,15,22,26,7,15,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,15,22,26,7,15,1517734800,0.043,0.82,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,15,22,26,7,15,1517749200,0.173,0.93,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,15,22,26,7,15,1517763600,0.005,0.93,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,15,22,26,7,15,1517778000,0.0,0.88,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,15,22,26,7,15,1517792400,0.0,0.8,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,15,22,26,7,15,1517803200,0.0,0.86,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,16,23,26,7,21,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,16,23,26,7,21,1517734800,0.043,0.82,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,16,23,26,7,21,1517749200,0.174,0.93,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,16,23,26,7,21,1517763600,0.005,0.92,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,16,23,26,7,21,1517778000,0.0,0.87,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,16,23,26,7,21,1517792400,0.0,0.79,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,16,23,26,7,21,1517803200,0.0,0.85,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,17,24,26,7,12,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,17,24,26,7,12,1517734800,0.043,0.81,1,0.9999940395355225
