Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
12,3,0,1,0,0,1,0,0,1,4,11,26,0,1,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,4,11,26,0,1,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,4,11,26,0,1,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,4,11,26,0,1,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,5,12,26,0,5,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,5,12,26,0,5,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,5,12,26,0,5,1517749200,0.161,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,5,12,26,0,5,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,5,12,26,0,5,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,5,12,26,0,5,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,5,12,26,0,5,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,6,13,26,0,4,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,6,13,26,0,4,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,6,13,26,0,4,1517749200,0.163,1,0.9999308586120605
12,3,0,1,0,0,1,0,0,1,6,13,26,0,4,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,6,13,26,0,4,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,6,13,26,0,4,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,6,13,26,0,4,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,7,14,26,0,5,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,7,14,26,0,5,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,7,14,26,0,5,1517749200,0.164,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,7,14,26,0,5,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,7,14,26,0,5,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,7,14,26,0,5,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,7,14,26,0,5,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,8,15,26,2,13,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,8,15,26,2,13,1517734800,0.048,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,8,15,26,2,13,1517749200,0.165,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,8,15,26,2,13,1517763600,0.006,1,0.9999308586120605
16,4,0,1,0,1,0,0,0,0,8,15,26,2,13,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,8,15,26,2,13,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,8,15,26,2,13,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,9,16,26,7,17,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,9,16,26,7,17,1517734800,0.047,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,9,16,26,7,17,1517749200,0.167,1,0.9999308586120605
12,3,0,1,0,0,1,0,0,1,9,16,26,7,17,1517763600,0.006,1,0.9999308586120605
16,4,0,1,0,1,0,0,0,0,9,16,26,7,17,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,9,16,26,7,17,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,9,16,26,7,17,1517803200,0.0,1,0.9999308586120605
0,1,0,1,0,1,0,0,0,0,10,17,26,7,11,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,10,17,26,7,11,1517734800,0.047,1,0.9999308586120605
8,2,0,1,0,0,1,0,0,1,10,17,26,7,11,1517749200,0.168,1,0.9999308586120605
12,3,0,1,0,0,1,0,0,1,10,17,26,7,11,1517763600,0.006,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,10,17,26,7,11,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,10,17,26,7,11,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,10,17,26,7,11,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,11,18,26,7,10,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,11,18,26,7,10,1517734800,0.047,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,11,18,26,7,10,1517749200,0.169,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,11,18,26,7,10,1517763600,0.006,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,11,18,26,7,10,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,11,18,26,7,10,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,11,18,26,7,10,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,12,19,26,7,24,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,12,19,26,7,24,1517734800,0.045,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,12,19,26,7,24,1517749200,0.169,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,12,19,26,7,24,1517763600,0.005,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,12,19,26,7,24,1517778000,0.0,1,0.999930739402771
20,1,0,1,0,1,0,0,0,0,12,19,26,7,24,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,12,19,26,7,24,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,13,20,26,7,23,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,13,20,26,7,23,1517734800,0.044,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,13,20,26,7,23,1517749200,0.17,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,13,20,26,7,23,1517763600,0.005,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,13,20,26,7,23,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,13,20,26,7,23,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,13,20,26,7,23,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,14,21,26,7,20,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,14,21,26,7,20,1517734800,0.044,1,0.9999308586120605
8,2,0,1,0,0,1,0,0,1,14,21,26,7,20,1517749200,0.172,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,14,21,26,7,20,1517763600,0.005,1,0.9999308586120605
16,4,0,1,0,1,0,0,0,0,14,21,26,7,20,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,14,21,26,7,20,1517792400,0.0,1,0.9999308586120605
23,1,0,1,0,1,0,0,0,0,14,21,26,7,20,1517803200,0.0,1,0.9999308586120605
0,1,0,1,0,1,0,0,0,0,15,22,26,7,15,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,15,22,26,7,15,1517734800,0.043,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,15,22,26,7,15,1517749200,0.173,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,15,22,26,7,15,1517763600,0.005,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,15,22,26,7,15,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,15,22,26,7,15,1517792400,0.0,1,0.999930739402771
23,1,0,1,0,1,0,0,0,0,15,22,26,7,15,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,16,23,26,7,21,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,16,23,26,7,21,1517734800,0.043,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,16,23,26,7,21,1517749200,0.174,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,16,23,26,7,21,1517763600,0.005,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,16,23,26,7,21,1517778000,0.0,1,0.9999308586120605
20,1,0,1,0,1,0,0,0,0,16,23,26,7,21,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,16,23,26,7,21,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,17,24,26,7,12,1517720400,0.0,1,0.9999308586120605
4,1,0,1,0,0,1,0,0,1,17,24,26,7,12,1517734800,0.043,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,17,24,26,7,12,1517749200,0.175,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,17,24,26,7,12,1517763600,0.005,1,0.9999308586120605
16,4,0,1,0,1,0,0,0,0,17,24,26,7,12,1517778000,0.0,1,0.9999308586120605
20,1,0,1,0,1,0,0,0,0,17,24,26,7,12,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,17,24,26,7,12,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,18,25,26,7,7,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,18,25,26,7,7,1517734800,0.043,1,0.9999308586120605
8,2,0,1,0,0,1,0,0,1,18,25,26,7,7,1517749200,0.176,1,0.9999308586120605
12,3,0,1,0,0,1,0,0,1,18,25,26,7,7,1517763600,0.004,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,18,25,26,7,7,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,18,25,26,7,7,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,18,25,26,7,7,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,20,8,25,0,8,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,20,8,25,0,8,1517734800,0.052,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,20,8,25,0,8,1517749200,0.156,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,20,8,25,0,8,1517763600,0.007,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,20,8,25,0,8,1517778000,0.0,1,0.9999308586120605
20,1,0,1,0,1,0,0,0,0,20,8,25,0,8,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,20,8,25,0,8,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,21,9,25,7,11,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,21,9,25,7,11,1517734800,0.052,1,0.999930739402771
8,2,0,1,0,0,1,0,0,1,21,9,25,7,11,1517749200,0.157,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,21,9,25,7,11,1517763600,0.007,1,0.9999307990074158
